
[00:00:00.000 --> 00:00:04.720]  最近都去了急症室去盤查病例
[00:00:04.720 --> 00:00:07.200]  我們去到分流站
[00:00:07.200 --> 00:00:09.560]  我見到有位婆婆
[00:00:09.560 --> 00:00:13.080]  她發牢騷地說
[00:00:13.080 --> 00:00:15.360]  「醫生,你是否不夠經驗」
[00:00:15.360 --> 00:00:19.160]  「我要照肺」
[00:00:19.160 --> 00:00:20.760]  「我一定有肺炎」
[00:00:20.760 --> 00:00:22.760]  然後中間就咳了兩聲
[00:00:22.760 --> 00:00:25.240]  醫生就說
[00:00:25.240 --> 00:00:30.760]  「婆婆,不是的,只是普通傷風感冒」
[00:00:30.760 --> 00:00:34.880]  「不是的,你幫我照肺吧」
[00:00:34.880 --> 00:00:38.280]  醫生就再帶她進去檢查
[00:00:38.280 --> 00:00:39.920]  檢查完一段時間出來
[00:00:39.920 --> 00:00:40.880]  把她拉開檢查
[00:00:40.880 --> 00:00:42.720]  「婆婆,你真的沒事」
[00:00:42.720 --> 00:00:44.440]  「婆婆,還是盤下腰」
[00:00:44.440 --> 00:00:47.200]  「不是的,醫生,你是否不懂」
[00:00:47.200 --> 00:00:49.760]  「我要照肺」
[00:00:49.760 --> 00:00:52.200]  醫生見她這麼不安
[00:00:52.200 --> 00:00:53.680]  就靈機一觸
[00:00:53.680 --> 00:00:57.040]  「婆婆,你過來,我幫你照肺」
[00:00:57.040 --> 00:01:01.360]  醫生就去桌上拿了一個
[00:01:01.360 --> 00:01:04.440]  嘟一巴掌的掃描器
[00:01:04.440 --> 00:01:06.360]  掃一掃
[00:01:06.360 --> 00:01:08.400]  「婆婆,幫你照肺了」
[00:01:08.400 --> 00:01:11.320]  「掃過了,沒事」
[00:01:11.320 --> 00:01:13.120]  照肺完之後
[00:01:13.120 --> 00:01:15.120]  婆婆整個人都安心了
[00:01:15.120 --> 00:01:18.960]  很開心地離開醫院
[00:01:19.000 --> 00:01:22.960]  我立即覺得醫生真是很有心
[00:01:22.960 --> 00:01:26.160]  醫生心腸很好
[00:01:26.160 --> 00:01:28.280]  他不是敷衍婆婆
[00:01:28.280 --> 00:01:31.720]  因為他已經盡職幫婆婆檢查
[00:01:31.720 --> 00:01:33.880]  他真的沒事
[00:01:33.880 --> 00:01:36.200]  婆婆依然抱怨,他怎麼辦呢?
[00:01:36.200 --> 00:01:38.720]  他就用了一個很幽默的方法
[00:01:38.720 --> 00:01:42.480]  讓婆婆安撫她的心
[00:01:42.480 --> 00:01:43.960]  於是我就想
[00:01:43.960 --> 00:01:45.720]  其實在信仰裏
[00:01:45.720 --> 00:01:49.200]  我們有時候會不會有很多埋怨
[00:01:49.200 --> 00:01:50.760]  埋怨神呢?
[00:01:50.760 --> 00:01:52.680]  「我祈禱了這麼久」
[00:01:52.680 --> 00:01:55.080]  「神也不聽禱告」
[00:01:55.080 --> 00:01:57.640]  或者埋怨身邊的人
[00:01:57.640 --> 00:02:01.240]  好幾年前我聽過一位姿態說
[00:02:01.240 --> 00:02:05.840]  他埋怨團體一等姐妹都很冷漠
[00:02:05.840 --> 00:02:08.080]  我問他發生什麼事
[00:02:08.080 --> 00:02:10.000]  他說「剛才去廁所而已」
[00:02:10.000 --> 00:02:13.000]  「見到他們都不打招呼」
[00:02:13.000 --> 00:02:17.680]  我問「是嗎?你有沒有跟人打招呼?」
[00:02:17.680 --> 00:02:19.440]  「當然沒有」
[00:02:19.440 --> 00:02:23.000]  「哦,明白了」
[00:02:23.000 --> 00:02:25.160]  其實這些小小的抱怨
[00:02:25.160 --> 00:02:28.120]  好像都無傷大雅,沒什麼
[00:02:28.120 --> 00:02:30.760]  但是不處理又行不行呢?
[00:02:30.760 --> 00:02:35.120]  神又怎樣幫我們處理心裏面的抱怨呢?
[00:02:35.120 --> 00:02:37.520]  我們一起從先知以利亞
[00:02:37.520 --> 00:02:39.360]  和耶和華的互動裏面
[00:02:39.360 --> 00:02:43.160]  一起學習怎樣處理這些抱怨
[00:02:43.160 --> 00:02:46.200]  我們一起讀第一至第三節
[00:02:46.200 --> 00:02:51.200]  在《列王紀》上19章1至3節
[00:02:51.200 --> 00:02:54.880]  「阿哈把以利亞一切所做的
[00:02:54.880 --> 00:02:58.160]  和她用刀殺眾先知的事
[00:02:58.160 --> 00:03:00.400]  都告訴耶駒別
[00:03:00.400 --> 00:03:05.000]  耶駒別就派使者到以利亞那裏說
[00:03:05.000 --> 00:03:06.960]  明日約這時候
[00:03:06.960 --> 00:03:11.800]  我約不使你的性命像那些人的性命一樣
[00:03:11.800 --> 00:03:14.680]  願神明重重懲罰我
[00:03:14.680 --> 00:03:18.280]  以利亞害怕就起來逃命
[00:03:18.280 --> 00:03:20.720]  到了猶大的別士巴
[00:03:20.720 --> 00:03:24.160]  把僕人留在那裏」
[00:03:24.160 --> 00:03:27.960]  其實以利亞剛剛在加木山
[00:03:27.960 --> 00:03:31.160]  大勝450個巴力先知
[00:03:31.160 --> 00:03:33.480]  在這個高光的時間
