
[00:00:00.000 --> 00:00:03.160]  讓我們正道之先有一個祈禱
[00:00:03.160 --> 00:00:06.200]  慈悲仁愛的天父
[00:00:06.200 --> 00:00:07.600]  我們感謝讚美你
[00:00:07.600 --> 00:00:10.200]  很感謝你帶領我們平安的腳步
[00:00:10.200 --> 00:00:13.000]  回到你的殿內去敬拜你
[00:00:13.000 --> 00:00:15.800]  我們求主你帶領以下的時間
[00:00:15.800 --> 00:00:18.200]  讓我們無論聽的、說的
[00:00:18.200 --> 00:00:19.400]  都是同感一靈
[00:00:19.400 --> 00:00:22.000]  得著你自己的教導提醒
[00:00:22.000 --> 00:00:23.200]  聽我們的禱告
[00:00:23.200 --> 00:00:25.600]  是奉主耶穌基督明智而求
[00:00:25.600 --> 00:00:26.600]  阿們
[00:00:29.400 --> 00:00:31.400]  作為牧者很多時候
[00:00:31.400 --> 00:00:35.000]  都會去參加團友、家人的安息禮
[00:00:35.000 --> 00:00:37.000]  當中有不少
[00:00:37.000 --> 00:00:39.800]  都是一些長輩的安息禮
[00:00:39.800 --> 00:00:42.200]  當我置身其中
[00:00:42.200 --> 00:00:44.200]  我最深刻的片段
[00:00:44.200 --> 00:00:46.200]  就是述詩的環節了
[00:00:46.200 --> 00:00:48.800]  每當我聽到兒女們
[00:00:48.800 --> 00:00:52.000]  去感謝父母無微不至的愛
[00:00:52.000 --> 00:00:55.200]  和他們無私的負賞
[00:00:55.200 --> 00:00:57.800]  令到我都非常之感動
[00:00:58.200 --> 00:01:01.400]  我們的長輩大部分都經歷了
[00:01:01.400 --> 00:01:05.000]  打仗或者打仗之後
[00:01:05.000 --> 00:01:07.000]  那些艱難的日子
[00:01:07.000 --> 00:01:10.000]  有些長輩更加會面對
[00:01:10.000 --> 00:01:12.000]  找朝不得晚的境況
[00:01:12.000 --> 00:01:13.800]  雖然是這樣
[00:01:13.800 --> 00:01:15.600]  他們仍然堅毅不屈
[00:01:15.600 --> 00:01:18.000]  很辛勤地去工作
