
[00:00:00.000 --> 00:00:07.000]  很感恩敬拜隊帶領我們去到神的裏面,靈的裏面。
[00:00:07.000 --> 00:00:12.000]  我覺得最後一首詩歌,一直聽的時候,給我在以西傑書中一個很深的提醒。
[00:00:12.000 --> 00:00:19.000]  就是當以西傑失去了一切屬世的東西,他看屬靈的東西就看得很清晰了。
[00:00:19.000 --> 00:00:23.000]  看得見上帝的榮耀,看得見上帝的審判。
[00:00:23.000 --> 00:00:27.000]  有時屬世的東西太多的時候,都會影響我們看見屬靈的事情。
[00:00:27.000 --> 00:00:33.000]  所以以西傑書的難度正正是一個很屬靈的世界,讓我們看看。
[00:00:33.000 --> 00:00:38.000]  今早和太太祈禱讀經的時候,聽見這段經文,心裏很感觸。
[00:00:38.000 --> 00:00:41.000]  詩篇103篇,13節,
[00:00:41.000 --> 00:00:48.000]  「父親怎樣憐憫他的兒女,也或說也怎樣憐憫敬畏他的人。」
[00:00:48.000 --> 00:00:55.000]  在明報看見今天有個爸爸二十年在扶兒子學行路,那種心啊!
[00:00:55.000 --> 00:01:04.000]  這裏就說到父親怎樣憐憫他的兒女,我們神怎樣憐憫他的人。
[00:01:04.000 --> 00:01:11.000]  我們一起祈禱,主要我們在現今的光景,讓我們看見屬靈的真實,
[00:01:11.000 --> 00:01:17.000]  特別是以西傑書裏面所鋪陳彰顯打開出來的,
[00:01:17.000 --> 00:01:21.000]  願我們領受的時候,我們的生命按著聖經而得改變。
[00:01:21.000 --> 00:01:25.000]  我們這樣禱告奉耶穌基督的名義而行。
[00:01:25.000 --> 00:01:30.000]  我們今天延續以西傑書講道的系列,
[00:01:30.000 --> 00:01:34.000]  我們原本是一個月一次由我們的區目宣講,
[00:01:34.000 --> 00:01:38.000]  但當我來講的時候,我都會插入其中一些章節。
[00:01:38.000 --> 00:01:43.000]  今天承繼上次講了一二章,今天講第三章,17到27節。
[00:01:43.000 --> 00:01:47.000]  我們一起用恭敬的心,將神的話語讀出來。
[00:01:47.000 --> 00:01:51.000]  我想第一章投影片請弟兄讀,第二、第三章請姐妹讀,
[00:01:51.000 --> 00:01:55.000]  第四、第五章去到平原的投影片我們一起讀,
[00:01:55.000 --> 00:01:57.000]  我們一起看著就行了。
