
[00:00:00.000 --> 00:00:02.000]  (觀眾:放假放假)
[00:00:02.000 --> 00:00:04.000]  有嗎?
[00:00:04.000 --> 00:00:07.000]  放假放到很猛
[00:00:07.000 --> 00:00:09.000]  所以連咪都不懂開
[00:00:09.000 --> 00:00:11.000]  大家好
[00:00:11.000 --> 00:00:13.000]  剛才在《詩歌敬拜》裏面
[00:00:13.000 --> 00:00:15.000]  唱第二首歌的時候特別了
[00:00:15.000 --> 00:00:17.000]  我們不能夠沒有上帝
[00:00:17.000 --> 00:00:19.000]  我只想
[00:00:19.000 --> 00:00:22.000]  如果我這一刻沒有上帝
[00:00:22.000 --> 00:00:24.000]  或者我這個生命沒有上帝
[00:00:24.000 --> 00:00:26.000]  我信了主二十年左右
[00:00:26.000 --> 00:00:28.000]  如果這二十年沒有上帝
[00:00:28.000 --> 00:00:30.000]  我的生命會變成怎樣呢?
[00:00:30.000 --> 00:00:32.000]  我想像不到
[00:00:32.000 --> 00:00:35.000]  如果在這個時間
[00:00:35.000 --> 00:00:37.000]  香港面對的東西
[00:00:37.000 --> 00:00:38.000]  如果沒有上帝
[00:00:38.000 --> 00:00:40.000]  我又會變成怎樣呢?
[00:00:40.000 --> 00:00:43.000]  確實我們不能夠沒有上帝
[00:00:43.000 --> 00:00:45.000]  我們需要上帝
[00:00:45.000 --> 00:00:47.000]  我們一起有個祈禱
[00:00:47.000 --> 00:00:49.000]  跟著我們進入上帝的說話
[00:00:49.000 --> 00:00:51.000]  七天天父
[00:00:51.000 --> 00:00:54.000]  確實你是我們的氣息
[00:00:54.000 --> 00:00:57.000]  你是我們的生命
[00:00:57.000 --> 00:01:00.000]  你是我們的所有
[00:01:00.000 --> 00:01:03.000]  我們不能夠沒有你
[00:01:03.000 --> 00:01:07.000]  我們不能夠失去你
[00:01:07.000 --> 00:01:09.000]  感恩
[00:01:09.000 --> 00:01:11.000]  你在我們不懂得去找你
[00:01:11.000 --> 00:01:13.000]  沒有去找你
[00:01:13.000 --> 00:01:15.000]  但是
[00:01:15.000 --> 00:01:17.000]  你就告訴我們
[00:01:17.000 --> 00:01:19.000]  你常常的
[00:01:19.000 --> 00:01:22.000]  就在我們的心裏面
[00:01:22.000 --> 00:01:24.000]  願意你提醒我們的
[00:01:24.000 --> 00:01:26.000]  你是我們的氣息
[00:01:26.000 --> 00:01:28.000]  生命所有
[00:01:28.000 --> 00:01:29.000]  我們今天的
[00:01:29.000 --> 00:01:32.000]  就再次回到你面前
[00:01:32.000 --> 00:01:34.000]  被你去擁抱
[00:01:34.000 --> 00:01:36.000]  被你去滋潤
[00:01:36.000 --> 00:01:38.000]  我們學習的帶著你去面對
[00:01:38.000 --> 00:01:41.000]  我們現在所面對的
[00:01:41.000 --> 00:01:44.000]  感恩你讓我們有你的師哥
[00:01:44.000 --> 00:01:47.000]  我們可以得安慰
[00:01:47.000 --> 00:01:51.000]  願待會你的說話對我們作提醒
[00:01:51.000 --> 00:01:53.000]  以示我們在困難裏面
[00:01:53.000 --> 00:01:55.000]  知道怎樣活一個
[00:01:55.000 --> 00:01:57.000]  你喜悅的信徒
[00:01:57.000 --> 00:02:00.000]  特別是一個發光發亮的信徒
[00:02:00.000 --> 00:02:02.000]  遠勝寧你這一刻
[00:02:02.000 --> 00:02:04.000]  幫助我們去聽你的說話
[00:02:04.000 --> 00:02:06.000]  我們要上個禱告
[00:02:06.000 --> 00:02:07.000]  奉主名求
[00:02:07.000 --> 00:02:10.000]  阿門
[00:02:10.000 --> 00:02:12.000]  我們開始了
[00:02:12.000 --> 00:02:19.000]  我不知道你是一個樂觀還是積極的人
[00:02:19.000 --> 00:02:24.000]  你是一個悲觀還是消極的人
[00:02:24.000 --> 00:02:26.000]  當你看著半杯水
[00:02:26.000 --> 00:02:27.000]  你是
[00:02:27.000 --> 00:02:29.000]  我又說錯話了
[00:02:29.000 --> 00:02:32.000]  (記者:積極悲觀)
[00:02:32.000 --> 00:02:33.000]  阿君經常聽到我
[00:02:33.000 --> 00:02:36.000]  經常聽到我說話
