
[00:00:00.000 --> 00:00:03.800]  最近我女兒跟我聊天
[00:00:03.800 --> 00:00:05.200]  聊到什麼呢?
[00:00:05.200 --> 00:00:06.400]  她問我一個問題
[00:00:06.400 --> 00:00:07.200]  她說
[00:00:07.200 --> 00:00:08.000]  她說
[00:00:08.000 --> 00:00:09.600]  怎麼分
[00:00:09.600 --> 00:00:12.000]  友情和愛情呢?
[00:00:12.000 --> 00:00:14.000]  她說很難分
[00:00:14.000 --> 00:00:16.000]  我聽了她第一個反應就是
[00:00:16.000 --> 00:00:19.000]  我不明白有多難分
[00:00:19.000 --> 00:00:23.000]  之後第二個反應就是
[00:00:23.000 --> 00:00:25.000]  不是
[00:00:25.000 --> 00:00:29.200]  女女的那些關係
[00:00:29.200 --> 00:00:31.200]  這麼糟糕
[00:00:31.200 --> 00:00:33.200]  同性戀?
[00:00:33.200 --> 00:00:34.000]  再聽下去
[00:00:34.000 --> 00:00:34.400]  不是
[00:00:34.400 --> 00:00:37.000]  是我想多了反應過敏
[00:00:37.000 --> 00:00:38.400]  當然不是
[00:00:38.400 --> 00:00:41.200]  她產生疑問的原因就是
[00:00:41.200 --> 00:00:42.800]  兩種
[00:00:42.800 --> 00:00:46.200]  友情和愛情都好像有些
[00:00:46.200 --> 00:00:48.400]  有自私的
[00:00:48.400 --> 00:00:50.800]  擁有對方這件事
[00:00:50.800 --> 00:00:52.200]  我又再不明白
[00:00:52.200 --> 00:00:55.000]  朋友之間怎麼可能是這樣的
[00:00:55.000 --> 00:00:56.200]  之後
[00:00:56.200 --> 00:00:59.000]  我又明白多一點
[00:00:59.000 --> 00:01:03.800]  原來男女真的有別
[00:01:03.800 --> 00:01:09.200]  女士比較容易去強調
[00:01:09.200 --> 00:01:12.000]  你是我最好的朋友
[00:01:12.000 --> 00:01:14.000]  最好的閨蜜
[00:01:14.000 --> 00:01:18.000]  我不想你有另一個最好的
[00:01:18.000 --> 00:01:21.200]  我不是要講性別歧視
[00:01:21.200 --> 00:01:23.600]  我只是說有時候有些情況
[00:01:23.600 --> 00:01:25.600]  真的男女有分別
[00:01:25.600 --> 00:01:28.000]  對於友情來說
[00:01:28.000 --> 00:01:31.400]  男士真的比較少有這種
[00:01:31.400 --> 00:01:35.800]  獨佔對方的想法
[00:01:35.800 --> 00:01:38.800]  當然是朋友越多越好
[00:01:38.800 --> 00:01:42.000]  玩起來就越瘋
[00:01:42.000 --> 00:01:45.400]  當然男士也有可能有這種情況
[00:01:45.400 --> 00:01:47.200]  但是真的比較少見
[00:01:47.200 --> 00:01:49.000]  所以我不明白我女兒的問題
[00:01:49.000 --> 00:01:51.000]  是正常的
[00:01:51.000 --> 00:01:54.200]  但是我女兒帶出一個事實就是
[00:01:54.200 --> 00:01:56.000]  有時
[00:01:56.000 --> 00:02:01.600]  友情和愛情都可以有些自私的傾向
[00:02:01.600 --> 00:02:03.800]  Best friend 只可以我一個
[00:02:03.800 --> 00:02:05.600]  你不可以有其他人
[00:02:05.600 --> 00:02:07.600]  比我更好的
[00:02:07.600 --> 00:02:10.600]  人的愛有時是不是真的
[00:02:10.600 --> 00:02:14.800]  其實只是愛著自己呢?
[00:02:14.800 --> 00:02:19.600]  今天我經常聽到世人強調的所謂大愛
[00:02:19.600 --> 00:02:21.800]  我看到的
[00:02:21.800 --> 00:02:25.600]  絕大多數都是為自己的慾望
[00:02:25.600 --> 00:02:27.600]  滿足自己的慾望
[00:02:27.600 --> 00:02:30.600]  而看不到那種真正的
[00:02:30.600 --> 00:02:33.600]  無私的大愛
[00:02:33.600 --> 00:02:37.600]  那是不是真的有這種無私的大愛呢?
[00:02:37.600 --> 00:02:42.600]  保羅曾經在《爾忽所書2章4節》那裡說
[00:02:42.600 --> 00:02:46.600]  他說神對我們的愛就是大愛
[00:02:46.600 --> 00:02:49.600]  祂愛我們的愛就是大愛
[00:02:49.600 --> 00:02:52.600]  這種愛的原文就是
[00:02:52.600 --> 00:02:54.600]  我想很多人都很熟悉
[00:02:54.600 --> 00:02:57.600]  無私犧牲的那種大愛
[00:02:57.600 --> 00:02:59.600]  阿加皮
[00:02:59.600 --> 00:03:01.600]  今天我們就讓我們從
[00:03:01.600 --> 00:03:04.600]  《爾忽所書3章14-21節》那裡
[00:03:04.600 --> 00:03:07.600]  去看一看這個大愛
[00:03:07.600 --> 00:03:09.600]  這個大愛
[00:03:09.600 --> 00:03:12.600]  和世人所說的愛
[00:03:12.600 --> 00:03:14.600]  其實有什麼不同呢?
[00:03:14.600 --> 00:03:17.600]  對於信主的我們來說
[00:03:17.600 --> 00:03:21.600]  對我們有什麼關係呢?
[00:03:21.600 --> 00:03:24.600]  《爾忽所書3章14-21節》
[00:03:24.600 --> 00:03:26.600]  原文結構是比較複雜的
[00:03:26.600 --> 00:03:28.600]  有人說這是一句句子
[00:03:28.600 --> 00:03:30.600]  也有人說是兩句
[00:03:30.600 --> 00:03:32.600]  不過我就不在這裡
[00:03:32.600 --> 00:03:34.600]  和大家花時間去研究了
[00:03:34.600 --> 00:03:37.600]  我只要大家記住一件事就行了
[00:03:37.600 --> 00:03:40.600]  《爾忽所書14-21節》是一個祈禱
[00:03:40.600 --> 00:03:42.600]  是保羅為信徒祈禱的
[00:03:42.600 --> 00:03:45.600]  不如我們就看一看頭兩句吧
[00:03:45.600 --> 00:03:47.600]  《爾忽所書14-15節》
[00:03:47.600 --> 00:03:49.600]  14-15節這樣說
[00:03:49.600 --> 00:03:52.600]  因此我在父面前屈膝
[00:03:52.600 --> 00:03:56.600]  天上地下的國家都是從他得名的
[00:03:56.600 --> 00:04:00.600]  保羅在這裡屈膝祈禱
[00:04:00.600 --> 00:04:01.600]  祈禱
[00:04:01.600 --> 00:04:03.600]  不知道你記不記得
[00:04:03.600 --> 00:04:07.600]  第一次你參加祈禱會的時候
[00:04:07.600 --> 00:04:09.600]  會不會好像我一樣
[00:04:09.600 --> 00:04:12.600]  全程基本上是不出聲的
[00:04:12.600 --> 00:04:17.600]  即使出聲也是很小聲的
[00:04:17.600 --> 00:04:19.600]  蚊子般小聲
[00:04:19.600 --> 00:04:21.600]  沒辦法啦
[00:04:21.600 --> 00:04:23.600]  我個人是比較害羞的
[00:04:23.600 --> 00:04:25.600]  怕被人取笑
[00:04:25.600 --> 00:04:28.600]  所以出聲都小聲一點
[00:04:28.600 --> 00:04:30.600]  溫柔一點
[00:04:30.600 --> 00:04:33.600]  還要經常是dead air了
[00:04:33.600 --> 00:04:35.600]  停頓了
[00:04:35.600 --> 00:04:37.600]  搞到旁邊那位以為我祈完禱
[00:04:37.600 --> 00:04:39.600]  忘記講阿門
[00:04:40.600 --> 00:04:45.600]  說真的當時我不是向神祈禱
[00:04:45.600 --> 00:04:48.600]  是向身邊的人祈禱
[00:04:48.600 --> 00:04:50.600]  祈給他聽
[00:04:50.600 --> 00:04:54.600]  我忘記了祈禱的對象不是我身邊那幾位
[00:04:54.600 --> 00:04:57.600]  而是天上的父神
