
[00:00:00.000 --> 00:00:02.880]  好,Hello,大英姐妹,早安
[00:00:02.880 --> 00:00:05.880]  早安,Hello,多謝你和我說早安
[00:00:05.880 --> 00:00:07.160]  有反應,多謝你
[00:00:07.160 --> 00:00:08.440]  早安,大英姐妹
[00:00:08.440 --> 00:00:13.120]  我想很想多謝勁擺隊、AV Team和詩詩
[00:00:13.120 --> 00:00:16.160]  為我們預備一個崇拜
[00:00:16.160 --> 00:00:18.960]  無論你坐的椅子有人搬給你
[00:00:18.960 --> 00:00:20.280]  POPCORN有人按
[00:00:20.280 --> 00:00:23.320]  或者我們唱的詩歌有人有音樂伴奏
[00:00:23.320 --> 00:00:24.880]  其實都是他們很努力
[00:00:24.880 --> 00:00:26.840]  不如給他們掌聲
[00:00:26.840 --> 00:00:28.560]  多謝他們為我們預備
[00:00:28.560 --> 00:00:30.560]  特別,今天9月的時候
[00:00:30.560 --> 00:00:33.480]  其實你看看後面
[00:00:33.480 --> 00:00:36.280]  原來我們中間有些新隊員在
[00:00:36.280 --> 00:00:37.520]  不要看我,不要看我
[00:00:37.520 --> 00:00:39.120]  他看完尷尬,不要理他
[00:00:39.120 --> 00:00:40.560]  不過你看完你會發覺
[00:00:40.560 --> 00:00:42.120]  其實他們不是很高大
[00:00:42.120 --> 00:00:44.320]  為什麼?原來他們都是有些是中二
[00:00:44.320 --> 00:00:48.040]  因為我們中二就可以開始服侍
[00:00:48.040 --> 00:00:51.000]  所以其實無論AV Team還是詩詩
[00:00:51.000 --> 00:00:53.480]  都會有中二的大英姐妹
[00:00:53.480 --> 00:00:54.400]  其實比你們大一點
[00:00:54.400 --> 00:00:55.400]  或者比你們小
[00:00:55.400 --> 00:00:56.120]  中三的你們
[00:00:56.120 --> 00:00:57.040]  可能比你們小
[00:00:57.040 --> 00:00:59.640]  都已經在學習服侍我們
[00:00:59.640 --> 00:01:02.400]  很多謝你們的付出和預備
[00:01:02.400 --> 00:01:07.240]  我想想今天是9月第四個星期
[00:01:07.240 --> 00:01:10.600]  如果中一的你們
[00:01:10.600 --> 00:01:12.280]  算上體驗日
[00:01:12.280 --> 00:01:14.560]  應該來這裡崇拜五次
[00:01:14.560 --> 00:01:16.520]  我想有三次都可以說
[00:01:16.520 --> 00:01:18.520]  辛苦你們了,聽了這麼多次
[00:01:18.520 --> 00:01:20.720]  不過放心,我們還有很多傳導人
[00:01:20.720 --> 00:01:26.360]  慢慢你就會聽聽他們不同的人分享信息
[00:01:26.360 --> 00:01:29.520]  今天都是輪到我去分享信息
[00:01:29.520 --> 00:01:32.160]  我給他們講道的題目叫做
[00:01:32.160 --> 00:01:34.480]  撐得住,贏的就是你
[00:01:34.480 --> 00:01:36.480]  為什麼有這樣的題目?
[00:01:36.480 --> 00:01:39.440]  今年青少部的年題有這樣的年題
[00:01:39.440 --> 00:01:40.440]  它說是
[00:01:40.440 --> 00:01:42.200]  Alive in Christ
[00:01:42.200 --> 00:01:43.680]  Let's go and try
[00:01:43.680 --> 00:01:45.400]  下一頁,麻煩你
