
[00:00:00.000 --> 00:00:03.560]  不如我們給予今天的侍奉人員掌聲
[00:00:03.560 --> 00:00:07.640]  不倫敬拜隊、AV Team和獅子隊
[00:00:07.640 --> 00:00:08.960]  因為他們很勞苦
[00:00:08.960 --> 00:00:12.400]  8時便回來準備
[00:00:12.400 --> 00:00:15.440]  給予你旁邊的那位掌聲
[00:00:15.440 --> 00:00:18.040]  他也很厲害
[00:00:18.040 --> 00:00:19.800]  這麼早便回來
[00:00:19.800 --> 00:00:21.000]  可否也跟他說聲
[00:00:21.000 --> 00:00:22.720]  「你很厲害」
[00:00:22.720 --> 00:00:23.920]  哈哈哈
[00:00:23.920 --> 00:00:26.200]  真的很厲害
[00:00:26.200 --> 00:00:27.720]  其實我也很睏
[00:00:27.720 --> 00:00:29.080]  這麼早回來
[00:00:29.080 --> 00:00:32.400]  很開心今天可以跟大家分享你的說話
[00:00:32.400 --> 00:00:38.320]  我今天說的題目是「困境無難度」
[00:00:38.320 --> 00:00:39.600]  名字有點娘娘的
[00:00:39.600 --> 00:00:40.480]  接受一下吧
[00:00:40.480 --> 00:00:42.600]  我先說一下我今天穿這樣
[00:00:42.600 --> 00:00:44.520]  有人問我為何穿得這麼荒謬
[00:00:44.520 --> 00:00:46.080]  因為我待會要去喪禮
[00:00:46.080 --> 00:00:47.800]  希望我不要因為我這樣穿
[00:00:47.800 --> 00:00:48.960]  跟大家有距離
[00:00:48.960 --> 00:00:50.720]  覺得「嘩!你是什麼人?」
[00:00:50.720 --> 00:00:52.400]  「為何穿成這樣來清少保?」
[00:00:52.400 --> 00:00:53.400]  是吧?
[00:00:53.400 --> 00:00:56.000]  希望不要這樣跟大家有距離
[00:00:56.400 --> 00:00:59.320]  我覺得說到困境困難
[00:00:59.320 --> 00:01:03.240]  我想這幾年對於香港或整個世界來說
[00:01:03.240 --> 00:01:06.640]  最大的困難應該是疫情
[00:01:06.640 --> 00:01:08.160]  COVID-19
[00:01:08.160 --> 00:01:09.800]  而疫情這幾年
[00:01:09.800 --> 00:01:12.320]  每個人都要戴口罩
[00:01:12.320 --> 00:01:15.040]  被迫要辛苦
[00:01:15.040 --> 00:01:16.720]  甚至戴著口罩
[00:01:16.720 --> 00:01:19.040]  其實我也不太認得你們的樣子
[00:01:19.040 --> 00:01:19.840]  真的
[00:01:19.840 --> 00:01:21.720]  我有一段時間在清少保
[00:01:21.720 --> 00:01:22.960]  現在你脫下口罩
[00:01:22.960 --> 00:01:24.360]  其實我也不太認得你們
[00:01:24.360 --> 00:01:25.560]  好像兩個樣子
[00:01:25.560 --> 00:01:30.480]  而且有時候口罩也令人與人之間好像遠了一個距離
[00:01:30.480 --> 00:01:31.640]  但很有趣
[00:01:31.640 --> 00:01:35.760]  我在網上看到一個IG
[00:01:35.760 --> 00:01:38.040]  網上有一個設計師
[00:01:38.040 --> 00:01:40.040]  他設計了一個這樣的口罩
[00:01:40.040 --> 00:01:41.320]  知不知道這是什麼口罩?
[00:01:41.320 --> 00:01:43.160]  叫做「拉麵口罩」
[00:01:43.160 --> 00:01:45.400]  口罩像拉麵一樣
[00:01:45.400 --> 00:01:48.640]  這個日本設計師
[00:01:48.640 --> 00:01:51.200]  設計這個拉麵口罩
[00:01:51.200 --> 00:01:56.920]  他說看上去布料已經覺得相當厚
[00:01:56.920 --> 00:01:58.920]  夏天戴的時候
[00:01:58.920 --> 00:02:02.360]  總覺得有一個熱辣辣的感覺
[00:02:02.360 --> 00:02:03.480]  戴著口罩
