
[00:00:00.000 --> 00:00:09.000]  近年來香港人的壓力指數或焦慮指數都有上升
[00:00:09.000 --> 00:00:11.000]  我相信我們都有
[00:00:11.000 --> 00:00:17.000]  以前見到面大家會問吃飯了沒有
[00:00:17.000 --> 00:00:21.000]  現在通常見到面有什麼話題呢
[00:00:21.000 --> 00:00:25.000]  打了針沒有
[00:00:25.000 --> 00:00:30.000]  或者有沒有想移民
[00:00:30.000 --> 00:00:32.000]  有沒有被人問過
[00:00:32.000 --> 00:00:36.000]  如果說打針
[00:00:36.000 --> 00:00:40.000]  我想你打背後一定有些原因
[00:00:40.000 --> 00:00:42.000]  可能你擔心感染病毒
[00:00:42.000 --> 00:00:44.000]  現在有變種病毒
[00:00:44.000 --> 00:00:47.000]  如果你不打
[00:00:47.000 --> 00:00:50.000]  可能有些擔心
[00:00:50.000 --> 00:00:53.000]  會不會有副作用影響身體
[00:00:53.000 --> 00:00:56.000]  如果你考慮移民
[00:00:56.000 --> 00:01:00.000]  背後一定有些事你擔心才去移民
[00:01:00.000 --> 00:01:03.000]  如果你說不去移民
[00:01:03.000 --> 00:01:05.000]  可能你也有另一些擔心
[00:01:05.000 --> 00:01:07.000]  會不會去到那邊
[00:01:07.000 --> 00:01:09.000]  適應不到那邊生活呢
[00:01:09.000 --> 00:01:12.000]  特別是長者
[00:01:12.000 --> 00:01:16.000]  人生總會遇到逆境困難
[00:01:16.000 --> 00:01:18.000]  你我都會
[00:01:18.000 --> 00:01:22.000]  只是程度不同
[00:01:22.000 --> 00:01:26.000]  近年無論是社會事件或疫情事件
[00:01:26.000 --> 00:01:29.000]  帶給我們很多困擾和壓力
[00:01:29.000 --> 00:01:39.000]  我想問我們通常用什麼方式去面對這些壓力呢
[00:01:39.000 --> 00:01:41.000]  我們今天會看大衛的見證
[00:01:41.000 --> 00:01:44.000]  因為他遇上人生的困境是很厲害的
[00:01:44.000 --> 00:01:47.000]  是去到死亡的邊緣
[00:01:47.000 --> 00:01:50.000]  我想他的壓力和焦慮指數一定很高
[00:01:50.000 --> 00:01:54.000]  他如何渡過這些困境呢
[00:01:54.000 --> 00:01:58.000]  他的見證如何成為我們今天面對逆境的幫助呢
[00:01:58.000 --> 00:02:02.000]  我們今天的講題是困苦中投靠神
[00:02:02.000 --> 00:02:05.000]  經文是詩篇三十四篇
[00:02:05.000 --> 00:02:12.000]  有一個標題的詩篇
[00:02:12.000 --> 00:02:16.000]  第一個分題是呼求神的拯救
[00:02:16.000 --> 00:02:21.000]  標題是大衛在亞比米勒面前裝瘋
[00:02:21.000 --> 00:02:24.000]  被趕出去就作者仙
[00:02:24.000 --> 00:02:29.000]  大衛曾經被數羅王追殺
[00:02:29.000 --> 00:02:30.000]  因為擲到他
[00:02:30.000 --> 00:02:32.000]  他面對生命的危機
[00:02:32.000 --> 00:02:36.000]  有一次他去了一個城叫加特城
[00:02:36.000 --> 00:02:38.000]  當時的王叫亞比米勒
[00:02:38.000 --> 00:02:42.000]  大衛很快被人認出
[00:02:42.000 --> 00:02:44.000]  因為他怕被人追殺
[00:02:44.000 --> 00:02:49.000]  他用詭計欺騙這個王
[00:02:49.000 --> 00:02:52.000]  他裝傻、裝傻
[00:02:52.000 --> 00:02:54.000]  即是裝瘋
[00:02:54.000 --> 00:02:56.000]  這個王竟然中計
[00:02:56.000 --> 00:02:59.000]  相信大衛是瘋了
[00:02:59.000 --> 00:03:02.000]  將他趕來這個城
[00:03:02.000 --> 00:03:06.000]  大衛面對這麼艱難的情況
[00:03:06.000 --> 00:03:12.000]  但詩中很少講他的埋怨、他的訴苦
[00:03:12.000 --> 00:03:17.000]  反而有很多正能量的訊息在裏面
[00:03:17.000 --> 00:03:20.000]  我們一起看看他的見證
[00:03:20.000 --> 00:03:23.000]  我們看第一段
[00:03:23.000 --> 00:03:24.000]  一至六節
[00:03:24.000 --> 00:03:27.000]  如果大家看到經文可以幫我讀出來
[00:03:27.000 --> 00:03:29.000]  預備,一二三
[00:03:29.000 --> 00:03:31.000]  (廣東話)
[00:03:32.000 --> 00:03:34.000]  (廣東話)
[00:03:35.000 --> 00:03:37.000]  (廣東話)
[00:03:38.000 --> 00:03:40.000]  (廣東話)
[00:03:41.000 --> 00:03:43.000]  (廣東話)
[00:04:09.000 --> 00:04:15.000]  這段經文可以歸納兩個重點
[00:04:15.000 --> 00:04:20.000]  第一個重點是大衛夢神拯救的經歷
[00:04:20.000 --> 00:04:22.000]  如果我們看第一節
[00:04:22.000 --> 00:04:24.000]  你留意到
[00:04:24.000 --> 00:04:31.000]  「我要時時稱頌耶和華,讚美他的話常在我口中」
[00:04:31.000 --> 00:04:33.000]  有沒有留意那兩個字眼
[00:04:33.000 --> 00:04:37.000]  「時時」和「常在」
[00:04:37.000 --> 00:04:44.000]  大衛對主的讚美、稱頌不是限定某一個時刻
[00:04:44.000 --> 00:04:47.000]  而是在他日常生活裏面
[00:04:47.000 --> 00:04:49.000]  無論遇到甚麼情況
[00:04:49.000 --> 00:04:54.000]  他都會定義去讚美、去稱頌
[00:04:54.000 --> 00:04:56.000]  留意第三節
[00:04:56.000 --> 00:04:57.000]  大衛說
[00:04:57.000 --> 00:05:04.000]  「你們要和我一同尊嚴和偉大,而我們一同高舉他的名」
[00:05:04.000 --> 00:05:09.000]  我們看到大衛對主的尊崇和敬畏的心
[00:05:09.000 --> 00:05:12.000]  尊主偉大,高舉主的名
[00:05:12.000 --> 00:05:14.000]  有時我們唱詩都會唱到
[00:05:14.000 --> 00:05:16.000]  我們高舉主的名
[00:05:16.000 --> 00:05:20.000]  代表我們的生命
[00:05:20.000 --> 00:05:23.000]  神在我們的生命裏面佔有很重要的位置
[00:05:23.000 --> 00:05:28.000]  我們要去公開、去稱頌、去述說神的名
[00:05:28.000 --> 00:05:29.000]  神的榮耀
[00:05:29.000 --> 00:05:31.000]  這個就是高舉
[00:05:31.000 --> 00:05:33.000]  第三節說到「你們」這兩個字
[00:05:33.000 --> 00:05:35.000]  是誰來的呢?
[00:05:35.000 --> 00:05:39.000]  原來是有關這首詩的特色
[00:05:39.000 --> 00:05:42.000]  大衛的說話是有一個對象
[00:05:42.000 --> 00:05:46.000]  其實是一班他信仰的同路人
[00:05:46.000 --> 00:05:49.000]  所以詩裏面有很多不同的稱謂
[00:05:49.000 --> 00:05:51.000]  譬如第二節
[00:05:51.000 --> 00:05:56.000]  謙卑人,是否看到?
[00:05:56.000 --> 00:05:59.000]  還有第五節
[00:05:59.000 --> 00:06:01.000]  仰望他的人
[00:06:01.000 --> 00:06:02.000]  第六節呢?
[00:06:02.000 --> 00:06:05.000]  困苦人
[00:06:05.000 --> 00:06:09.000]  謙卑人、困苦人的字根是相同的
[00:06:09.000 --> 00:06:14.000]  是說受到外面環境欺壓的人
[00:06:14.000 --> 00:06:18.000]  當他們聽到大衛被神拯救的見證
[00:06:18.000 --> 00:06:21.000]  他們就會感到好像第二節所說的很喜樂
[00:06:21.000 --> 00:06:24.000]  大衛勉勵他們這班同路人
[00:06:24.000 --> 00:06:28.000]  一起去稱頌神、去尊主偉大
[00:06:28.000 --> 00:06:31.000]  我們見到大衛遇上困境危難的時候
[00:06:31.000 --> 00:06:33.000]  他當然會害怕
[00:06:33.000 --> 00:06:34.000]  有壓力
[00:06:34.000 --> 00:06:36.000]  不過很奇妙的是
[00:06:36.000 --> 00:06:41.000]  他仍然可以去歌頌、稱頌神
[00:06:41.000 --> 00:06:45.000]  那他的秘訣在哪裏呢?
[00:06:45.000 --> 00:06:48.000]  我們看看第四至六節
[00:06:48.000 --> 00:06:54.000]  亦是這段經文第二個重點
[00:06:54.000 --> 00:06:57.000]  大衛向神投靠
[00:06:57.000 --> 00:07:00.000]  然後神對大衛的回應
[00:07:00.000 --> 00:07:02.000]  第四節
[00:07:02.000 --> 00:07:03.000]  見到嗎?
[00:07:03.000 --> 00:07:05.000]  第四節是尋求
[00:07:05.000 --> 00:07:06.000]  第五節呢?
[00:07:06.000 --> 00:07:09.000]  仰望神
[00:07:09.000 --> 00:07:11.000]  第六節呢?
[00:07:11.000 --> 00:07:14.000]  呼求神
[00:07:14.000 --> 00:07:17.000]  然後第四節
[00:07:17.000 --> 00:07:18.000]  看神如何回應他
[00:07:18.000 --> 00:07:20.000]  神應運他
[00:07:20.000 --> 00:07:21.000]  第六節
[00:07:21.000 --> 00:07:24.000]  神垂聽
[00:07:24.000 --> 00:07:25.000]  見到嗎?
[00:07:25.000 --> 00:07:26.000]  綠色字
[00:07:26.000 --> 00:07:29.000]  還有補充第五節
[00:07:29.000 --> 00:07:31.000]  仰望神的人有甚麼?
[00:07:31.000 --> 00:07:33.000]  有光榮
[00:07:33.000 --> 00:07:37.000]  他們的念必不蒙受
[00:07:37.000 --> 00:07:41.000]  大衛蒙神光照
[00:07:41.000 --> 00:07:46.000]  我記得大衛在詩篇第三篇
[00:07:46.000 --> 00:07:48.000]  有類似的訊息
[00:07:48.000 --> 00:07:50.000]  三篇第三節
[00:07:50.000 --> 00:07:52.000]  但你要說是我四圍的盾牌
[00:07:52.000 --> 00:07:54.000]  是我的榮耀
[00:07:54.000 --> 00:07:56.000]  有事叫我抬起頭來的
[00:07:57.000 --> 00:08:02.000]  所以第五節的光榮是在說神的榮耀
[00:08:02.000 --> 00:08:05.000]  大衛被神光照
[00:08:05.000 --> 00:08:08.000]  令他不覺得羞愧
[00:08:08.000 --> 00:08:11.000]  他可以堅定地向四圍的仇敵
[00:08:11.000 --> 00:08:13.000]  他可以抬起頭來
[00:08:13.000 --> 00:08:17.000]  所以大衛雖然遇到困境
[00:08:17.000 --> 00:08:18.000]  患難
[00:08:18.000 --> 00:08:20.000]  他不至於跌倒
[00:08:20.000 --> 00:08:21.000]  喪膽
[00:08:21.000 --> 00:08:23.000]  或者放棄
[00:08:23.000 --> 00:08:26.000]  他定義選擇
[00:08:26.000 --> 00:08:28.000]  四至六節
[00:08:28.000 --> 00:08:30.000]  尋求神
[00:08:30.000 --> 00:08:31.000]  仰望神
[00:08:31.000 --> 00:08:33.000]  還有呢?
[00:08:33.000 --> 00:08:35.000]  呼求神
[00:08:35.000 --> 00:08:38.000]  記住這三個字眼
[00:08:38.000 --> 00:08:43.000]  我今天經常會重複強調
[00:08:43.000 --> 00:08:44.000]  尋求神
[00:08:44.000 --> 00:08:45.000]  仰望神
[00:08:45.000 --> 00:08:47.000]  和呼求神
[00:08:47.000 --> 00:08:51.000]  他沒有再依靠自己的聰明和能力
[00:08:51.000 --> 00:08:55.000]  雖然他年輕的時候曾經打過一場勝仗
[00:08:55.000 --> 00:08:57.000]  他打贏了哥利亞
[00:08:57.000 --> 00:08:58.000]  我相信他也記得
[00:08:58.000 --> 00:08:59.000]  如果沒有神的幫助
[00:08:59.000 --> 00:09:02.000]  他不能夠戰勝這個仇敵
[00:09:02.000 --> 00:09:05.000]  他當時向哥利亞怎樣宣告呢?
[00:09:05.000 --> 00:09:07.000]  他說我是靠著萬軍的耶和華去征戰
[00:09:07.000 --> 00:09:09.000]  大家記不記得?
[00:09:09.000 --> 00:09:12.000]  他全心全意去依靠神
[00:09:12.000 --> 00:09:14.000]  這個就是他得勝的秘訣
[00:09:14.000 --> 00:09:19.000]  所以我們人生總會遇到這些艱難
[00:09:19.000 --> 00:09:24.000]  當我們面對現實或想像中的危險時
[00:09:24.000 --> 00:09:28.000]  我們的身體和情緒都會害怕
[00:09:28.000 --> 00:09:31.000]  也會緊張
[00:09:31.000 --> 00:09:34.000]  其實是在預備我們作出一些防禦
[00:09:34.000 --> 00:09:37.000]  或者逃走的行動
[00:09:37.000 --> 00:09:40.000]  作為每一種危險的本能
[00:09:40.000 --> 00:09:43.000]  所以害怕是很自然的反應
[00:09:43.000 --> 00:09:47.000]  也有很正面的作用
[00:09:47.000 --> 00:09:51.000]  不知道大家最害怕什麼呢?
[00:09:51.000 --> 00:09:55.000]  很多男人都害怕拍攝老婆的
[00:09:55.000 --> 00:10:02.000]  例如我們想想疫情初期的去年
[00:10:02.000 --> 00:10:05.000]  其實全城都很緊張
[00:10:05.000 --> 00:10:06.000]  不知道大家記不記得
[00:10:06.000 --> 00:10:10.000]  去過超市排長龍
[00:10:10.000 --> 00:10:12.000]  有沒有試過去超市排長龍
[00:10:12.000 --> 00:10:15.000]  是找不到龍尾的
[00:10:15.000 --> 00:10:18.000]  其實買一些很簡單的東西
[00:10:18.000 --> 00:10:23.000]  消毒藥品、廁紙、口罩
[00:10:23.000 --> 00:10:26.000]  我聽過一位城中名人分享
[00:10:26.000 --> 00:10:28.000]  他的女兒去超市買不到廁紙
[00:10:28.000 --> 00:10:31.000]  當時女兒二十多歲,回家後多麼哭泣
[00:10:31.000 --> 00:10:36.000]  因為她生長在一個富裕的家庭
[00:10:36.000 --> 00:10:40.000]  她在香港從來沒有遇過這樣的事
[00:10:40.000 --> 00:10:44.000]  如果你不適切去回應這些恐懼
[00:10:44.000 --> 00:10:46.000]  或者過多恐懼
[00:10:46.000 --> 00:10:48.000]  會變成什麼呢?
[00:10:48.000 --> 00:10:51.000]  恐慌
[00:10:51.000 --> 00:10:54.000]  人會失去理性
[00:10:54.000 --> 00:10:58.000]  還記得有人打劫廁紙嗎?
[00:10:58.000 --> 00:11:02.000]  有沒有聽過有人因為很害怕
[00:11:02.000 --> 00:11:05.000]  很害怕馬上買機票離開
