
[00:00:00.000 --> 00:00:05.000]  今天可以合堂崇拜也不是必然的事
[00:00:05.000 --> 00:00:08.000]  我不知道你剛才聽的時候心裡有什麼體會
[00:00:08.000 --> 00:00:10.000]  我經常問自己
[00:00:10.000 --> 00:00:16.000]  做一個牧師
[00:00:16.000 --> 00:00:19.000]  我想怎樣帶領一個群體呢
[00:00:19.000 --> 00:00:22.000]  這次真是死火了
[00:00:22.000 --> 00:00:27.000]  做一個牧師想怎樣帶領一個群體呢
[00:00:27.000 --> 00:00:32.000]  我剛才在下面問了自己一個重新再問過自己這個問題
[00:00:32.000 --> 00:00:38.000]  答案還是無邊
[00:00:38.000 --> 00:00:44.000]  我也很想帶領一個有生命的群體
[00:00:44.000 --> 00:00:50.000]  精少報為了恩福很多資源
[00:00:50.000 --> 00:00:52.000]  我們可以用很多錢
[00:00:52.000 --> 00:00:55.000]  去讓你們在台上變
[00:00:55.000 --> 00:00:57.000]  可以表現得很美
[00:00:57.000 --> 00:01:00.000]  我們可以找到很專業的人
[00:01:00.000 --> 00:01:03.000]  去拍一條很美的影片
[00:01:03.000 --> 00:01:04.000]  我們不需要找裴正
[00:01:04.000 --> 00:01:06.000]  裴正在哪裡
[00:01:06.000 --> 00:01:08.000]  裴正很專業的,讓你知道
[00:01:08.000 --> 00:01:10.000]  裴正在哪裡?我可以舉手看看嗎?
[00:01:10.000 --> 00:01:13.000]  不知道在哪裡,在那裡,真是拍得很好
[00:01:13.000 --> 00:01:16.000]  拍得很有畫面,是不是?
[00:01:16.000 --> 00:01:20.000]  音樂堂可以
[00:01:20.000 --> 00:01:23.000]  買很多很美的器材讓我們競拜隊走出來
[00:01:23.000 --> 00:01:25.000]  我們可以裝很多燈
[00:01:25.000 --> 00:01:28.000]  讓你們像超級明星一樣走出來表演
[00:01:28.000 --> 00:01:31.000]  剛才我在這裡再問自己一個問題
[00:01:31.000 --> 00:01:33.000]  作為一個熟齡的領袖
[00:01:33.000 --> 00:01:35.000]  想帶領精少報去哪裡
[00:01:35.000 --> 00:01:37.000]  我仍然都是那個答案
