
[00:00:00.000 --> 00:00:05.000]  其實這段時間要隔離
[00:00:05.000 --> 00:00:08.000]  今天疫情很厲害
[00:00:08.000 --> 00:00:13.000]  350宗是爆發之最高的數字
[00:00:13.000 --> 00:00:17.000]  所以心情都不懂得說
[00:00:17.000 --> 00:00:20.000]  尤其是新年
[00:00:20.000 --> 00:00:23.000]  打算見見家人
[00:00:23.000 --> 00:00:25.000]  可以吃飯
[00:00:25.000 --> 00:00:28.000]  誰知大家要做好措施
[00:00:28.000 --> 00:00:32.000]  所以在敬拜裏
[00:00:32.000 --> 00:00:34.000]  在詩歌裏
[00:00:34.000 --> 00:00:36.000]  在禱告裏
[00:00:36.000 --> 00:00:38.000]  可以將我自己再一次交給神
[00:00:38.000 --> 00:00:41.000]  在神裏得到力量
[00:00:41.000 --> 00:00:44.000]  可以見到神是一個怎樣的神
[00:00:44.000 --> 00:00:45.000]  祂是愛我們
[00:00:45.000 --> 00:00:47.000]  並且祂是尊貴
[00:00:47.000 --> 00:00:49.000]  剛才最後那首詩歌
[00:00:49.000 --> 00:00:53.000]  簡直就是我預備這篇道的心聲
[00:00:53.000 --> 00:00:54.000]  很感謝敬拜隊
[00:00:54.000 --> 00:00:57.000]  感謝弟兄姊妹一起的預備
[00:00:57.000 --> 00:00:58.000]  對了
[00:00:58.000 --> 00:00:59.000]  剛剛說起
[00:00:59.000 --> 00:01:01.000]  其實今天是初五
[00:01:01.000 --> 00:01:02.000]  昨天是初四
[00:01:02.000 --> 00:01:05.000]  不知道你們有沒有像初四一樣
[00:01:05.000 --> 00:01:06.000]  初五
[00:01:06.000 --> 00:01:08.000]  我上次聖誕節說了
[00:01:08.000 --> 00:01:10.000]  今天新年又說了
[00:01:10.000 --> 00:01:13.000]  本來拿著很興奮的心情
[00:01:13.000 --> 00:01:15.000]  既然興奮
[00:01:15.000 --> 00:01:17.000]  興奮下去
[00:01:17.000 --> 00:01:18.000]  我就想問
[00:01:18.000 --> 00:01:19.000]  譬如新年
[00:01:19.000 --> 00:01:21.000]  吃團年飯
[00:01:21.000 --> 00:01:24.000]  譬如有燒鵝
[00:01:24.000 --> 00:01:29.000]  你覺得燒鵝哪一部份是最好吃的
[00:01:29.000 --> 00:01:32.000]  當然是燒鵝腿
[00:01:32.000 --> 00:01:34.000]  平時新年
[00:01:34.000 --> 00:01:36.000]  我們一定會去看電影
[00:01:36.000 --> 00:01:38.000]  有人說賀歲電影
[00:01:38.000 --> 00:01:41.000]  那些藝人能夠做賀歲電影
[00:01:41.000 --> 00:01:43.000]  都有一定程度
[00:01:43.000 --> 00:01:45.000]  所以如果我們看電影
[00:01:45.000 --> 00:01:48.000]  譬如去IMAX 4DX
[00:01:48.000 --> 00:01:51.000]  你會買哪個季節最好
[00:01:51.000 --> 00:01:53.000]  當然是中間
[00:01:53.000 --> 00:01:55.000]  中間的位置最好
[00:01:55.000 --> 00:01:57.000]  不要太前不要太後
[00:01:57.000 --> 00:02:00.000]  很久沒有跨年煙花秀了
[00:02:00.000 --> 00:02:02.000]  如果我們真的看煙花
[00:02:02.000 --> 00:02:03.000]  很開心
[00:02:03.000 --> 00:02:06.000]  雖然現在好像說那些大廈
[00:02:06.000 --> 00:02:09.000]  那些屋邨或者圍邨
[00:02:09.000 --> 00:02:11.000]  放煙花放得很大聲
[00:02:11.000 --> 00:02:14.000]  如果以前維港有煙花的時候
[00:02:14.000 --> 00:02:16.000]  哪裏看煙花最好
[00:02:16.000 --> 00:02:18.000]  當然是去海旁
[00:02:18.000 --> 00:02:24.000]  或者有些看到煙花的屋頂
[00:02:24.000 --> 00:02:26.000]  好了說到這裏
[00:02:26.000 --> 00:02:29.000]  其實如果我們真的拍拖
[00:02:29.000 --> 00:02:31.000]  拍拖紀念日
[00:02:31.000 --> 00:02:35.000]  吃什麼是最好呢
[00:02:35.000 --> 00:02:38.000]  當然是吃那些歐巴清酒
[00:02:38.000 --> 00:02:40.000]  什麼米豬年那些
[00:02:40.000 --> 00:02:44.000]  一定不是兩餸飯
[00:02:44.000 --> 00:02:46.000]  好了新一年
[00:02:46.000 --> 00:02:50.000]  去到這裏已經2022年2月了
[00:02:50.000 --> 00:02:51.000]  我覺得很快
[00:02:51.000 --> 00:02:56.000]  你有沒有考慮過人生什麼是最好呢
[00:02:56.000 --> 00:02:59.000]  今天看的故事人物
[00:02:59.000 --> 00:03:01.000]  他人生最好的
[00:03:01.000 --> 00:03:05.000]  又和今天的主題有什麼關係呢
[00:03:05.000 --> 00:03:09.000]  標青有個主題就是關於全福音
[00:03:09.000 --> 00:03:11.000]  這個月其實主題就是
[00:03:11.000 --> 00:03:14.000]  福音讓人離開罪的核制
[00:03:14.000 --> 00:03:16.000]  即是free
[00:03:16.000 --> 00:03:17.000]  我記得大衛牧師說
[00:03:17.000 --> 00:03:20.000]  死透就自由了
[00:03:20.000 --> 00:03:23.000]  今天我們一起看路加福音
[00:03:23.000 --> 00:03:25.000]  路加福音和使徒行傳
[00:03:25.000 --> 00:03:29.000]  你若果記得使徒行傳是講全福音的
[00:03:29.000 --> 00:03:33.000]  路加福音和使徒行傳很有緊密的關係
[00:03:33.000 --> 00:03:35.000]  使徒行傳記載了耶穌復活之後
[00:03:35.000 --> 00:03:37.000]  他刺客聖靈
[00:03:37.000 --> 00:03:40.000]  叫使徒去建立教會
[00:03:40.000 --> 00:03:42.000]  並且在聖靈帶領之下
[00:03:42.000 --> 00:03:44.000]  雖然困難重重
[00:03:44.000 --> 00:03:47.000]  但仍能將福音傳到外邦
