
[00:00:00.000 --> 00:00:03.960]  今天宣講的講題是「少奧江湖」
[00:00:03.960 --> 00:00:08.760]  所宣講的經文是哈巴谷書一到三章的部分的節錄
[00:00:08.760 --> 00:00:12.560]  此刻讓我們一起同心大聲讀出神的話語
[00:00:12.560 --> 00:00:15.760]  哈巴谷書一章的一至四字
[00:00:15.760 --> 00:00:17.760]  二章的六至二十字
[00:00:17.760 --> 00:00:20.760]  三章的十七至十八字
[00:00:20.760 --> 00:00:21.760]  我們一起讀
[00:00:21.760 --> 00:00:25.560]  先知哈巴谷所得的物是
[00:00:25.560 --> 00:00:32.060]  他曰:「耶和華,我呼求你,你不應運,要到幾時呢?
[00:00:32.060 --> 00:00:36.560]  我因強暴哀求你,你容不拯救
[00:00:36.560 --> 00:00:44.060]  你為何使我看見罪孽,你為何看著關閣而不理呢?
[00:00:44.060 --> 00:00:51.060]  毀滅我強暴在我面前,又起了枕端和上斗的事
[00:00:51.060 --> 00:00:58.560]  因此律法放鬆,功利不困兵戎,惡人唯困二人
[00:00:58.560 --> 00:01:03.060]  所以功利顯然顛倒」二章的六字
[00:01:03.060 --> 00:01:10.560]  這些各的民豈不都要提起詩歌並俗語記此它說
[00:01:10.560 --> 00:01:16.560]  「和在迦勒底也,你爭天不贖自己的財物
[00:01:16.560 --> 00:01:22.060]  多多取人的當頭,要到幾時為止呢?
[00:01:22.060 --> 00:01:25.560]  咬傷你的豈不忽然起怒?
[00:01:25.560 --> 00:01:28.560]  要害你的豈不輕棄?
[00:01:28.560 --> 00:01:32.060]  你就作貪玩的勞民嗎?
[00:01:32.060 --> 00:01:36.560]  因你搶奪許多的國,殺人流血
[00:01:36.560 --> 00:01:42.560]  在國內的城,並城中一切居民私下盤捕
[00:01:42.560 --> 00:01:47.060]  所以各國剩下的民都必搶奪你
[00:01:47.060 --> 00:01:50.060]  為本家積蓄不義之財
[00:01:50.060 --> 00:01:56.060]  在高處踏過,只望免災的又何了?
[00:01:56.060 --> 00:01:59.060]  你圖謀剪除多國的民
[00:01:59.060 --> 00:02:04.560]  犯了罪使你的家蒙羞,只害幾名
[00:02:04.560 --> 00:02:10.560]  牆裏的石頭必呼叫,房內的房額必形成
[00:02:10.560 --> 00:02:16.560]  以人血建城,以罪孽納一的人又何了?
[00:02:16.560 --> 00:02:21.060]  眾民所勞碌得來的,避火焚燒
[00:02:21.060 --> 00:02:25.560]  你各由困乏而得的,貴於去控
[00:02:25.560 --> 00:02:29.560]  不都是出於原來君子耶和華嗎?
[00:02:29.560 --> 00:02:35.060]  認識耶和華榮耀的知識,要充滿遍地
[00:02:35.060 --> 00:02:43.060]  好像水充滿河河一樣,吸引酒喝又加上毒物
[00:02:43.060 --> 00:02:49.060]  使人喝醉,好看見他下體的人又何了?
[00:02:49.060 --> 00:02:53.060]  你本受羞辱,不榮耀
[00:02:53.060 --> 00:02:57.560]  你也學辦,顯出是未受國禮的
[00:02:57.560 --> 00:03:02.060]  耶和華右手的杯必傳到你那裏
[00:03:02.060 --> 00:03:06.060]  你的榮耀就變為大大地羞辱
[00:03:06.060 --> 00:03:11.060]  你向黎巴嫩行強暴與殘害驚嚇
[00:03:11.060 --> 00:03:14.060]  野獸的事必遮蓋你
