
[00:00:00.000 --> 00:00:07.000]  大家好大家好大家好
[00:00:07.000 --> 00:00:10.000]  多謝我們服事團隊
[00:00:10.000 --> 00:00:17.000]  讓我們能夠很安心地一起在這裡專心去敬拜我們的主
[00:00:17.000 --> 00:00:19.000]  可不可以給點掌聲鼓勵一下他們
[00:00:19.000 --> 00:00:22.000]  多謝敬拜隊多謝AV team多謝C視隊
[00:00:22.000 --> 00:00:26.000]  剛才兩位主席大敬拜
[00:00:26.000 --> 00:00:32.000]  我覺得他們的內容給我一個感受
[00:00:32.000 --> 00:00:35.000]  我們回到教會裡面
[00:00:35.000 --> 00:00:42.000]  其實我們好像只懂得求主的恩惠在我們心靈裡面
[00:00:42.000 --> 00:00:44.000]  但是我們很少經歷了之後
[00:00:44.000 --> 00:00:47.000]  我們回到上帝面前去感恩
[00:00:47.000 --> 00:00:49.000]  我覺得是一個很好的提醒
[00:00:49.000 --> 00:00:55.000]  讓我們回到崇拜裡面一起敬拜我們的主
[00:00:55.000 --> 00:00:59.000]  能夠有力的和可以帶著喜樂的心
[00:00:59.000 --> 00:01:03.000]  我想今天說的訊息叫做
[00:01:03.000 --> 00:01:06.000]  內怕別怕自己浮浮沉沉
[00:01:06.000 --> 00:01:08.000]  還沒進入講題之前
[00:01:08.000 --> 00:01:12.000]  你知道明天早上
[00:01:12.000 --> 00:01:13.000]  沒有什麼關係的
[00:01:13.000 --> 00:01:14.000]  不過我想聊聊天
[00:01:14.000 --> 00:01:17.000]  明天早上發生什麼事
[00:01:17.000 --> 00:01:21.000]  有沒有人參加渣罵
[00:01:21.000 --> 00:01:24.000]  有沒有突然之間參加渣罵
[00:01:24.000 --> 00:01:26.000]  有啊
[00:01:26.000 --> 00:01:28.000]  Hazel姐
[00:01:28.000 --> 00:01:29.000]  很厲害
[00:01:29.000 --> 00:01:33.000]  我猜不到你們都很少
[00:01:33.000 --> 00:01:37.000]  這些活動這麼少人參加
[00:01:37.000 --> 00:01:39.000]  都很多年了
[00:01:39.000 --> 00:01:41.000]  都挺熱鬧的
[00:01:41.000 --> 00:01:43.000]  不要看我這個樣子
[00:01:43.000 --> 00:01:47.000]  其實我在好幾年前
[00:01:47.000 --> 00:01:49.000]  其實都有參加過10K
[00:01:49.000 --> 00:01:51.000]  不要說笑
[00:01:51.000 --> 00:01:55.000]  通常電視機都訪問馬拉松選手
[00:01:55.000 --> 00:01:58.000]  你通常聽他們訪問
[00:01:58.000 --> 00:01:59.000]  訪問他們什麼
[00:01:59.000 --> 00:02:01.000]  通常第一句都問他們什麼
[00:02:01.000 --> 00:02:04.000]  有沒有信心完成馬拉松
[00:02:04.000 --> 00:02:05.000]  有沒有信心馬拉松
[00:02:05.000 --> 00:02:07.000]  這麼冷的天氣你都來跑
[00:02:07.000 --> 00:02:09.000]  通常都問這些
[00:02:09.000 --> 00:02:11.000]  不過都是這樣
[00:02:11.000 --> 00:02:15.000]  其實我想聖經裡面都很多
[00:02:15.000 --> 00:02:17.000]  尤其是保羅
[00:02:17.000 --> 00:02:19.000]  都有些比喻
[00:02:19.000 --> 00:02:23.000]  比喻我們信徒的生命歷程
[00:02:23.000 --> 00:02:25.000]  都好像跑馬拉松一樣
[00:02:25.000 --> 00:02:29.000]  在當中都會向著一個目標
[00:02:29.000 --> 00:02:32.000]  我想跑馬拉松最重要的是什麼
[00:02:32.000 --> 00:02:35.000]  參加馬拉松那幾位
[00:02:35.000 --> 00:02:37.000]  最重要的是什麼
[00:02:37.000 --> 00:02:39.000]  最重要是有練習
[00:02:39.000 --> 00:02:40.000]  有鍛鍊
[00:02:40.000 --> 00:02:43.000]  通常不要說笑
[00:02:43.000 --> 00:02:48.000]  你跑馬拉松不是一開始就跑40多K
[00:02:48.000 --> 00:02:53.000]  可能你要逐少逐少去練習
[00:02:53.000 --> 00:02:55.000]  可能一天跑兩三K
[00:02:55.000 --> 00:02:57.000]  然後5K 10K 15K
[00:02:57.000 --> 00:02:59.000]  慢慢去堆積上去
[00:02:59.000 --> 00:03:01.000]  其實我們信徒的生命
[00:03:01.000 --> 00:03:03.000]  都是差不多
[00:03:03.000 --> 00:03:08.000]  信心可能是我們走信徒的生命的馬拉松
[00:03:08.000 --> 00:03:09.000]  是我們的力量
[00:03:09.000 --> 00:03:11.000]  我們怎樣去操練信心
[00:03:11.000 --> 00:03:12.000]  其實都是
[00:03:12.000 --> 00:03:15.000]  我們一步一步去慢慢累積信心
