提問:死亡、眼淚、生命,三件事,到底對我們的信仰,對人間我們所面對的生活,有什麼深一層的意思呢?。
死亡其實都是人類經常,未至於掛於口邊,但是我們常常都會面對、碰上的,無論是自己的死亡,又或者是我們身邊的摯友、親朋,可能比我們早一步離開這個世界的,我們都會經常遇上這些事情。。
又或者你見到我們後面,我們中文大學的醫院正是升得越來越快,越來越高,每一次在崇拜的時候看到它都在長大。。
醫療的工作其實某程度上都是將人暫時免於死亡,越高明的醫術就將我們的壽數可能會再拖延一些,但始終都會死。。
又或者很多健康的藥品的行業,是強身健體的,目的都是希望我們健康一些,亦都可以遲一些死,不過最後都會死。。
死亡自古以來都是人類一個頗大的哲學課題,所以無論神學也好,哲學家也好,很多時候都用不同的角度去探討死亡。。
死亡和我們的人生經驗,甚至乎人類的歷史糾纏,這個是不爭的事實。不同性格,不同信念的人,或者不同文化背景,不同宗教背景的人,自然對死亡是會有不同的詮釋,有不同的觀點。。
司徒丘漢在我今天選取的這段經文裏面,《約翰福音》第十一章這段經文,其實在他垂暮之年,我記得我上一次講到都提過,他當時大概都是九十多甚至一百歲這個年紀,去寫下耶穌基督的福音記事。。
有一個獨家報道,其實《約翰福音》不單止這個獨家報道,不過拉薩路這個故事,就是一個獨家的報道,是講了拉薩路怎樣從死裏面復活。。
而事實上我們讀的第十一章這個章段裏面,他總共有十五次是用到和死亡有關的詞彙,你就可以見到,約翰作為一個作者,都很想我們這班讀者在這裏特別有一個很明顯的焦點,就是思想死亡這回事。。
到底死亡和耶穌基督的生平,又怎樣連上關係,又怎樣去塑造出,或者告訴我們聽,耶穌基督那份神聖,和祂這份神聖和死亡之間的拉扯是怎樣的呢?。
他牽引著我們這班讀者,是一次進入了死亡,然後復活的神蹟裏面,我相信可以透過這段經文,我們更加認識主耶穌,認識自己,認識人性。。
突破機構創辦人蘇恩佩女士,在她的很出名的著作,都是長期的暢銷書《死亡別狂澳》裏面,她引用了英國的十六世紀一位詩人,很出名的詩人,約翰多恩,John Donne,他的十四行詩,恩佩姐在裏面就譯了以下這幾句,我讀出來。。
她說死亡別狂澳,還說有人稱你聲勢駭人,然而並非如此。那些你自信可以推翻的人,是不滅的可憐的死亡,你未能殺我。。
如果回看蘇恩佩女士的生平,大家都會知道,恩佩姐其實面對死亡,在死亡的邊緣掙扎有二十年左右的時間,作為一位在死亡裏面的常客,或者在死亡邊緣裏面的常客,她寫下這本書,對死亡的吶喊。。
