鄧前輩,大家好!聖誕快樂!。
很高興能夠在今天這個主日崇拜的時間,。
跟大家一起再次透過神的說話,。
一起來思想聖誕的意義。。
讓我們再次同心低頭禱告,。
預備我們心思意念,。
來領受主的教導,。
讓我們一起同心低頭禱告。。
慈悲的天父,多謝你,。
讓我們能夠再次回來,。
在你寶貴的說話的面前,。
在這個聖誕節的節期期間,。
讓我們能夠眾大兄姊妹聚在一起,。
再次以你的說話,。
來提醒我們聖誕的意義。。
其實每一個聖誕,。
都能夠讓我們再思索到上帝你的大愛,。
讓我們能夠在今天,。
同樣在這個講道的時間,。
讓我們眾大兄姊妹能夠一起同心,。
在你的真道當中,。
能夠再次去思索到,。
上帝你對我們的恩典,。
是何等的深,何等的闊。。
也讓我們帶著這份心思意念,。
這份領受感恩的心,。
能夠繼續在我們面前的人生路上,。
帶領更多的人,。
去在上帝這份長闊高深的恩典當中,。
同樣蒙受主你的祝福。。
我們的禱告,。
奉靠主耶穌基督德性的名字以求。。
阿們!。
好!今天跟大家一起,。
在聖誕節期當中的主日,。
去分享的經文,。
是出自於《約翰福音》。。
如果大家有《約翰福音》的,。
有聖經的,。
請跟我一起打開,。
《約翰福音》的第一章,。
從第十四節至到第十八節。。
我今天給了一個講題,。
叫做《終於看見那位,。
我們所看不見的。》。
不知道大家有沒有試過,。
去很掛念一個人,。
說他這個人,。
是你遠在家鄉裏面的父母,。
或者你的兄弟姊妹,。
或者是因為某種原因,。
你和你的配偶,。
暫時是分開兩地,。
甚至可能你所掛念的,。
是你一個很好的朋友,。
你很希望和他去見面,。
不過種種的原因,。
大家因為地域而分隔了。。
講到掛念這件事,。
其實是一個很重要的課題,。
當然談到掛念,。
當然是那個人,。
不能夠和你在場,。
一起的生活,。
但是你也很想見到他一面,。
於是乎掛念這個事情,。
就成為了我們很多時候,。
去希望和那個人,。
有一個更緊密的關係的一個期盼,。
於是乎無論只是一張很簡單的照片,。
或者是關乎於那個人一件,。
很平平無奇的一件物件,。
甚至可能是那個人,。
做過一些小小的事情,。
留在你的腦海裏面,。
每一個這些片段,。
都成為一個很重要的一件事情,。
不能夠讓你和那個人,。
維持一份的關係,。
來到今時今日,。
我們在這個資訊發達的世界裏面,。
我們每人都手上有一部手機,。
所以其實很多時候很容易,。
在我們的手機上面,。
都可以留下很多,。
我和某一些我很掛念的人的一些事情,。
或者經歷,。
或者可以開出來,。
可以給我們去看一下,。
過去我們曾經經歷過的事情,。
不過其中一個我很掛念的一個人物,。
就是我在法國的時候,。
認識的一位姓羅的弟兄,。
他已經不在世了,。
已經離開了,。
但是當每逢聖誕節期間的時候,。
很多時候我都會想起這位弟兄,。
因為當年當我在法國一起去,。
侍奉牧羊的時候,。
這位弟兄他的見證,。
給我有很大的鼓勵,。
而且在他臨終之前,。
他曾經和我說過一件事,。
他說很希望用他自己的人生,。
用他的經歷,。
去能夠感動一些人,。
不過他知道自己可能生命不是太長久,。
於是乎他曾經和我說過一句話,。
他說牧師,。
