
[00:00:00.000 --> 00:00:02.000]  弟子妹早安
[00:00:02.000 --> 00:00:04.320]  剛才聽到潤昌弟兄的分享
[00:00:04.320 --> 00:00:05.960]  我們很感謝神
[00:00:05.960 --> 00:00:09.160]  今天你們回崇拜豐不豐富?
[00:00:09.160 --> 00:00:11.920]  又領聖餐又聽到見證
[00:00:11.920 --> 00:00:14.400]  還有兩樣意外的收穫
[00:00:14.400 --> 00:00:17.680]  第一就是可以看到牧師的真面目
[00:00:17.680 --> 00:00:22.080]  因為由今個星期開始
[00:00:22.080 --> 00:00:26.880]  負責宗教場所的就可以不用戴口罩
[00:00:26.880 --> 00:00:31.280]  所以三年來都沒有讓你們看到牧師的真面目
[00:00:31.280 --> 00:00:34.960]  今天你們可以看到牧師的真人面目
[00:00:34.960 --> 00:00:38.120]  另外第二樣你們的收穫
[00:00:38.120 --> 00:00:44.400]  如果你們上個星期年初一有參加新春崇拜的話
[00:00:44.400 --> 00:00:46.880]  我指的是感受堂那邊
[00:00:46.880 --> 00:00:50.560]  到今天八天內
[00:00:50.560 --> 00:00:54.040]  大家就聽了牧師兩次的講道
[00:00:54.040 --> 00:00:57.120]  這個也是意料之外
[00:00:57.120 --> 00:01:00.680]  我沒想到這麼短時間講兩次
[00:01:00.680 --> 00:01:05.320]  今天我和大家分享的題目叫做無比恩典
[00:01:05.320 --> 00:01:09.280]  剛才多謝輝英幫我們已經讀了出來
[00:01:09.280 --> 00:01:13.080]  很短的經文我們試試一起讀一次
[00:01:13.080 --> 00:01:18.120]  或者我們看看哥林多後書的第八章第九節
[00:01:18.120 --> 00:01:20.760]  我們彈一彈經文出來
[00:01:20.760 --> 00:01:27.480]  預備起 你們知道我們主耶穌基督的恩典
[00:01:27.480 --> 00:01:32.760]  祂本是富足 卻使你們成了貧窮
[00:01:32.760 --> 00:01:37.760]  好叫你們的貧窮而成為富足
[00:01:37.760 --> 00:01:43.120]  這段經文的背景就是因為保羅提醒
[00:01:43.120 --> 00:01:49.040]  哥林多的教會原本他們要去為慈惠的奉獻
[00:01:49.040 --> 00:01:52.520]  要努力的 要有一個好的捐贈
[00:01:52.520 --> 00:01:55.400]  奉獻支持其他地方的需要
[00:01:55.400 --> 00:02:00.040]  不過不知道為什麼哥林多教會很勒羅
[00:02:00.040 --> 00:02:04.840]  所以他引用了另一間的教會
[00:02:04.840 --> 00:02:07.600]  馬其頓的教會去鼓勵他們
[00:02:07.600 --> 00:02:12.480]  因為馬其頓教會在他們極困難的時候
[00:02:12.480 --> 00:02:17.160]  都願意樂意積極的去奉獻
[00:02:17.160 --> 00:02:20.160]  所以用這個例子去鼓勵他們
[00:02:20.160 --> 00:02:22.360]  不單用這個例子
[00:02:22.360 --> 00:02:26.120]  最後出了一個王牌 就是這段經文
[00:02:26.120 --> 00:02:27.520]  這段經文說什麼呢?
[00:02:27.520 --> 00:02:31.760]  它說你們知道耶穌基督的恩典
[00:02:31.760 --> 00:02:33.360]  各位聽眾
[00:02:33.360 --> 00:02:37.000]  耶穌基督的恩典是一個什麼樣的恩典呢?
[00:02:37.000 --> 00:02:40.040]  我們新年和拜年很多時候都會說到
[00:02:40.040 --> 00:02:43.520]  祝你福杯滿日
[00:02:43.520 --> 00:02:45.920]  主恩是什麼?
[00:02:45.920 --> 00:02:47.400]  滿滿
[00:02:47.400 --> 00:02:48.480]  或者主恩是什麼?
[00:02:48.480 --> 00:02:49.600]  滿日
[00:02:49.600 --> 00:02:52.840]  我們祝人主的恩典是豐富的
[00:02:52.840 --> 00:02:56.240]  到底主耶穌基督的恩典是什麼呢?
[00:02:56.240 --> 00:02:59.880]  今天我們要思考這個課題
[00:02:59.880 --> 00:03:01.640]  大家都知道
[00:03:01.640 --> 00:03:03.840]  耶穌基督的恩典
[00:03:03.840 --> 00:03:06.880]  這個恩典很重要
[00:03:06.880 --> 00:03:07.680]  為什麼呢?
[00:03:07.680 --> 00:03:10.760]  因為這是一個基礎性的恩典
[00:03:10.760 --> 00:03:14.280]  如果我們有這個基礎性的恩典的時候
[00:03:14.280 --> 00:03:17.640]  我們將來再得到其他的恩典
[00:03:17.640 --> 00:03:20.040]  在上面建造的時候
[00:03:20.040 --> 00:03:22.040]  這個恩典是鞏固的
[00:03:22.040 --> 00:03:23.320]  是穩陣的
[00:03:23.320 --> 00:03:26.480]  但如果我們沒有了這個基礎性的恩典
[00:03:26.480 --> 00:03:28.440]  我們有時候得到的恩典
[00:03:28.440 --> 00:03:31.720]  都可能會不穩陣
[00:03:31.720 --> 00:03:34.280]  所以這是什麼恩典呢?
[00:03:34.280 --> 00:03:36.000]  這裡說得很清楚
[00:03:36.000 --> 00:03:41.520]  這個恩典是說到耶穌原本是負足的
[00:03:41.520 --> 00:03:46.320]  但因為你和我的原本就成為了貧窮
[00:03:46.320 --> 00:03:50.480]  又因為你和我因著耶穌的貧窮
[00:03:50.480 --> 00:03:52.960]  而成為負足
[00:03:52.960 --> 00:03:55.080]  讀起來這節聖經
[00:03:55.080 --> 00:03:56.520]  有沒有一種味道
[00:03:56.520 --> 00:04:00.720]  就好像交叉異形換影一樣
[00:04:00.720 --> 00:04:02.200]  有沒有這樣的印象?
[00:04:02.200 --> 00:04:05.760]  以前有一套劇講打排球
[00:04:05.760 --> 00:04:08.040]  講到異形換影
[00:04:08.040 --> 00:04:10.040]  有沒有這樣的印象?
[00:04:10.040 --> 00:04:13.200]  好像沒有什麼人有印象
[00:04:13.200 --> 00:04:17.360]  有印象的話應該差不多一年多了
[00:04:17.360 --> 00:04:19.920]  鬼影變幻球
[00:04:19.920 --> 00:04:20.840]  記不記得?
[00:04:20.840 --> 00:04:22.720]  交叉異形換影的
[00:04:22.720 --> 00:04:25.000]  原來耶穌的負足
[00:04:25.000 --> 00:04:27.600]  因我們成為了貧窮
[00:04:27.600 --> 00:04:28.600]  但你要記得
[00:04:28.600 --> 00:04:30.600]  這個過程裡面
[00:04:30.600 --> 00:04:33.520]  是有四個轉變當中的
[00:04:33.520 --> 00:04:35.520]  牧師今天和大家
[00:04:35.520 --> 00:04:39.280]  很快出去看看這四個轉變是什麼轉變
[00:04:39.280 --> 00:04:42.040]  第一個轉變是什麼轉變?
[00:04:42.040 --> 00:04:44.040]  是位置的轉變
[00:04:44.040 --> 00:04:46.800]  這個位置的轉變就是說
[00:04:46.800 --> 00:04:50.120]  耶穌基督要從天上的位置
[00:04:50.120 --> 00:04:51.120]  降下來
[00:04:51.120 --> 00:04:53.800]  成為一個地上的位置
[00:04:53.800 --> 00:04:55.800]  這是很不簡單的
[00:04:55.800 --> 00:04:57.000]  換句話說
[00:04:57.000 --> 00:04:59.200]  祂從天上最高的
[00:04:59.200 --> 00:05:00.480]  降下來是什麼?
[00:05:00.480 --> 00:05:03.680]  降生在馬槽裡面
[00:05:03.680 --> 00:05:06.280]  如果做生意的人就明白
[00:05:06.280 --> 00:05:10.440]  當你做得很興旺
[00:05:10.440 --> 00:05:11.640]  賺大錢
[00:05:11.640 --> 00:05:13.000]  發達的時候
[00:05:13.000 --> 00:05:16.040]  你買一間二千多呎的豪宅
