
[00:00:00.000 --> 00:00:05.520]  各位弟兄姊妹 主女兒們平安
[00:00:05.520 --> 00:00:11.520]  再一次將舞堂的祝福帶到大家當中
[00:00:11.520 --> 00:00:16.520]  大家能夠一起在神的家裡敬拜
[00:00:16.520 --> 00:00:19.020]  以及來聆聽神的話語
[00:00:19.020 --> 00:00:21.520]  都盼望神祝福我們
[00:00:21.520 --> 00:00:23.020]  我們一起有祈禱
[00:00:23.020 --> 00:00:27.020]  再一次我們將大家的心靈
[00:00:27.020 --> 00:00:29.520]  仰望我們私人的主
[00:00:29.520 --> 00:00:32.020]  你向我們顯現
[00:00:32.020 --> 00:00:34.520]  讓我們明白你的心意
[00:00:34.520 --> 00:00:38.520]  讓我們看到什麼才是永恆
[00:00:38.520 --> 00:00:42.520]  什麼才是真的值得我們去追求
[00:00:42.520 --> 00:00:46.520]  也讓我們看到世界的本質
[00:00:46.520 --> 00:00:48.520]  那個有限
[00:00:48.520 --> 00:00:55.520]  以及那個在你眼中的軟弱無力
[00:00:55.520 --> 00:00:58.520]  叫人 特別我們屬主的兒女
[00:00:58.520 --> 00:01:03.520]  都能夠真的可以來找到這個永恆
[00:01:03.520 --> 00:01:06.520]  我們在你面前等候禱告
[00:01:06.520 --> 00:01:11.520]  奉耶穌基督的名 阿們
[00:01:11.520 --> 00:01:15.520]  今天選取的經文和題目都相當簡單
[00:01:15.520 --> 00:01:20.520]  我們是一個創造人的地方
[00:01:20.520 --> 00:01:24.520]  創造新人類的地方
[00:01:24.520 --> 00:01:26.520]  如果你看英文
[00:01:26.520 --> 00:01:30.520]  新造的人是一個新的創造
[00:01:30.520 --> 00:01:32.520]  保羅很清楚
[00:01:32.520 --> 00:01:35.520]  造物主創造萬有
[00:01:35.520 --> 00:01:38.520]  六日創造世界
[00:01:38.520 --> 00:01:40.520]  有猶太背景的
[00:01:40.520 --> 00:01:42.520]  特別保羅這些拉比
[00:01:42.520 --> 00:01:45.520]  他們很明白
[00:01:45.520 --> 00:01:49.520]  舊有的創造不能夠承載神的舊恩
[00:01:49.520 --> 00:01:52.520]  必須是要有新的創造
[00:01:52.520 --> 00:01:54.520]  所以在保羅的眼中
[00:01:54.520 --> 00:01:59.520]  他看到不是他能夠做到這些事情
[00:01:59.520 --> 00:02:03.520]  十八節說一切都是出於神
[00:02:03.520 --> 00:02:05.520]  而且這個新的創造
[00:02:05.520 --> 00:02:10.520]  是要將人帶到神的面前
[00:02:10.520 --> 00:02:11.520]  這裡告訴我們
[00:02:11.520 --> 00:02:14.520]  是神自己藉著基督
[00:02:14.520 --> 00:02:21.520]  使得我們和他和這位造物主和好
[00:02:21.520 --> 00:02:25.520]  使得我們能夠在神面前
[00:02:25.520 --> 00:02:28.520]  不單止我們的罪得到赦免
[00:02:28.520 --> 00:02:31.520]  而且到了第21節
[00:02:31.520 --> 00:02:34.520]  神使得這些無罪的
[00:02:34.520 --> 00:02:36.520]  當然就是這位主
[00:02:36.520 --> 00:02:40.520]  看到這位無罪者替我們成為罪
[00:02:40.520 --> 00:02:43.520]  以致我們可以在神的面前
[00:02:43.520 --> 00:02:46.520]  得到的是神的義
[00:02:46.520 --> 00:02:48.520]  不只是無罪這麼簡單
[00:02:48.520 --> 00:02:50.520]  得到的是神的義
[00:02:50.520 --> 00:02:52.520]  在保羅的眼中他明白
[00:02:52.520 --> 00:02:55.520]  所以今天很想藉這個題目
