
[00:00:00.000 --> 00:00:02.000]  頂智慧平安
[00:00:02.000 --> 00:00:07.000]  我感恩有機會再次跟大家分享上帝的話語
[00:00:07.000 --> 00:00:12.000]  轉眼間 原來已經過了幾個月
[00:00:12.000 --> 00:00:14.000]  幾個月前 六月的時候
[00:00:14.000 --> 00:00:16.000]  跟大家分享一個主題
[00:00:16.000 --> 00:00:19.000]  用阿伯拉罕作為核心
[00:00:19.000 --> 00:00:22.000]  我們與神同行
[00:00:22.000 --> 00:00:24.000]  今天我想用另一個角度去看
[00:00:24.000 --> 00:00:27.000]  我們要看神與我們同行
[00:00:27.000 --> 00:00:33.000]  神很樂意與我們每一個人同行
[00:00:33.000 --> 00:00:38.000]  只是今天我們願不願意與神同行呢?
[00:00:38.000 --> 00:00:42.000]  曾經有一個姐妹分享她的見證
[00:00:42.000 --> 00:00:47.000]  讓我看到神在她生命中的經歷
[00:00:47.000 --> 00:00:50.000]  如何與神同行的經歷
[00:00:50.000 --> 00:00:54.000]  話說這個姐妹很年輕
[00:00:54.000 --> 00:00:58.000]  她從小到大都很幻想
[00:00:58.000 --> 00:01:03.000]  有一天她很想結婚
[00:01:03.000 --> 00:01:05.000]  她也很心急結婚
[00:01:05.000 --> 00:01:10.000]  她二十歲時已經找到一個對象
[00:01:10.000 --> 00:01:12.000]  她想著嫁了就對了
[00:01:12.000 --> 00:01:14.000]  於是就結婚了
[00:01:14.000 --> 00:01:17.000]  但結婚後不久就生了一個小朋友
[00:01:17.000 --> 00:01:20.000]  小朋友還未到一歲的時候
[00:01:20.000 --> 00:01:22.000]  老公跟她說
[00:01:22.000 --> 00:01:26.000]  其實我還未準備好結婚
[00:01:26.000 --> 00:01:27.000]  那怎麼辦?
[00:01:27.000 --> 00:01:28.000]  要抱著小朋友
[00:01:28.000 --> 00:01:31.000]  誰知還要加上一首歌
[00:01:31.000 --> 00:01:32.000]  「一走了之」
[00:01:32.000 --> 00:01:35.000]  「一走了之」還有一句俗語
[00:01:35.000 --> 00:01:38.000]  就是一屁股債都給了她
[00:01:38.000 --> 00:01:40.000]  意思是她要抱著小朋友
[00:01:40.000 --> 00:01:43.000]  又要爭人家的周身債
[00:01:43.000 --> 00:01:45.000]  在她很絕望的時候
[00:01:45.000 --> 00:01:46.000]  她抱著小朋友
[00:01:46.000 --> 00:01:49.000]  本來想著死了之
[00:01:49.000 --> 00:01:54.000]  她分享她記得聖經裡有一個人物
[00:01:54.000 --> 00:01:56.000]  叫做夏革
[00:01:56.000 --> 00:02:00.000]  她問上帝如何去看顧夏革
[00:02:00.000 --> 00:02:10.000]  她問上帝如何去看顧夏革
[00:02:10.000 --> 00:02:14.000]  她記得夏革是單親
[00:02:14.000 --> 00:02:16.000]  當然她是走的
[00:02:16.000 --> 00:02:17.000]  她單親
