
[00:00:00.000 --> 00:00:06.000]  洪恩嘉弟兄姊妹平安
[00:00:06.000 --> 00:00:09.200]  如果我們有詳細看過四卷福音書的話
[00:00:09.200 --> 00:00:11.500]  我們就會發覺到
[00:00:11.500 --> 00:00:14.000]  耶穌在被釘上十字架之後
[00:00:14.000 --> 00:00:17.000]  一共說了七句話
[00:00:17.000 --> 00:00:20.000]  在路加福音記載了三句
[00:00:20.000 --> 00:00:23.000]  約翰福音又記載了三句
[00:00:23.000 --> 00:00:27.000]  而馬太和馬可又記載了一句
[00:00:27.000 --> 00:00:30.000]  所以如果我們綜合四卷福音書的內容
[00:00:30.000 --> 00:00:32.000]  我們就可以歸納出
[00:00:32.000 --> 00:00:35.000]  耶穌被釘十字架之後
[00:00:35.000 --> 00:00:37.000]  一共說了七句話
[00:00:37.000 --> 00:00:40.000]  我們稱為十加七言
[00:00:40.000 --> 00:00:43.000]  今天我就以馬可福音第十五章
[00:00:43.000 --> 00:00:45.000]  三十三至三十九節
[00:00:45.000 --> 00:00:48.000]  耶穌在十字架上的一段經文
[00:00:48.000 --> 00:00:51.000]  去反思我們和神的三個關係
[00:00:51.000 --> 00:00:54.000]  我們開始的時候有個祈禱
[00:00:54.000 --> 00:00:57.000]  「主耶穌,我求祢在恩典
[00:00:57.000 --> 00:00:59.000]  臨到每一個屬祢的兒女
[00:00:59.000 --> 00:01:03.000]  讓我們在受苦節的崇拜裏
[00:01:03.000 --> 00:01:06.000]  思考到祢對我們所付出的
[00:01:06.000 --> 00:01:09.000]  是多麼何等的長闊高深
[00:01:09.000 --> 00:01:12.000]  好讓我們能夠傳一個感恩的心
[00:01:12.000 --> 00:01:15.000]  去回應祢對我們的愛」
[00:01:15.000 --> 00:01:17.000]  我們祈禱是奉主明求
[00:01:17.000 --> 00:01:18.000]  阿們
[00:01:18.000 --> 00:01:22.000]  我們第一個關係就是
[00:01:22.000 --> 00:01:25.000]  無論我們處於甚麼環境
[00:01:25.000 --> 00:01:26.000]  甚麼狀態
[00:01:26.000 --> 00:01:30.000]  神仍然是我們的倚靠
[00:01:30.000 --> 00:01:34.000]  馬可福音第十五章三十三節記載道
[00:01:34.000 --> 00:01:37.000]  由正午十二點到下午三點
[00:01:37.000 --> 00:01:40.000]  全地都黑暗了
[00:01:40.000 --> 00:01:43.000]  一個違反了自然規律的現象
[00:01:43.000 --> 00:01:46.000]  維持了差不多三個小時
[00:01:46.000 --> 00:01:48.000]  一個應該是光明
[00:01:48.000 --> 00:01:50.000]  視野清晰的狀態
[00:01:50.000 --> 00:01:52.000]  現在反常了
[00:01:52.000 --> 00:01:54.000]  變得很暗昧
[00:01:54.000 --> 00:01:56.000]  視野模糊
[00:01:56.000 --> 00:01:58.000]  黑暗代表甚麼呢?
[00:01:58.000 --> 00:02:00.000]  黑暗可能代表一種
[00:02:00.000 --> 00:02:02.000]  黑暗的勢力
[00:02:02.000 --> 00:02:04.000]  不單單是指沒有方向
[00:02:04.000 --> 00:02:05.000]  沒有出路
[00:02:05.000 --> 00:02:09.000]  亦象徵邪惡勢力的籠罩
[00:02:09.000 --> 00:02:13.000]  撒旦正在橫行霸道的時候
[00:02:13.000 --> 00:02:15.000]  耶穌正在這個處境之下
[00:02:15.000 --> 00:02:18.000]  被釘在十字架上
[00:02:18.000 --> 00:02:20.000]  在黑暗勢力籠罩
[00:02:20.000 --> 00:02:21.000]  撒旦掌權
[00:02:21.000 --> 00:02:24.000]  一切顯得絕望的一刻
[00:02:24.000 --> 00:02:28.000]  耶穌在十字架上大聲呼喊
[00:02:28.000 --> 00:02:30.000]  耶穌的呼喊
[00:02:30.000 --> 00:02:34.000]  代表了耶穌心靈深處的一種感受
[00:02:34.000 --> 00:02:38.000]  這一種從心底裏發出的情感
[00:02:38.000 --> 00:02:42.000]  需要大聲呼喊出來
[00:02:42.000 --> 00:02:46.000]  根據一個猶太的傳統
[00:02:46.000 --> 00:02:49.000]  祈禱有十個名稱
[00:02:49.000 --> 00:02:52.000]  排第一位的名稱
[00:02:52.000 --> 00:02:54.000]  就是呼喊
[00:02:54.000 --> 00:02:56.000]  當我們看不到跡象
[00:02:56.000 --> 00:03:00.000]  顯示我們和神站在同一個陣線
[00:03:00.000 --> 00:03:04.000]  當我們覺得神沉默不語
[00:03:04.000 --> 00:03:06.000]  當我們傷心欲絕
[00:03:06.000 --> 00:03:10.000]  當我們感覺到自己完全被遺棄的時候
[00:03:10.000 --> 00:03:12.000]  失敗的感覺
[00:03:12.000 --> 00:03:15.000]  可能誘惑我們放棄對神的那種倚靠
[00:03:15.000 --> 00:03:18.000]  我們應該怎樣做呢?
[00:03:18.000 --> 00:03:21.000]  即使被最大的苦難所淹沒
[00:03:21.000 --> 00:03:24.000]  即使覺得神不在我們身邊
[00:03:24.000 --> 00:03:27.000]  我們仍然要堅持抓住神
