
[00:00:00.000 --> 00:00:08.220]  感恩天父召集我們能夠在今天聖餐主日一同來敬拜祢
[00:00:08.220 --> 00:00:12.500]  十字架是我們人生一個很重要的根基
[00:00:12.500 --> 00:00:15.500]  因為主將我們拯救
[00:00:15.500 --> 00:00:17.500]  我們是屬於主的兒女
[00:00:17.500 --> 00:00:21.500]  我們在地上成為神的兒女
[00:00:21.500 --> 00:00:23.500]  成為基督的身體
[00:00:23.500 --> 00:00:31.500]  我們一同為著要尊崇、傳揚、榮耀的主的十字架福音
[00:00:31.500 --> 00:00:38.500]  盼望我們能夠在不同的崗位、不同的人生都能夠看到
[00:00:38.500 --> 00:00:45.500]  唯有愛的侍奉才能夠真正將人帶進永恆的救恩裡面
[00:00:45.500 --> 00:00:49.500]  求主賜下儀象在我們大家的心靈
[00:00:49.500 --> 00:00:54.500]  我們有初信的,或者在座的,有些可能是誤導
[00:00:54.500 --> 00:00:58.500]  也有信了一段時間,有相當的人生經歷
[00:00:58.500 --> 00:01:01.500]  我們都一同等候在主面前
[00:01:01.500 --> 00:01:03.500]  很盼望主的聖靈
[00:01:03.500 --> 00:01:06.500]  藉著今天我們看十三章
[00:01:06.500 --> 00:01:08.500]  這一段這麼重要的經文
[00:01:08.500 --> 00:01:11.500]  我們能夠得到心靈的啟發
[00:01:11.500 --> 00:01:14.500]  我們真的能夠在我們的生命裡面
[00:01:14.500 --> 00:01:19.500]  由量的改變成為質的質變
[00:01:19.500 --> 00:01:23.500]  我們能夠在一個有品質的侍奉人生
[00:01:23.500 --> 00:01:25.500]  我們這樣仰望禱告
[00:01:25.500 --> 00:01:27.500]  奉耶穌基督的名
[00:01:27.500 --> 00:01:29.500]  阿們
[00:01:29.500 --> 00:01:33.500]  相信第十三章大家去分禮絕對不陌生
[00:01:33.500 --> 00:01:40.500]  對一對新人的訓練是非常恰當貼切的
[00:01:40.500 --> 00:01:41.500]  不過很可惜
[00:01:41.500 --> 00:01:45.500]  整段聖經從來不是講婚姻
[00:01:45.500 --> 00:01:48.500]  從頭到尾都不是講婚姻
[00:01:48.500 --> 00:01:53.500]  這段聖經是橫跨在十二、十四章
[00:01:53.500 --> 00:01:59.500]  保羅叫哥林多教會要追求恩賜
[00:01:59.500 --> 00:02:02.500]  但是在恩賜的侍奉裡面
[00:02:02.500 --> 00:02:05.500]  就要留心有兩樣很重要的
[00:02:05.500 --> 00:02:09.500]  原來所有的恩賜都是來自聖靈
[00:02:09.500 --> 00:02:13.500]  隨他的意思來給每一個信徒
[00:02:13.500 --> 00:02:19.500]  每一個信徒都會有神聖靈所賜的恩賜
[00:02:19.500 --> 00:02:20.500]  每一個都有
[00:02:20.500 --> 00:02:23.500]  這是十二章所講
[00:02:23.500 --> 00:02:25.500]  接著到十四章
[00:02:25.500 --> 00:02:29.500]  每一個信徒要追求最大的恩賜
[00:02:29.500 --> 00:02:32.500]  就是先知的講道
[00:02:32.500 --> 00:02:35.500]  這是十四章重點的總結
[00:02:35.500 --> 00:02:41.500]  十四章恩賜方面收集了兩個恩賜
[00:02:41.500 --> 00:02:44.500]  就是先知講道和方言的比較
[00:02:44.500 --> 00:02:46.500]  你可以想像到
[00:02:46.500 --> 00:02:48.500]  第十三章的重要
[00:02:48.500 --> 00:02:53.500]  就是介乎兩者之間的最重要
[00:02:53.500 --> 00:02:57.500]  保羅稱為最妙的道
[00:02:57.500 --> 00:03:02.500]  求恩賜求儀仗從來都不陌生
[00:03:02.500 --> 00:03:07.500]  7月5日日本世紀大地震
