
[00:00:00.000 --> 00:00:05.000]  各位紅恩堂的弟兄姊妹早安
[00:00:05.000 --> 00:00:09.000]  我相信已經有超過五年的時間
[00:00:09.000 --> 00:00:12.000]  未有站在這個講台上跟大家講道
[00:00:12.000 --> 00:00:15.000]  如果你在這教會已經有一段時間
[00:00:15.000 --> 00:00:18.000]  我相信你還記得我曾經來過這教會講道
[00:00:18.000 --> 00:00:20.000]  亦都在這教會教過課程
[00:00:20.000 --> 00:00:23.000]  其實我都借過這教會的地方
[00:00:23.000 --> 00:00:26.000]  幫一些弟兄姊妹做婚前輔導
[00:00:26.000 --> 00:00:30.000]  所以對這教會的地方相當熟悉
[00:00:30.000 --> 00:00:33.000]  在3月3日
[00:00:33.000 --> 00:00:37.000]  老姚洪牧師Gary
[00:00:37.000 --> 00:00:39.000]  我一向都叫他做Gary
[00:00:39.000 --> 00:00:42.000]  Gary給了我一個短訊
[00:00:42.000 --> 00:00:47.000]  提一提我今天要在大家當中分享訊息
[00:00:47.000 --> 00:00:49.000]  以及給了我一個主題
[00:00:49.000 --> 00:00:51.000]  不知道大家有沒有留意這個主題
[00:00:51.000 --> 00:00:53.000]  在教會門口
[00:00:53.000 --> 00:00:56.000]  我留下了一些講源在這個月會講道
[00:00:56.000 --> 00:00:59.000]  在我的相片下面寫著「毀身」
[00:00:59.000 --> 00:01:03.000]  即是說今天的主題是關於毀身
[00:01:03.000 --> 00:01:06.000]  所以Gary特別強調
[00:01:06.000 --> 00:01:09.000]  你都向著這個方向來跟弟兄姊妹分享
[00:01:09.000 --> 00:01:13.000]  我相信弟兄姊妹當你回到教會一段時間後
[00:01:13.000 --> 00:01:18.000]  都發現這個毀身的題目是一個老生常談
[00:01:18.000 --> 00:01:22.000]  我們經常都會說「向神毀身」
[00:01:22.000 --> 00:01:24.000]  「向教會毀身」
[00:01:24.000 --> 00:01:26.000]  究竟我們作為基督徒
[00:01:26.000 --> 00:01:29.000]  怎樣才是毀身呢?
[00:01:29.000 --> 00:01:33.000]  或者我們怎樣去毀身呢?
[00:01:33.000 --> 00:01:35.000]  這個更加重要
[00:01:35.000 --> 00:01:37.000]  不只是我們說我們要毀身給神
[00:01:37.000 --> 00:01:43.000]  而是我們究竟是怎樣去向神毀身呢?
[00:01:43.000 --> 00:01:47.000]  今天我選用了一段大家很熟悉的經文
[00:01:47.000 --> 00:01:52.000]  一般稱為「薩戈遇見耶穌」的經文
[00:01:52.000 --> 00:01:56.000]  薩戈這個人甚至有人認為他是一個罪人
[00:01:56.000 --> 00:01:57.000]  在經文裏面看到
[00:01:57.000 --> 00:02:00.000]  當其他人看到這個人的時候
[00:02:00.000 --> 00:02:02.000]  他都沒有叫這個人的名字
[00:02:02.000 --> 00:02:05.000]  索性說他是一個罪人
[00:02:05.000 --> 00:02:08.000]  這個罪人甚至很多人會覺得
[00:02:08.000 --> 00:02:12.000]  他是一個不應該得到救恩的人
[00:02:12.000 --> 00:02:15.000]  但是竟然在這個人的身上
[00:02:15.000 --> 00:02:18.000]  我們看到他用了三個方式
[00:02:18.000 --> 00:02:20.000]  來向耶穌毀身
[00:02:20.000 --> 00:02:22.000]  向我們的神毀身
[00:02:22.000 --> 00:02:25.000]  我們今天就透過這段熟悉的經文
[00:02:25.000 --> 00:02:29.000]  是路加福音第十九章第一到第十節
[00:02:29.000 --> 00:02:31.000]  去學習一下今天的題目
[00:02:31.000 --> 00:02:34.000]  我們就這樣去毀身
[00:02:34.000 --> 00:02:36.000]  從薩戈的身上看看
[00:02:36.000 --> 00:02:40.000]  他怎樣用三個方式來向神毀身
[00:02:40.000 --> 00:02:44.000]  在這段經文當我們看路加記載這件事的時候
[00:02:44.000 --> 00:02:50.000]  究竟路加想他們將焦點放在什麼事情上呢?
[00:02:50.000 --> 00:02:51.000]  其實當我們讀聖經的時候
[00:02:51.000 --> 00:02:52.000]  我們要留意一下
[00:02:52.000 --> 00:02:53.000]  在這段經文裏面
[00:02:53.000 --> 00:02:57.000]  有沒有字眼是重覆重覆地出現的
[00:02:57.000 --> 00:02:59.000]  大家如果拿著程序表
[00:02:59.000 --> 00:03:01.000]  可能會容易處理一點
[00:03:01.000 --> 00:03:04.000]  因為程序表是整段經文印出來的
[00:03:04.000 --> 00:03:06.000]  如果我們看著螢光幕
[00:03:06.000 --> 00:03:07.000]  因為一節一節
[00:03:07.000 --> 00:03:09.000]  就可能較為難去追著這段經文
[00:03:09.000 --> 00:03:10.000]  怎樣去看
[00:03:10.000 --> 00:03:12.000]  大家留意到
[00:03:12.000 --> 00:03:15.000]  這段經文裏面有些字眼是重覆出現的
[00:03:15.000 --> 00:03:18.000]  譬如說第三節提到
[00:03:18.000 --> 00:03:21.000]  他要看一看耶穌
[00:03:21.000 --> 00:03:22.000]  這個漢字
[00:03:22.000 --> 00:03:23.000]  大家留意到
[00:03:23.000 --> 00:03:26.000]  然後第五節提到
[00:03:26.000 --> 00:03:27.000]  耶穌到了那裏
[00:03:27.000 --> 00:03:29.000]  抬頭一看
[00:03:29.000 --> 00:03:32.000]  就要看一看薩戈這個人
[00:03:32.000 --> 00:03:35.000]  然後第七節提到
[00:03:35.000 --> 00:03:37.000]  眾人看見
[00:03:37.000 --> 00:03:40.000]  看見耶穌說要去薩戈的家
[00:03:40.000 --> 00:03:42.000]  這裏很明顯
[00:03:42.000 --> 00:03:44.000]  作者把幾個漢字
[00:03:44.000 --> 00:03:47.000]  甚至是不同人的漢字
[00:03:47.000 --> 00:03:50.000]  第一個是薩戈要看耶穌
[00:03:50.000 --> 00:03:52.000]  第二個是耶穌要看薩戈
[00:03:52.000 --> 00:03:58.000]  然後第三個是眾人要看薩戈和耶穌在搞什麼
[00:03:58.000 --> 00:04:00.000]  這是路加記載這件事的時候
[00:04:00.000 --> 00:04:03.000]  一個很清楚的主題
[00:04:03.000 --> 00:04:04.000]  一個焦點
[00:04:04.000 --> 00:04:05.000]  要我們看見的
[00:04:05.000 --> 00:04:08.000]  但是在我們的和修本聖經和學本聖經裏面
[00:04:08.000 --> 00:04:11.000]  有兩個漢字是沒有譯出來的
[00:04:11.000 --> 00:04:13.000]  第一次出現
[00:04:13.000 --> 00:04:15.000]  其實在第二節
[00:04:15.000 --> 00:04:17.000]  在第二節開始的時候
[00:04:17.000 --> 00:04:19.000]  英文聖經會譯作
[00:04:19.000 --> 00:04:21.000]  Behold 請看
[00:04:21.000 --> 00:04:25.000]  有一個人叫做薩戈
[00:04:25.000 --> 00:04:26.000]  在英文聖經
[00:04:26.000 --> 00:04:28.000]  有些英文聖經也有譯出來
[00:04:28.000 --> 00:04:30.000]  但有些英文聖經也有譯出來
[00:04:30.000 --> 00:04:31.000]  這裏有一個漢字
[00:04:31.000 --> 00:04:33.000]  而另外有一個漢字
[00:04:33.000 --> 00:04:36.000]  就是到了第八節
[00:04:36.000 --> 00:04:38.000]  當薩戈站起來
[00:04:38.000 --> 00:04:39.000]  他說主啊
[00:04:39.000 --> 00:04:44.000]  請看我把所有的一半給窮人
[00:04:44.000 --> 00:04:46.000]  當然這個漢字和我們剛才所說的
[00:04:46.000 --> 00:04:47.000]  薩戈看耶穌
[00:04:47.000 --> 00:04:49.000]  耶穌看薩戈
[00:04:49.000 --> 00:04:51.000]  和眾人看耶穌和薩戈的漢字
[00:04:51.000 --> 00:04:53.000]  是兩個不同的漢字
[00:04:53.000 --> 00:04:59.000]  但是都是用漢字來講整段經文
[00:04:59.000 --> 00:05:01.000]  究竟我們讀聖經的人
[00:05:01.000 --> 00:05:03.000]  去看路加記載這件事
[00:05:03.000 --> 00:05:05.000]  有什麼焦點值得我們留意
[00:05:05.000 --> 00:05:07.000]  透過這三個漢字
[00:05:07.000 --> 00:05:09.000]  薩戈看耶穌
[00:05:09.000 --> 00:05:11.000]  耶穌看薩戈
[00:05:11.000 --> 00:05:14.000]  和眾人看耶穌和薩戈
[00:05:14.000 --> 00:05:15.000]  這三個漢字
[00:05:15.000 --> 00:05:19.000]  我們就看到薩戈對耶穌的毀身
[00:05:19.000 --> 00:05:21.000]  他用了三個方式
[00:05:21.000 --> 00:05:22.000]  來向耶穌毀身
[00:05:22.000 --> 00:05:24.000]  我們就進入這段經文裏面
[00:05:24.000 --> 00:05:26.000]  一段很熟悉的經文
[00:05:26.000 --> 00:05:28.000]  這段經文在開始的時候
[00:05:28.000 --> 00:05:32.000]  引出了究竟在什麼地方發生這件事
[00:05:32.000 --> 00:05:35.000]  還有這件事的主角在哪裡
[00:05:35.000 --> 00:05:38.000]  所以第一節和第二節就這樣說
[00:05:38.000 --> 00:05:41.000]  耶穌進了耶利哥
[00:05:41.000 --> 00:05:44.000]  要從那裡經過
[00:05:44.000 --> 00:05:47.000]  有一個人名叫薩戈
[00:05:47.000 --> 00:05:49.000]  作祟利長
[00:05:49.000 --> 00:05:51.000]  是個財主
[00:05:51.000 --> 00:05:53.000]  作者用了兩節經文
[00:05:53.000 --> 00:05:55.000]  很簡單帶出了
[00:05:55.000 --> 00:05:57.000]  這個地方是耶利哥
[00:05:57.000 --> 00:05:58.000]  這個地方
[00:05:58.000 --> 00:05:59.000]  當然大家都知道
[00:05:59.000 --> 00:06:01.000]  是耶利哥城
[00:06:01.000 --> 00:06:04.000]  另外也提到主角的名字
[00:06:04.000 --> 00:06:06.000]  叫做薩戈
[00:06:06.000 --> 00:06:08.000]  也提到薩戈
[00:06:08.000 --> 00:06:10.000]  他本身是做什麼職業的
[00:06:10.000 --> 00:06:12.000]  是一個祟利長
[00:06:12.000 --> 00:06:14.000]  同時間也提到薩戈
[00:06:14.000 --> 00:06:17.000]  他的身份應該也是很有錢的
[00:06:17.000 --> 00:06:18.000]  是一個財主
[00:06:18.000 --> 00:06:20.000]  短短的兩節經文
[00:06:20.000 --> 00:06:23.000]  是交代了整個故事的主角
[00:06:23.000 --> 00:06:25.000]  究竟是一個什麼人
