
[00:00:00.000 --> 00:00:04.000]  各位朋友各位弟兄姊妹平安
[00:00:04.000 --> 00:00:05.000]  平安
[00:00:05.000 --> 00:00:10.000]  不如開始的時候我都想先問一問大家
[00:00:10.000 --> 00:00:15.000]  究竟在座當中我聽說今天是福音主日
[00:00:15.000 --> 00:00:17.000]  在座當中有多少弟兄姊妹
[00:00:17.000 --> 00:00:23.000]  你邀請了你的家人或者朋友或者是同事
[00:00:23.000 --> 00:00:24.000]  什麼都好
[00:00:24.000 --> 00:00:29.000]  你邀請了朋友來參加今天的崇拜
[00:00:29.000 --> 00:00:34.000]  你可不可以舉手讓我知道
[00:00:34.000 --> 00:00:39.000]  有邀請到 非常之好
[00:00:39.000 --> 00:00:42.000]  如果是這樣我們更加要問的就是
[00:00:42.000 --> 00:00:44.000]  不知道在座當中有哪一個
[00:00:44.000 --> 00:00:51.000]  你今天是被邀請來到紅欣堂參加崇拜的呢
[00:00:51.000 --> 00:00:56.000]  歡迎你 歡迎你
[00:00:56.000 --> 00:01:00.000]  很開心可以見到有朋友來到我們當中
[00:01:00.000 --> 00:01:02.000]  我不知道有沒有一些朋友其實你都是被邀請的
[00:01:02.000 --> 00:01:04.000]  不過你不好意思舉手
[00:01:04.000 --> 00:01:07.000]  但是無論如何我們都是很歡迎你的
[00:01:07.000 --> 00:01:09.000]  我都想問一下大家
[00:01:09.000 --> 00:01:13.000]  你覺得今天是不是一個特別的日子
[00:01:13.000 --> 00:01:18.000]  是 有沒有人說不是的
[00:01:18.000 --> 00:01:19.000]  如果你說是的話
[00:01:19.000 --> 00:01:22.000]  可能因為今天是父親節
[00:01:22.000 --> 00:01:23.000]  但是如果你說不是的
[00:01:23.000 --> 00:01:26.000]  可能你心裏面在想我每天都是父親節
[00:01:26.000 --> 00:01:29.000]  我都是這樣對我的爸爸媽媽
[00:01:29.000 --> 00:01:31.000]  我不知道你是不是這樣在想
[00:01:31.000 --> 00:01:34.000]  對我來說今天都是一個特別的日子
[00:01:34.000 --> 00:01:38.000]  不單單因為我是一個爸爸
[00:01:38.000 --> 00:01:40.000]  我有兩個兒子
[00:01:40.000 --> 00:01:43.000]  一個升中三一個升中二
[00:01:43.000 --> 00:01:47.000]  更加重要的是我自己都是一個兒子
[00:01:47.000 --> 00:01:53.000]  我想每一個人都有自己的父母
[00:01:53.000 --> 00:01:58.000]  特別是今天來到洪水橋
[00:01:58.000 --> 00:02:01.000]  洪水橋都是我的一些回憶
[00:02:01.000 --> 00:02:04.000]  因為四十多年前
[00:02:04.000 --> 00:02:06.000]  應該未夠五十年前
[00:02:06.000 --> 00:02:12.000]  當時我爸爸都帶我來洪水橋住了一晚
[00:02:12.000 --> 00:02:18.000]  當時還記得我們是去到一間三角瓦頂的村屋住
[00:02:18.000 --> 00:02:24.000]  我不知道在座當中有多少位是在洪水橋長大的
[00:02:24.000 --> 00:02:26.000]  我還記得當時來到的時候
[00:02:26.000 --> 00:02:28.000]  那間屋是很特別的
[00:02:28.000 --> 00:02:31.000]  可以有一個閣樓爬上去
[00:02:31.000 --> 00:02:34.000]  上去之後你很近看到三角形的屋頂
[00:02:34.000 --> 00:02:38.000]  一條條一條條的橫木橫樑
[00:02:38.000 --> 00:02:40.000]  感覺很特別
[00:02:40.000 --> 00:02:44.000]  外面很難聞到大自然的味道
[00:02:44.000 --> 00:02:46.000]  很香
[00:02:46.000 --> 00:02:48.000]  有很多果樹在外面
[00:02:48.000 --> 00:02:50.000]  然後進入屋內
[00:02:50.000 --> 00:02:52.000]  晚上的時候又發覺很安靜
[00:02:52.000 --> 00:02:54.000]  但安靜得來其實又不安靜
[00:02:54.000 --> 00:02:56.000]  因為有很多叫聲
[00:02:56.000 --> 00:03:01.000]  當然今天來到洪水橋
[00:03:01.000 --> 00:03:03.000]  甚麼都不同了
[00:03:03.000 --> 00:03:07.000]  真的完全不同了
[00:03:07.000 --> 00:03:11.000]  我都沒有想過四十多年後的今天
[00:03:11.000 --> 00:03:15.000]  這個變化是這麼大
[00:03:15.000 --> 00:03:18.000]  我也想像不到未來的日子
[00:03:18.000 --> 00:03:20.000]  洪水橋這裡會變成怎樣
[00:03:20.000 --> 00:03:22.000]  元朗這裡會變成怎樣
[00:03:22.000 --> 00:03:27.000]  我都發覺人生真的有很多很多的變化
[00:03:27.000 --> 00:03:30.000]  這些變化或者甚至乎是
[00:03:30.000 --> 00:03:34.000]  無論這些變化是好是壞都好
[00:03:34.000 --> 00:03:38.000]  我都發覺我們自己是掌握不到
[00:03:38.000 --> 00:03:40.000]  我們很想去掌握
[00:03:40.000 --> 00:03:42.000]  甚至乎我想預計一下
[00:03:42.000 --> 00:03:44.000]  我都很難去預計
[00:03:44.000 --> 00:03:47.000]  說起小時候我就想起
[00:03:47.000 --> 00:03:49.000]  我告訴大家
[00:03:49.000 --> 00:03:53.000]  我頭上後面這裡有一條兩吋長的疤痕
[00:03:53.000 --> 00:03:56.000]  這條疤痕是怎樣來的呢
[00:03:56.000 --> 00:04:00.000]  我記得大概兩歲左右的時候
[00:04:00.000 --> 00:04:02.000]  我住在油麻地
[00:04:02.000 --> 00:04:04.000]  在舊樓那裡
[00:04:04.000 --> 00:04:06.000]  跌了一個球進去洗手間
[00:04:06.000 --> 00:04:09.000]  然後我就走進去洗手間撿那個球
[00:04:09.000 --> 00:04:11.000]  當我撿了那個球之後
[00:04:11.000 --> 00:04:13.000]  因為洗手間很滑
[00:04:13.000 --> 00:04:16.000]  那時候洗手間地上是鋪了甚麼
[00:04:16.000 --> 00:04:17.000]  瓷磚
[00:04:17.000 --> 00:04:18.000]  瓷磚真是好
[00:04:18.000 --> 00:04:21.000]  我只鋪了紙皮石
[00:04:21.000 --> 00:04:23.000]  很滑的紙皮石
[00:04:23.000 --> 00:04:25.000]  然後一滑向後
[00:04:25.000 --> 00:04:26.000]  就跌了下去
[00:04:26.000 --> 00:04:29.000]  同樣都是鋪了紙皮石的門杉那裡
[00:04:29.000 --> 00:04:32.000]  叫門欖
[00:04:32.000 --> 00:04:34.000]  那時候不知道發生甚麼事
[00:04:34.000 --> 00:04:35.000]  只知道
[00:04:35.000 --> 00:04:37.000]  我媽媽就很緊張
[00:04:37.000 --> 00:04:39.000]  抱著我
[00:04:39.000 --> 00:04:41.000]  不管三七二十一就衝下樓
[00:04:41.000 --> 00:04:43.000]  我們住七樓
[00:04:43.000 --> 00:04:44.000]  跑下樓梯
[00:04:44.000 --> 00:04:46.000]  然後走出去街口就馬上截的士
[00:04:46.000 --> 00:04:49.000]  跟的士司機說要去醫院
[00:04:49.000 --> 00:04:50.000]  我只記得
[00:04:50.000 --> 00:04:55.000]  那時候我媽媽還穿著一件很長的神鈎
[00:04:55.000 --> 00:04:57.000]  那時候我媽媽告訴我
[00:04:57.000 --> 00:04:59.000]  因為太緊急
[00:04:59.000 --> 00:05:00.000]  所以去到醫院
[00:05:00.000 --> 00:05:03.000]  醫生就馬上幫我連針
[00:05:03.000 --> 00:05:07.000]  他告訴我連麻醉藥都沒有放
[00:05:07.000 --> 00:05:09.000]  然後
[00:05:09.000 --> 00:05:10.000]  因為她穿著那件
[00:05:10.000 --> 00:05:12.000]  很長的神鈎
[00:05:12.000 --> 00:05:15.000]  棉質的神鈎
[00:05:15.000 --> 00:05:16.000]  當她去到醫院的時候
[00:05:16.000 --> 00:05:20.000]  其實整件神鈎已經染了血
