
[00:00:00.000 --> 00:00:03.680]  很感恩再一次能夠在大家當中
[00:00:03.680 --> 00:00:06.560]  一同來領受聖餐
[00:00:06.560 --> 00:00:10.000]  以及一同來分享神的話
[00:00:10.000 --> 00:00:12.080]  我們先做一個簡單的祈禱
[00:00:12.080 --> 00:00:13.640]  多謝主
[00:00:13.640 --> 00:00:15.360]  我們要打開聖經
[00:00:15.360 --> 00:00:18.200]  剛才主席所中毒的
[00:00:18.200 --> 00:00:19.840]  都讓我們看到
[00:00:19.840 --> 00:00:21.600]  我們主的聖名
[00:00:21.600 --> 00:00:23.680]  在使徒的時代
[00:00:23.680 --> 00:00:26.360]  是多麼有能力
[00:00:26.360 --> 00:00:29.360]  門徒這樣來跟隨
[00:00:29.360 --> 00:00:30.840]  宣認的時候
[00:00:30.840 --> 00:00:34.040]  會帶來這麼大的影響力
[00:00:34.040 --> 00:00:35.560]  我們很盼望
[00:00:35.560 --> 00:00:37.560]  我們每一位弟兄姊妹
[00:00:37.560 --> 00:00:41.600]  都認定主耶穌的聖名
[00:00:41.600 --> 00:00:44.880]  以及我們都能夠在我們周邊的環境
[00:00:44.880 --> 00:00:48.120]  使更多人認識我們的主
[00:00:48.120 --> 00:00:50.120]  我們在這面前等候
[00:00:50.120 --> 00:00:53.320]  禱告奉耶穌基督的名
[00:00:53.320 --> 00:00:55.320]  阿們
[00:00:56.320 --> 00:00:58.320]  今天這篇講道
[00:00:58.320 --> 00:01:00.320]  也是一個挑戰
[00:01:00.320 --> 00:01:03.320]  人怎樣看我們
[00:01:03.320 --> 00:01:05.720]  很重要的是
[00:01:05.720 --> 00:01:08.920]  我們有沒有在一個方向上
[00:01:08.920 --> 00:01:12.520]  沒有以自己做中心
[00:01:12.520 --> 00:01:14.520]  而是我們基督徒
[00:01:14.520 --> 00:01:16.520]  能夠以神
[00:01:16.520 --> 00:01:18.320]  以及神的工作
[00:01:18.320 --> 00:01:20.320]  作為我們的焦點
[00:01:20.320 --> 00:01:21.720]  以及中心
[00:01:21.720 --> 00:01:23.920]  這是一個大挑戰
[00:01:23.920 --> 00:01:25.720]  因為不容易的
[00:01:25.720 --> 00:01:28.120]  剛才是早了來
[00:01:28.120 --> 00:01:30.120]  十一點還沒到就到了
[00:01:30.120 --> 00:01:31.520]  因為教完主一學
[00:01:31.520 --> 00:01:33.120]  又去大法
[00:01:33.120 --> 00:01:34.720]  不是宣傳
[00:01:34.720 --> 00:01:36.720]  接著那位姨姨
[00:01:36.720 --> 00:01:38.120]  牧師又來了
[00:01:38.120 --> 00:01:40.320]  又很好招呼
