
[00:00:00.000 --> 00:00:01.240]  各位導演姐妹早安
[00:00:01.240 --> 00:00:04.280]  很開心,很感謝主
[00:00:04.280 --> 00:00:06.440]  終於可以不用錄影了
[00:00:06.440 --> 00:00:08.240]  我們可以實體見面
[00:00:08.240 --> 00:00:11.640]  很開心見到每一位的目者
[00:00:11.640 --> 00:00:14.000]  很開心見到幾位牧師
[00:00:14.000 --> 00:00:16.560]  有梁傳道,有Sarah傳道
[00:00:16.560 --> 00:00:18.800]  也有很多很熟悉的面孔
[00:00:18.800 --> 00:00:21.760]  有些我們一起服侍過
[00:00:21.760 --> 00:00:24.840]  有些我們曾經在祈禱區很長時間
[00:00:24.840 --> 00:00:27.600]  我們一起祈禱,一起分享
[00:00:29.240 --> 00:00:32.520]  很記得當紅印堂剛剛建立的時候
[00:00:32.520 --> 00:00:34.000]  我還在錦川服侍
[00:00:34.000 --> 00:00:36.880]  當時我兒子才兩歲
[00:00:36.880 --> 00:00:38.400]  真的才兩歲
[00:00:38.400 --> 00:00:40.000]  女兒還沒有出生
[00:00:40.000 --> 00:00:43.000]  半年之後我就舉家回了澳門
[00:00:43.000 --> 00:00:47.280]  當時要承接澳門教會目的的工作
[00:00:47.280 --> 00:00:48.960]  轉眼間原來
[00:00:48.960 --> 00:00:51.280]  回看下一個月
[00:00:51.280 --> 00:00:53.840]  就應該是紅印堂十二週年了
[00:00:53.840 --> 00:00:57.520]  原來闊別了大家有十二年的時間
[00:00:57.880 --> 00:00:59.760]  不知道在座有多少人
[00:00:59.760 --> 00:01:02.760]  你是頭一天就已經在紅印家
[00:01:02.760 --> 00:01:04.400]  你已經在這裡了
[00:01:04.400 --> 00:01:06.880]  或者甚至你在這裡信主
[00:01:06.880 --> 00:01:08.480]  有沒有在這裡信耶穌?
[00:01:08.480 --> 00:01:09.680]  有啊
[00:01:09.680 --> 00:01:12.560]  我相信過去十二年來
[00:01:12.560 --> 00:01:13.560]  對大家來說
[00:01:13.560 --> 00:01:15.360]  有很多上帝的恩典
[00:01:15.360 --> 00:01:17.040]  對我來說也是一樣
[00:01:17.040 --> 00:01:18.960]  十二年的時間
[00:01:18.960 --> 00:01:21.400]  同樣有很多的體會
[00:01:21.400 --> 00:01:23.040]  有很多的學習
[00:01:23.040 --> 00:01:24.600]  其中一個學習
[00:01:24.720 --> 00:01:28.480]  是經歷子女的成長和轉變
[00:01:28.480 --> 00:01:31.480]  我相信在座有些人可能已經有第三代了
[00:01:31.480 --> 00:01:32.040]  是啊
[00:01:32.040 --> 00:01:33.680]  我相信你也很體會
[00:01:33.680 --> 00:01:36.560]  子女下一代
[00:01:36.560 --> 00:01:39.800]  他們轉眼間就有很多的不同
[00:01:39.800 --> 00:01:41.120]  我記得
[00:01:41.120 --> 00:01:43.400]  當他們剛剛升上小學的時候
[00:01:43.400 --> 00:01:47.080]  他們可以說是一張白紙
[00:01:47.080 --> 00:01:50.240]  他們對爸爸媽媽非常之依賴
[00:01:50.240 --> 00:01:53.800]  老師是他們一切答案的準則
[00:01:54.000 --> 00:01:56.360]  他們在教會學習也是一樣的
[00:01:56.360 --> 00:01:59.080]  他們喜歡聽聖經的故事
[00:01:59.080 --> 00:02:01.600]  會積極地回應主耶穌
[00:02:01.600 --> 00:02:03.600]  回應他們的祈禱
[00:02:03.600 --> 00:02:06.280]  回應主耶穌對他們的教導
[00:02:06.280 --> 00:02:08.920]  他們會回應主耶學老師的問題
