
[00:00:00.000 --> 00:00:29.000]  (自我介紹)
[00:00:29.000 --> 00:00:32.000]  今天很想和大家分享主的說話
[00:00:32.000 --> 00:00:37.000]  我們藉著昔日先知去順從神的話
[00:00:37.000 --> 00:00:42.000]  而神也藉著先知去將神的話傳遞
[00:00:42.000 --> 00:00:46.000]  然後其他聽的人都去順從的時候
[00:00:46.000 --> 00:00:49.000]  他們怎樣經歷上帝的公認
[00:00:49.000 --> 00:00:51.000]  我們一起去看看
[00:00:51.000 --> 00:00:53.000]  因為今天很緊湊
[00:00:53.000 --> 00:00:56.000]  可能我講話的語調速度會快一點
[00:00:56.000 --> 00:01:00.000]  大家就順從耳朵盡力去聽
[00:01:00.000 --> 00:01:08.000]  我們先看看上文
[00:01:08.000 --> 00:01:13.000]  剛才主席幫我們讀了那段經文
[00:01:13.000 --> 00:01:16.000]  我們說要理解聖經認識聖經的時候
[00:01:16.000 --> 00:01:19.000]  我們要看看今天所講的經文
[00:01:19.000 --> 00:01:23.000]  和整個背景發生了什麼事
[00:01:23.000 --> 00:01:26.000]  我們先看看上文
[00:01:26.000 --> 00:01:31.000]  為什麼會發生今天這段經文的事呢?
[00:01:31.000 --> 00:01:39.000]  為什麼以利亞要求神去一個寡婦的地方呢?
[00:01:39.000 --> 00:01:42.000]  原來他們正正經歷著寒災
[00:01:42.000 --> 00:01:44.000]  但為什麼會有寒災呢?
[00:01:44.000 --> 00:01:46.000]  原來他們得罪了神
[00:01:46.000 --> 00:01:49.000]  但為什麼關不下雨?
[00:01:49.000 --> 00:01:51.000]  從哪裡開始說呢?
[00:01:51.000 --> 00:01:54.000]  我們看聖經第八章
[00:01:54.000 --> 00:01:58.000]  那時候他們正正建好了聖殿
[00:01:58.000 --> 00:02:00.000]  我們來看看聖經背景
[00:02:00.000 --> 00:02:04.000]  是誰為耶和華建聖殿的呢?
[00:02:04.000 --> 00:02:06.000]  是不是大衛?
[00:02:06.000 --> 00:02:08.000]  不是,是誰呢?
[00:02:08.000 --> 00:02:11.000]  是他的兒子,所羅門
[00:02:11.000 --> 00:02:14.000]  因為神說不要大衛來建殿
[00:02:14.000 --> 00:02:18.000]  因為他要出征,打仗
[00:02:18.000 --> 00:02:22.000]  神說不要你建殿,但我要你的兒子
[00:02:22.000 --> 00:02:24.000]  就是要任意的
[00:02:24.000 --> 00:02:27.000]  所以就找他的兒子所羅門去建殿
[00:02:27.000 --> 00:02:32.000]  這段經文出自於約季進了聖殿
[00:02:32.000 --> 00:02:36.000]  所羅門就說了一番話
[00:02:36.000 --> 00:02:40.000]  接著就是所羅門的祈禱
[00:02:40.000 --> 00:02:42.000]  其實建殿的原因是什麼呢?
[00:02:42.000 --> 00:02:45.000]  就是要將上帝的名去高舉
[00:02:45.000 --> 00:02:48.000]  要大家來這個殿去投靠神
[00:02:48.000 --> 00:02:50.000]  要去敬拜神
[00:02:50.000 --> 00:02:53.000]  但所羅門這個皇帝是怎樣呢?
[00:02:53.000 --> 00:02:56.000]  世上最有智慧的皇帝
[00:02:56.000 --> 00:02:58.000]  其實他懂得一切
[00:02:58.000 --> 00:03:00.000]  他懂不懂得人性呢?
[00:03:00.000 --> 00:03:03.000]  人會不會離開神呢?
[00:03:03.000 --> 00:03:06.000]  人會不會叛逆呢?
[00:03:06.000 --> 00:03:07.000]  會的
[00:03:07.000 --> 00:03:11.000]  所以所羅門王昔日就有這個祈禱
[00:03:11.000 --> 00:03:13.000]  不如我們一起讀
[00:03:13.000 --> 00:03:16.000]  「你的民因得罪你
[00:03:16.000 --> 00:03:20.000]  你懲罰他們使天閉塞不下雨
[00:03:20.000 --> 00:03:23.000]  他們若向此處禱告
[00:03:23.000 --> 00:03:27.000]  承認你的名離開他們的罪
[00:03:27.000 --> 00:03:29.000]  求你在天上垂聽
[00:03:29.000 --> 00:03:33.000]  赦免你僕人以色列民的罪
[00:03:33.000 --> 00:03:36.000]  將當行的善道指教他們
[00:03:36.000 --> 00:03:39.000]  且降雨在地的地
[00:03:39.000 --> 00:03:42.000]  就是你次級離民遺孽之地」
[00:03:42.000 --> 00:03:44.000]  所以原來今天所說的經文
[00:03:44.000 --> 00:03:46.000]  是早早開初
[00:03:46.000 --> 00:03:50.000]  建元殿所羅門王已經
[00:03:50.000 --> 00:03:52.000]  一個很重要的祈禱
[00:03:52.000 --> 00:03:54.000]  已經祈禱了
[00:03:54.000 --> 00:04:02.000]  原來人會跟隨上帝離開
[00:04:02.000 --> 00:04:06.000]  為何今次他們會離開呢?
[00:04:06.000 --> 00:04:09.000]  我們就看看一個比較近的上文
[00:04:09.000 --> 00:04:13.000]  正正是同一個17章
[00:04:13.000 --> 00:04:15.000]  那裡說
[00:04:15.000 --> 00:04:18.000]  「住在激烈的提斯比人爾利亞
[00:04:18.000 --> 00:04:20.000]  對阿蝦說」
