
[00:00:00.000 --> 00:00:05.040]  在小亞瑟亞爾弗所東邊的一個小鎮
[00:00:05.040 --> 00:00:07.840]  你會看到老底家
[00:00:07.840 --> 00:00:12.600]  原來老底家當時是金融中心
[00:00:12.600 --> 00:00:14.520]  很厲害的
[00:00:14.520 --> 00:00:19.840]  老底家和哥羅西距離19公里
[00:00:19.840 --> 00:00:27.200]  哥羅西教會不是保羅建立的
[00:00:27.920 --> 00:00:34.080]  不過他曾經由爾弗所派人來教會工作
[00:00:34.080 --> 00:00:39.760]  於是發現教會裏面出現假教師
[00:00:39.760 --> 00:00:45.720]  所以保羅覺得自己有責任
[00:00:45.720 --> 00:00:49.560]  應該要去教導他們
[00:00:49.560 --> 00:00:52.000]  雖然他自己不在那個地方
[00:00:52.000 --> 00:00:53.360]  書信裏面
[00:00:53.360 --> 00:00:55.880]  但他在我們這一章裏面
[00:00:55.880 --> 00:00:59.960]  講述了很多假教師所講的行為
[00:00:59.960 --> 00:01:03.960]  假教師會教導你
[00:01:03.960 --> 00:01:06.960]  原來我們要認識神
[00:01:06.960 --> 00:01:10.560]  我們要完全得到拯救
[00:01:10.560 --> 00:01:12.080]  還要加一些東西
[00:01:12.080 --> 00:01:13.120]  加些什麼呢?
[00:01:13.120 --> 00:01:16.400]  就是要崇拜一些靈界的領袖
[00:01:16.400 --> 00:01:17.480]  權威
[00:01:17.480 --> 00:01:19.040]  甚至天使
[00:01:19.080 --> 00:01:23.520]  這些不是我們聖經所教導的
[00:01:23.520 --> 00:01:25.720]  特別是要守禮儀
[00:01:25.720 --> 00:01:27.880]  例如國禮
[00:01:27.880 --> 00:01:33.240]  或者是要嚴守一些食物上的規例
[00:01:33.240 --> 00:01:35.240]  這些是人加上去的
[00:01:35.240 --> 00:01:39.520]  這些是一些異端的教訓
[00:01:39.520 --> 00:01:40.920]  進入了教會
[00:01:40.920 --> 00:01:42.720]  所以我們弟兄姊妹
[00:01:42.720 --> 00:01:45.920]  要在屬靈的生命中成長的話
[00:01:45.920 --> 00:01:48.440]  我們首先要懂得什麼呢?
[00:01:48.920 --> 00:01:51.920]  我們要懂得去分辨真理
[00:01:51.920 --> 00:01:55.560]  在第四節裏
[00:01:55.560 --> 00:01:57.240]  很清楚地告訴你
[00:01:57.240 --> 00:01:59.520]  免得有人用花言巧語
[00:01:59.520 --> 00:02:00.880]  花言巧語是什麼呢?
[00:02:00.880 --> 00:02:03.200]  有些人很會說話
[00:02:03.200 --> 00:02:04.720]  說得很動聽
[00:02:04.720 --> 00:02:09.240]  不過他會令你誤入歧途
[00:02:09.240 --> 00:02:11.000]  走了另一條路
[00:02:11.000 --> 00:02:13.360]  而不是走在真理裏面
