
[00:00:00.000 --> 00:00:04.800]  很高興能夠再次在港台
[00:00:04.800 --> 00:00:06.800]  跟大家分享聖經
[00:00:06.800 --> 00:00:11.800]  教會恢復現場崇拜已經有三個主日
[00:00:11.800 --> 00:00:14.920]  很欣賞弟兄姊妹的投入
[00:00:14.920 --> 00:00:19.200]  其實看到很多弟兄姊妹急不及待
[00:00:19.200 --> 00:00:23.800]  都要來到教會現場參與崇拜
[00:00:23.800 --> 00:00:25.600]  很欣賞大家
[00:00:25.600 --> 00:00:28.000]  不過我們也體諒一些弟兄姊妹
[00:00:28.000 --> 00:00:29.520]  因為種種原因
[00:00:29.520 --> 00:00:32.040]  他們未能夠回來
[00:00:32.040 --> 00:00:34.600]  我們也期望在未來的日子
[00:00:34.600 --> 00:00:39.000]  如果在政府更加放寬的情況下
[00:00:39.000 --> 00:00:41.800]  我們有更多的弟兄姊妹能夠回來
[00:00:41.800 --> 00:00:43.320]  在教會當中
[00:00:43.320 --> 00:00:44.720]  在禮堂當中
[00:00:44.720 --> 00:00:46.200]  我們一同去敬拜
[00:00:46.200 --> 00:00:47.600]  求主幫助我們
[00:00:47.600 --> 00:00:51.200]  讓弟兄姊妹有通達的道路
[00:00:51.200 --> 00:00:53.400]  如果說到
[00:00:53.400 --> 00:00:57.280]  結出年青華人的音樂家
[00:00:57.280 --> 00:00:59.200]  就是彈琴的鋼琴家
[00:00:59.200 --> 00:01:00.600]  你會想起誰呢?
[00:01:00.600 --> 00:01:03.920]  朗朗
[00:01:03.920 --> 00:01:04.600]  朗朗?
[00:01:04.600 --> 00:01:06.200]  朗朗是別人的兒子
[00:01:06.200 --> 00:01:07.520]  是朗朗
[00:01:07.520 --> 00:01:11.200]  是朗朗
[00:01:11.200 --> 00:01:17.800]  可能我年紀比較大
[00:01:17.800 --> 00:01:19.000]  我想起李雲迪
[00:01:19.000 --> 00:01:20.800]  大家認不認識李雲迪?
[00:01:20.800 --> 00:01:23.800]  原來我翻查過資料
[00:01:23.800 --> 00:01:29.400]  李雲迪和朗朗差不多年紀
[00:01:29.400 --> 00:01:32.200]  甚至是同年紀
[00:01:32.200 --> 00:01:33.200]  但不知為何
[00:01:33.200 --> 00:01:37.800]  我總覺得李雲迪好像很早出道
[00:01:37.800 --> 00:01:39.600]  問大家一個問題
[00:01:39.600 --> 00:01:42.400]  麻煩powerpoint的弟兄姊妹
[00:01:42.400 --> 00:01:43.200]  這個問題就是
[00:01:43.200 --> 00:01:44.400]  一個標準的鋼琴
[00:01:44.400 --> 00:01:48.400]  究竟有多少個黑白鍵呢?
[00:01:48.400 --> 00:01:50.200]  給你四個選擇
[00:01:50.200 --> 00:01:51.000]  A
[00:01:51.000 --> 00:01:52.200]  99
[00:01:52.200 --> 00:01:53.000]  B
[00:01:53.000 --> 00:01:54.000]  88
[00:01:54.000 --> 00:01:54.800]  C
[00:01:54.800 --> 00:01:56.000]  77
[00:01:56.000 --> 00:01:56.800]  D
[00:01:56.800 --> 00:01:57.800]  66
[00:01:57.800 --> 00:01:58.800]  C
[00:01:58.800 --> 00:02:00.800]  多少呢?
[00:02:00.800 --> 00:02:02.400]  C
[00:02:02.400 --> 00:02:06.400]  根據一些人說
[00:02:06.400 --> 00:02:08.400]  通常選擇題
[00:02:08.400 --> 00:02:09.800]  A就一定不是
[00:02:09.800 --> 00:02:12.400]  最後的也未必是
[00:02:12.400 --> 00:02:14.200]  中間的兩個就很接近
[00:02:14.200 --> 00:02:19.200]  有些做multiple choice的朋友
[00:02:19.200 --> 00:02:21.200]  就會有這樣的經驗
[00:02:21.200 --> 00:02:24.200]  選擇A的舉手
[00:02:24.200 --> 00:02:26.200]  有弟兄姊妹
[00:02:26.200 --> 00:02:28.200]  選擇B的舉手
[00:02:28.200 --> 00:02:30.200]  有幾位弟兄姊妹
[00:02:30.200 --> 00:02:32.200]  選擇C的舉手
[00:02:32.200 --> 00:02:33.200]  C的舉手比較多
[00:02:33.200 --> 00:02:35.200]  難道做multiple choice
[00:02:35.200 --> 00:02:37.200]  C是最容易中的嗎?
[00:02:37.200 --> 00:02:39.200]  選擇D的舉手
[00:02:39.200 --> 00:02:40.200]  有哪位弟兄姊妹?
[00:02:40.200 --> 00:02:42.200]  也有些弟兄姊妹
[00:02:42.200 --> 00:02:47.200]  不同的數目也有弟兄姊妹去猜
[00:02:47.200 --> 00:02:48.600]  究竟有多少呢?
[00:02:48.600 --> 00:02:50.200]  答案就是B的
[00:02:50.200 --> 00:02:53.200]  有88個琴鍵
[00:02:53.200 --> 00:02:56.200]  在一個標準鋼琴裏
[00:02:56.200 --> 00:02:59.200]  黑白鍵加起來有88個
[00:02:59.200 --> 00:03:01.200]  黑鍵有36個
[00:03:01.200 --> 00:03:04.200]  白鍵有52個
[00:03:04.200 --> 00:03:07.200]  根據有限的認知
[00:03:07.200 --> 00:03:10.200]  一部鋼琴的琴鍵
[00:03:10.200 --> 00:03:15.200]  會有一條至三條的弦線在當中
[00:03:15.200 --> 00:03:19.200]  弦線有些粗些
[00:03:19.200 --> 00:03:21.200]  粗些的時候
[00:03:21.200 --> 00:03:24.200]  奏出來的聲音會比較沉
[00:03:24.200 --> 00:03:26.200]  長些、粗些的話
[00:03:26.200 --> 00:03:29.200]  奏出來的聲音會比較沉
[00:03:29.200 --> 00:03:32.200]  會比較低音些
[00:03:32.200 --> 00:03:34.200]  但短些、幼些的
[00:03:34.200 --> 00:03:38.200]  奏出來的聲音會比較高音些
[00:03:38.200 --> 00:03:40.200]  其實每一個琴鍵
[00:03:40.200 --> 00:03:45.200]  都是調校到不同的音階
[00:03:45.200 --> 00:03:49.200]  不同的音階
[00:03:49.200 --> 00:03:51.200]  不同的音階
[00:03:51.200 --> 00:03:53.200]  每一個琴鍵都有不同的音階
[00:03:53.200 --> 00:03:56.200]  但如果每一個琴鍵
[00:03:56.200 --> 00:03:59.200]  都調校到相同的音階
[00:03:59.200 --> 00:04:01.200]  你猜效果會是怎樣呢?
[00:04:01.200 --> 00:04:04.200]  看一條短片給大家
[00:04:04.200 --> 00:04:07.200]  這條短片會告訴大家
[00:04:08.200 --> 00:04:11.200]  《小鵬》
[00:04:11.200 --> 00:04:14.200]  《小鵬》
[00:04:15.200 --> 00:04:18.200]  《小鵬》
[00:04:19.200 --> 00:04:22.200]  《小鵬》
[00:04:23.200 --> 00:04:26.200]  《小鵬》
[00:04:26.200 --> 00:04:29.200]  《小鵬》
[00:04:29.200 --> 00:04:32.200]  《小鵬》
[00:04:32.200 --> 00:04:37.200]  《小鵬》
[00:04:37.200 --> 00:04:46.200]  《小鵬》
[00:04:46.200 --> 00:04:53.200]  《小鵬》
[00:04:53.200 --> 00:04:56.200]  《小鵬》
[00:04:56.200 --> 00:04:59.200]  《小鵬》
[00:04:59.200 --> 00:05:02.200]  《小鵬》
