
[00:00:00.000 --> 00:00:02.000]  鄧小平安
[00:00:02.000 --> 00:00:04.000]  今天大家都知道什麼節日
[00:00:04.000 --> 00:00:06.000]  母親節
[00:00:06.000 --> 00:00:08.000]  我祝各位母親節快樂
[00:00:08.000 --> 00:00:10.000]  今日的題目是
[00:00:10.000 --> 00:00:12.000]  一位祝福孩子的母親
[00:00:12.000 --> 00:00:14.000]  我也有一位
[00:00:14.000 --> 00:00:16.000]  祝福我的母親
[00:00:16.000 --> 00:00:18.000]  在我心目中
[00:00:18.000 --> 00:00:20.000]  我媽媽是一個很堅強的女人
[00:00:20.000 --> 00:00:22.000]  因為在我十歲的時候
[00:00:22.000 --> 00:00:24.000]  我爸爸去世了
[00:00:24.000 --> 00:00:26.000]  他獨力養大了七兄弟姐妹
[00:00:26.000 --> 00:00:28.000]  家裡小時候是耕田的
[00:00:28.000 --> 00:00:30.000]  天還沒亮就要去耕田
[00:00:30.000 --> 00:00:32.000]  八點前就要將割的菜
[00:00:32.000 --> 00:00:34.000]  拿去合作社
[00:00:34.000 --> 00:00:36.000]  小時候住在鄉村
[00:00:36.000 --> 00:00:38.000]  準時買菜回家
[00:00:38.000 --> 00:00:40.000]  照顧七兄弟姐妹
[00:00:40.000 --> 00:00:42.000]  買完菜回家
[00:00:42.000 --> 00:00:44.000]  就繼續耕田工作
[00:00:44.000 --> 00:00:46.000]  日以繼夜
[00:00:46.000 --> 00:00:48.000]  沒有大假
[00:00:48.000 --> 00:00:50.000]  沒有病假
[00:00:50.000 --> 00:00:52.000]  年終無憂
[00:00:52.000 --> 00:00:54.000]  夏天就寒冷
[00:00:54.000 --> 00:00:56.000]  就去耕田
[00:00:56.000 --> 00:00:58.000]  夏天就汗流浹背
[00:00:58.000 --> 00:01:00.000]  冬天就很記得
[00:01:00.000 --> 00:01:02.000]  我媽媽的手
[00:01:02.000 --> 00:01:04.000]  要割菜
[00:01:04.000 --> 00:01:06.000]  紙紙黑黑
[00:01:06.000 --> 00:01:08.000]  因為太冷了
[00:01:08.000 --> 00:01:10.000]  家裡不富有
[00:01:10.000 --> 00:01:12.000]  但我媽媽有個原則
[00:01:12.000 --> 00:01:14.000]  每一餐都有三餐
[00:01:14.000 --> 00:01:16.000]  有菜有肉有湯有水果
[00:01:16.000 --> 00:01:18.000]  所以令到我都很健康
[00:01:18.000 --> 00:01:20.000]  很健康地成長
[00:01:20.000 --> 00:01:22.000]  所以有一句說話
[00:01:22.000 --> 00:01:24.000]  有媽的孩子像個寶
[00:01:24.000 --> 00:01:26.000]  我心目中的媽媽
[00:01:26.000 --> 00:01:28.000]  是個偉大的女人
[00:01:28.000 --> 00:01:30.000]  剛才說過
[00:01:30.000 --> 00:01:32.000]  她靠自己雙手
[00:01:32.000 --> 00:01:34.000]  供書教學
[00:01:34.000 --> 00:01:36.000]  家裡清貧
[00:01:36.000 --> 00:01:38.000]  但我從來沒有因為家裡清貧
[00:01:38.000 --> 00:01:40.000]  而自卑
[00:01:40.000 --> 00:01:42.000]  因為我體會到
[00:01:42.000 --> 00:01:44.000]  有一個很愛我
[00:01:44.000 --> 00:01:46.000]  為了我很努力的媽媽
[00:01:46.000 --> 00:01:48.000]  我記得每年新年
[00:01:48.000 --> 00:01:50.000]  媽媽都會堅持
