
[00:00:00.000 --> 00:00:12.000]  大英姐妹早安,很高興能夠在紅引堂再次分享港版神話語
[00:00:12.000 --> 00:00:20.000]  剛才的粵曲真是很好聽,而且我覺得很不容易練習
[00:00:20.000 --> 00:00:26.000]  內容也十分豐富,充滿神話語
[00:00:26.000 --> 00:00:33.000]  所以和今天講的題目也很貼切,就是聖道
[00:00:33.000 --> 00:00:40.000]  我給了他一個副題目,就是將你的話語藏在心裡
[00:00:40.000 --> 00:00:47.000]  究竟聖道又是什麼呢?我們就從一些引言開始
[00:00:47.000 --> 00:00:56.000]  我從網上找到很多學校名稱,就找了聖道
[00:00:56.000 --> 00:01:04.000]  但也找到一位古文章,他曾經提及聖道這兩個字
[00:01:04.000 --> 00:01:18.000]  他指出古文章外篇天道三節的古文中出現了聖道運而無所織,故海內服
[00:01:18.000 --> 00:01:22.000]  全部都是簡明的字,但拼在一起就不知何解
[00:01:22.000 --> 00:01:27.000]  其實他說這一段的說話是在說什麼呢?
[00:01:27.000 --> 00:01:33.000]  他說第一段是在說自然的法則是不會停留的
[00:01:33.000 --> 00:01:36.000]  所以萬物就能得以生成
[00:01:36.000 --> 00:01:44.000]  第二段是說帝王的法律也不會停滯,所以天下也能歸順
[00:01:44.000 --> 00:01:52.000]  最後他說聖人對於宇宙萬物的看法也不會停留和中斷
[00:01:52.000 --> 00:01:56.000]  所以四海之內人心也能夠去折服
[00:01:56.000 --> 00:01:58.000]  解釋就是這樣
[00:01:58.000 --> 00:02:06.000]  我們在想聖道是否在說人對宇宙萬物的看法而已
[00:02:06.000 --> 00:02:11.000]  就像這篇章裡說的,這就是聖道呢?
[00:02:11.000 --> 00:02:16.000]  究竟聖經裡有沒有提及過聖道這兩個字呢?
[00:02:16.000 --> 00:02:20.000]  又找找又找,又做一些研究
[00:02:20.000 --> 00:02:27.000]  原來在加拿大書第六章第六節,是新譯本,和合本是沒有的
[00:02:27.000 --> 00:02:28.000]  新譯本是有這樣的譯
[00:02:28.000 --> 00:02:36.000]  在聖道上受教,應該和施教的人分享自己一切的美物
[00:02:36.000 --> 00:02:42.000]  和合本修訂版就譯成「真道」,就是神的話語
[00:02:42.000 --> 00:02:47.000]  原來這裡有出現過「聖道」這個字
[00:02:47.000 --> 00:02:57.000]  可想而知,聖道和真道,和神的話語,其實有一個很大的關連
[00:02:57.000 --> 00:03:06.000]  我們繼續看看,究竟「真道」在聖經裡有沒有出現過,有什麼不同的地方呢?
[00:03:06.000 --> 00:03:12.000]  其實又發現了一些很特別的聖經裡,有提及過「真道」這件事
[00:03:12.000 --> 00:03:16.000]  這個字很小,不過我簡單的說
[00:03:16.000 --> 00:03:22.000]  原來在提多書裡,出現過三次都提及過「真道」
[00:03:22.000 --> 00:03:30.000]  不過是不同的譯本,第九節提及過要合乎教義,可靠的「真道」
[00:03:30.000 --> 00:03:33.000]  你們要用真實的道理去教導人
[00:03:33.000 --> 00:03:39.000]  所以這個字又是在說真實的道理,即是神的話的意思
[00:03:39.000 --> 00:03:50.000]  第十三節又提及到,要嚴格責備那些人,使他們在「真道」上純全無瑕疵
[00:03:50.000 --> 00:03:57.000]  在他們的信仰上是無瑕疵的,是很完善的
