
[00:00:00.000 --> 00:00:01.400]  請使每一主裡面平安
[00:00:01.400 --> 00:00:02.540]  平安
[00:00:02.540 --> 00:00:04.160]  今天很想用這個題目
[00:00:04.160 --> 00:00:05.960]  跟大家彼此的勉勵
[00:00:05.960 --> 00:00:08.360]  這一章不只是十節的
[00:00:08.360 --> 00:00:09.760]  是有十七節
[00:00:09.760 --> 00:00:12.360]  但是後面不夠時間講了
[00:00:12.360 --> 00:00:15.160]  所以只能夠用三個重點
[00:00:15.160 --> 00:00:17.340]  來將這個題目
[00:00:17.340 --> 00:00:19.740]  來跟大家一起
[00:00:19.740 --> 00:00:22.400]  透過這十節聖經來認識
[00:00:22.400 --> 00:00:23.960]  大家可以看到
[00:00:23.960 --> 00:00:25.560]  在這一章裡面
[00:00:25.560 --> 00:00:29.560]  是有相當大的勉勵的
[00:00:29.560 --> 00:00:33.460]  從荒涼、羞愧、恥辱
[00:00:33.460 --> 00:00:35.660]  到被神接納
[00:00:35.660 --> 00:00:38.360]  第十節更加寶貴
[00:00:38.360 --> 00:00:40.660]  大山可以挪開
[00:00:40.660 --> 00:00:42.560]  有小朋友的聖詩
[00:00:42.560 --> 00:00:44.360]  有這樣的詩歌
[00:00:44.360 --> 00:00:46.260]  小山也可以遷移
[00:00:46.260 --> 00:00:48.760]  但是神永遠不改變的愛
[00:00:48.760 --> 00:00:52.660]  對這個民族的重新收納
[00:00:52.660 --> 00:00:54.460]  是會恢復的
[00:00:54.460 --> 00:00:57.460]  所以今天很想透過五十四章
[00:00:57.460 --> 00:00:58.660]  一到第十節
[00:00:58.660 --> 00:01:00.660]  跟大家彼此的勉勵
[00:01:00.660 --> 00:01:04.460]  教會是需要講安慰的訊息
[00:01:04.460 --> 00:01:06.960]  尤其是一個在現在社會
[00:01:06.960 --> 00:01:09.460]  人心都是荒亂的社會
[00:01:09.460 --> 00:01:11.860]  我們需要的是安慰
[00:01:11.860 --> 00:01:13.660]  神安慰的訊息
[00:01:13.660 --> 00:01:14.360]  當然
[00:01:14.360 --> 00:01:15.460]  那個安慰
[00:01:15.460 --> 00:01:16.860]  為什麼會有這樣呢?
[00:01:16.860 --> 00:01:18.860]  就要明白那些背景
[00:01:18.860 --> 00:01:20.860]  我們就有一個簡單的祈禱
[00:01:20.860 --> 00:01:23.160]  我們仰望主
[00:01:23.160 --> 00:01:25.460]  透過這十節的聖經
[00:01:25.460 --> 00:01:27.960]  尤其是經過了五十三章
[00:01:27.960 --> 00:01:31.260]  受苦僕人的被掛
[00:01:31.260 --> 00:01:35.460]  吸引眾人歸向你的前提
[00:01:35.460 --> 00:01:38.660]  來看到這首僕人之歌
[00:01:38.660 --> 00:01:40.760]  我們是如何看到
[00:01:40.760 --> 00:01:42.960]  當時以色列這個民族
[00:01:42.960 --> 00:01:46.560]  是已經在神過去的刑罰
[00:01:46.560 --> 00:01:50.260]  將他們被擄之後
[00:01:50.260 --> 00:01:53.560]  來恢復的這一份安慰
[00:01:53.560 --> 00:01:55.760]  而且是要透過先知
[00:01:55.760 --> 00:01:58.460]  來宣告安慰的訊息
[00:01:58.460 --> 00:01:59.860]  所以我們很盼望
[00:01:59.860 --> 00:02:03.260]  五十四章成為我們現代版的
[00:02:03.260 --> 00:02:04.560]  一個安慰
[00:02:04.560 --> 00:02:07.660]  讓我們在我們的生活層面
[00:02:07.660 --> 00:02:09.660]  我們能夠感受到
[00:02:09.660 --> 00:02:13.460]  原來神從來沒有改變對我們的
[00:02:13.460 --> 00:02:15.360]  愛和接納
[00:02:15.360 --> 00:02:16.760]  求主帶領我們
[00:02:16.760 --> 00:02:19.260]  盼望透過舊約的經文
[00:02:19.260 --> 00:02:23.160]  我們不是一些避氣的婦人
[00:02:23.160 --> 00:02:25.960]  我們更加不是一些守寡
[00:02:25.960 --> 00:02:28.860]  甚至不能夠生育的婦人
[00:02:28.860 --> 00:02:32.560]  但我們知道經文的擴展性
[00:02:32.560 --> 00:02:34.060]  延伸性
[00:02:34.060 --> 00:02:35.860]  是隨著時代
[00:02:35.860 --> 00:02:37.460]  可以有不同的
[00:02:37.460 --> 00:02:38.860]  所以我們很盼望
[00:02:38.860 --> 00:02:41.960]  我們能夠明白整個的處境
[00:02:41.960 --> 00:02:43.460]  以及對經文
[00:02:43.460 --> 00:02:45.860]  當我們去實際應用的時候
[00:02:45.860 --> 00:02:47.960]  滿有聖靈的教導
[00:02:47.960 --> 00:02:50.060]  在我們大家的心靈裏面
[00:02:50.060 --> 00:02:52.260]  我們這樣仰望禱告
[00:02:52.260 --> 00:02:54.560]  奉耶穌基督的名
[00:02:54.560 --> 00:02:55.560]  阿們
[00:02:55.560 --> 00:02:57.460]  我們一同看有三個
[00:02:57.460 --> 00:02:58.860]  在十節裏面
[00:02:58.860 --> 00:03:01.260]  有三類的人
[00:03:01.260 --> 00:03:03.960]  是神透過先知以塞亞
[00:03:03.960 --> 00:03:06.160]  來勸勉他們
[00:03:06.160 --> 00:03:09.160]  就是心靈在荒涼底下的人
[00:03:09.160 --> 00:03:11.060]  這是一到三節
[00:03:11.060 --> 00:03:13.960]  第四到第八節
[00:03:13.960 --> 00:03:15.560]  就是羞愧
[00:03:15.560 --> 00:03:18.260]  面對很大的羞愧的人
[00:03:18.260 --> 00:03:19.760]  更加重要就是
[00:03:19.760 --> 00:03:22.360]  有些已經好像被神離棄的人
[00:03:22.360 --> 00:03:24.060]  他們的光景
[00:03:24.060 --> 00:03:26.560]  心靈是怎樣的呢
[00:03:26.560 --> 00:03:28.760]  我們一同進入這裏
[00:03:28.760 --> 00:03:29.660]  去看一看
[00:03:29.660 --> 00:03:30.960]  一到第三節
[00:03:30.960 --> 00:03:32.560]  我們先看看經文
[00:03:32.560 --> 00:03:33.960]  在荒涼裏面
[00:03:33.960 --> 00:03:34.860]  強調
[00:03:34.860 --> 00:03:36.160]  一到三節強調
[00:03:36.160 --> 00:03:38.760]  不斷要擴張你的靈脈
[00:03:38.760 --> 00:03:40.560]  擴張你的地圖
[00:03:40.560 --> 00:03:41.960]  這裏告訴我們
[00:03:41.960 --> 00:03:43.060]  怎樣擴張呢
[00:03:43.060 --> 00:03:44.060]  我們看看這裏
[00:03:44.060 --> 00:03:45.060]  剛才讀了
[00:03:45.060 --> 00:03:47.860]  不懷孕不生育的要歡呼
[00:03:47.860 --> 00:03:49.960]  未曾經過產難的
[00:03:49.960 --> 00:03:51.160]  都要歡呼
[00:03:51.160 --> 00:03:53.060]  要揚聲的呼喊
[00:03:53.060 --> 00:03:55.460]  因為被遺棄的婦人
