
[00:00:00.000 --> 00:00:08.000]  大家好,我是大英哲學,很感恩能夠在節目中分享上帝的話語
[00:00:08.000 --> 00:00:12.000]  這是我長這麼大第一次來洪水橋
[00:00:12.000 --> 00:00:16.000]  侍奉神有好處,可以去一些從來未去過的地方
[00:00:16.000 --> 00:00:18.000]  感謝曾牧師的邀請
[00:00:18.000 --> 00:00:27.000]  今天的題目是因為有一天在社交平台上看到一則貼文
[00:00:27.000 --> 00:00:31.000]  這則貼文上寫著做一個內心強大的人
[00:00:31.000 --> 00:00:35.000]  下面放了苗僑偉一張很有型的照片,我們忍不住點進去看看
[00:00:35.000 --> 00:00:37.000]  裡面是這樣寫的
[00:00:37.000 --> 00:00:41.000]  如果別人說你兩句你就受不了
[00:00:41.000 --> 00:00:45.000]  被兩句話干擾得吃不好睡不好
[00:00:45.000 --> 00:00:47.000]  你得有多脆弱你要明白
[00:00:47.000 --> 00:00:51.000]  能干擾你的往往是自己太在意
[00:00:51.000 --> 00:00:54.000]  能傷害你的往往是自己想不開
[00:00:54.000 --> 00:00:57.000]  你若和平無人能擾
[00:00:57.000 --> 00:00:59.000]  所以不要過於敏感
[00:00:59.000 --> 00:01:01.000]  內心要不斷地強大
[00:01:01.000 --> 00:01:03.000]  別被別人左右你的情緒
[00:01:03.000 --> 00:01:05.000]  有心者有所慮
[00:01:05.000 --> 00:01:07.000]  無心者無所謂
[00:01:07.000 --> 00:01:09.000]  做一個內心強大的人
[00:01:09.000 --> 00:01:10.000]  走自己的路
[00:01:10.000 --> 00:01:12.000]  讓別人去說罷
[00:01:12.000 --> 00:01:20.000]  看完之後我就想到這個講道的題目和內容
[00:01:20.000 --> 00:01:25.000]  一般人都知道內心強大是很重要的
[00:01:25.000 --> 00:01:29.000]  信主的人更加要不斷提醒自己
[00:01:29.000 --> 00:01:32.000]  我們要做一個內心強大的基督徒
[00:01:32.000 --> 00:01:34.000]  能不能做到呢?
[00:01:34.000 --> 00:01:36.000]  或者怎樣做呢?
[00:01:36.000 --> 00:01:42.000]  我們要先問一問內心脆弱有什麼問題呢?
[00:01:42.000 --> 00:01:48.000]  我們每個人都多不少會受外在事物影響
[00:01:48.000 --> 00:01:51.000]  例如別人說一兩句話或做一兩個動作
[00:01:51.000 --> 00:01:54.000]  都會影響到我們的情緒
[00:01:54.000 --> 00:01:59.000]  內心脆弱的人更容易受到外在環境的刺激
[00:01:59.000 --> 00:02:01.000]  很容易憤怒
[00:02:01.000 --> 00:02:03.000]  睡不著
[00:02:03.000 --> 00:02:05.000]  有時有些有興趣的事
[00:02:05.000 --> 00:02:07.000]  都變成沒興趣沒動力去做
[00:02:07.000 --> 00:02:12.000]  嚴重些可以引發一些極端的行為反應
[00:02:12.000 --> 00:02:18.000]  要將困擾自己的人或事徹底剷除
[00:02:18.000 --> 00:02:21.000]  要麼剷除他者
[00:02:21.000 --> 00:02:24.000]  要麼消滅自己
[00:02:24.000 --> 00:02:26.000]  剷除他者方面
[00:02:26.000 --> 00:02:28.000]  我想到在聖經裏面有一個故事
[00:02:28.000 --> 00:02:29.000]  我想大家都熟悉的
[00:02:29.000 --> 00:02:31.000]  就是該隱的故事
[00:02:31.000 --> 00:02:33.000]  記載在創世紀第四章
[00:02:33.000 --> 00:02:38.000]  那裏說到該隱因為上帝看中了他弟弟阿伯的供物
[00:02:38.000 --> 00:02:40.000]  看不中自己的供物就怎樣呢?
[00:02:40.000 --> 00:02:42.000]  非常生氣
[00:02:42.000 --> 00:02:43.000]  到一個地步
[00:02:43.000 --> 00:02:46.000]  有一天在田間就將他弟弟阿伯殺死
[00:02:46.000 --> 00:02:48.000]  為何會這麼生氣呢?
[00:02:48.000 --> 00:02:49.000]  生氣到一個地步
[00:02:49.000 --> 00:02:51.000]  要將他弟弟阿伯殺死
[00:02:51.000 --> 00:02:56.000]  背後可能夾雜著其他因素
[00:02:56.000 --> 00:02:58.000]  例如他自我形象低落
[00:02:58.000 --> 00:03:01.000]  他內心缺乏安全感
[00:03:01.000 --> 00:03:04.000]  或長期得不到他父母的肯定
[00:03:04.000 --> 00:03:07.000]  有很多背後心理因素在影響著
[00:03:07.000 --> 00:03:11.000]  如何解決他內心的困擾呢?
[00:03:11.000 --> 00:03:15.000]  該隱採取了一個極端的消滅他者的方法
[00:03:15.000 --> 00:03:20.000]  只要導致困擾情緒的人在我眼前消失
[00:03:20.000 --> 00:03:24.000]  一切就會回復正常和平靜
[00:03:24.000 --> 00:03:27.000]  其實我們回看整個故事
[00:03:27.000 --> 00:03:30.000]  上帝從來沒有說過不接納該隱
[00:03:30.000 --> 00:03:33.000]  只不過在那次不知什麼原因
[00:03:33.000 --> 00:03:36.000]  他看中了阿伯的供物
[00:03:36.000 --> 00:03:40.000]  內心脆弱的人有一個顯著的特徵
[00:03:40.000 --> 00:03:44.000]  就是很容易將一件事放大
[00:03:44.000 --> 00:03:46.000]  例如我這個人
[00:03:46.000 --> 00:03:48.000]  有沒有遇過這樣的事?
[00:03:48.000 --> 00:03:50.000]  我明明是說這件事
[00:03:50.000 --> 00:03:52.000]  他就會覺得你只是說他這個人不好
[00:03:52.000 --> 00:03:54.000]  那裡不行
[00:03:54.000 --> 00:03:57.000]  因為一次看不中阿伯的供物
[00:03:57.000 --> 00:04:01.000]  該隱就覺得他被上帝針對
[00:04:01.000 --> 00:04:02.000]  是上帝偏心
[00:04:02.000 --> 00:04:03.000]  是上帝針對我
[00:04:03.000 --> 00:04:05.000]  是上帝不喜歡我
[00:04:05.000 --> 00:04:11.000]  其實該隱比我們更加緊張
[00:04:11.000 --> 00:04:15.000]  在意上帝是否看重他
[00:04:15.000 --> 00:04:18.000]  如果一個人不看重上帝
