
[00:00:00.000 --> 00:00:06.000]  各位大家剛才聽到葉華先生和他太太的分享
[00:00:06.000 --> 00:00:08.000]  大家有什麼感受?
[00:00:08.000 --> 00:00:10.000]  很坦白說
[00:00:10.000 --> 00:00:12.000]  我自己坐在這裡
[00:00:12.000 --> 00:00:14.000]  是非常的感動
[00:00:14.000 --> 00:00:18.000]  我不止聽葉華先生和他太太分享一次
[00:00:18.000 --> 00:00:20.000]  很多次
[00:00:20.000 --> 00:00:22.000]  其實過去有一段很長的時間
[00:00:22.000 --> 00:00:28.000]  我常常和葉華先生和他太太一起舉行報道會
[00:00:28.000 --> 00:00:32.000]  這次我沒有約他們很久了
[00:00:32.000 --> 00:00:34.000]  這次特別約他們來
[00:00:34.000 --> 00:00:40.000]  特別在貴堂舉行一個很好的分享會
[00:00:40.000 --> 00:00:42.000]  老實說
[00:00:42.000 --> 00:00:44.000]  我在下面聽
[00:00:44.000 --> 00:00:46.000]  我都流起眼淚
[00:00:46.000 --> 00:00:48.000]  因為這是真實的見證
[00:00:48.000 --> 00:00:50.000]  不是開玩笑的
[00:00:50.000 --> 00:00:54.000]  我今天是非常的開心
[00:00:54.000 --> 00:00:56.000]  來到這個地方
[00:00:56.000 --> 00:00:58.000]  這次離差很遠
[00:00:58.000 --> 00:01:00.000]  為什麼?
[00:01:00.000 --> 00:01:02.000]  今天坐滿了人
[00:01:02.000 --> 00:01:06.000]  這是主的吸引力
[00:01:06.000 --> 00:01:08.000]  還是葉華先生夫人的吸引力呢?
[00:01:08.000 --> 00:01:10.000]  或者說
[00:01:10.000 --> 00:01:12.000]  是真正上帝的呼召
[00:01:12.000 --> 00:01:14.000]  各位朋友
[00:01:14.000 --> 00:01:16.000]  各位弟兄姊妹
[00:01:16.000 --> 00:01:18.000]  這不是一個簡單的聚會
[00:01:18.000 --> 00:01:20.000]  因為
[00:01:20.000 --> 00:01:24.000]  這是真實的見證
[00:01:24.000 --> 00:01:26.000]  不是說故事
[00:01:26.000 --> 00:01:28.000]  我告訴你們
[00:01:28.000 --> 00:01:30.000]  多年前
[00:01:30.000 --> 00:01:32.000]  我坐的士
[00:01:32.000 --> 00:01:34.000]  坐的士的時候
[00:01:34.000 --> 00:01:38.000]  看到前面的的士車
[00:01:38.000 --> 00:01:40.000]  車上掛了很多
[00:01:40.000 --> 00:01:42.000]  教會的飾物
[00:01:42.000 --> 00:01:44.000]  有十字架
[00:01:44.000 --> 00:01:46.000]  很多東西放在那裡
[00:01:46.000 --> 00:01:48.000]  我
[00:01:48.000 --> 00:01:50.000]  你知道我做牧師
[00:01:50.000 --> 00:01:52.000]  任何場合
[00:01:52.000 --> 00:01:54.000]  我都希望可以做見證
[00:01:54.000 --> 00:01:56.000]  傳福音
[00:01:56.000 --> 00:01:58.000]  咦?這個司機
[00:01:58.000 --> 00:02:00.000]  可能是基督徒
[00:02:00.000 --> 00:02:02.000]  我說:朋友,你是不是基督徒?
[00:02:02.000 --> 00:02:04.000]  他說:是的
[00:02:04.000 --> 00:02:06.000]  原來這個就是葉華
[00:02:06.000 --> 00:02:08.000]  前面開車
[00:02:08.000 --> 00:02:10.000]  我和他聊天
[00:02:10.000 --> 00:02:12.000]  聊了一會
[00:02:12.000 --> 00:02:14.000]  突然他說:牧師
[00:02:14.000 --> 00:02:16.000]  我請你喝一杯,好不好?
[00:02:16.000 --> 00:02:18.000]  我問請我喝什麼?
[00:02:18.000 --> 00:02:20.000]  第一次和你坐車
[00:02:20.000 --> 00:02:22.000]  第二次請我喝
[00:02:22.000 --> 00:02:24.000]  我再去結婚
[00:02:24.000 --> 00:02:28.000]  我說:再結婚
[00:02:28.000 --> 00:02:30.000]  我就不來了
[00:02:30.000 --> 00:02:32.000]  為什麼?
[00:02:32.000 --> 00:02:34.000]  原來他說
[00:02:34.000 --> 00:02:36.000]  我和我太太再結婚
[00:02:36.000 --> 00:02:38.000]  各位
[00:02:38.000 --> 00:02:40.000]  你覺得這句話有沒有意思呢?
[00:02:40.000 --> 00:02:42.000]  從太太再結婚
