
[00:00:00.000 --> 00:00:05.000]  鼎姐妹平安
[00:00:05.000 --> 00:00:06.000]  平安
[00:00:06.000 --> 00:00:10.000]  不知道在座的鼎姐妹
[00:00:10.000 --> 00:00:12.000]  近來有沒有哭過呢?
[00:00:12.000 --> 00:00:17.000]  通常哭的時候背後有些複雜的情緒
[00:00:17.000 --> 00:00:19.000]  可能很傷心
[00:00:19.000 --> 00:00:21.000]  可能很甘心
[00:00:21.000 --> 00:00:23.000]  可能很委屈
[00:00:23.000 --> 00:00:24.000]  也可能太開心
[00:00:24.000 --> 00:00:26.000]  開心到哭
[00:00:26.000 --> 00:00:28.000]  想和你們分享一下
[00:00:28.000 --> 00:00:34.000]  近期我家裡一起哭一個事件
[00:00:34.000 --> 00:00:36.000]  我家裡人不多
[00:00:36.000 --> 00:00:38.000]  一家三口
[00:00:38.000 --> 00:00:43.000]  話說我女兒去年十月要去日本留學
[00:00:43.000 --> 00:00:46.000]  越接近女兒要離開香港
[00:00:46.000 --> 00:00:48.000]  心情就越忐忑
[00:00:48.000 --> 00:00:50.000]  因為很捨不得
[00:00:50.000 --> 00:00:54.000]  剛好星期一神學院
[00:00:54.000 --> 00:00:56.000]  會有一個心理分析小組
[00:00:56.000 --> 00:00:58.000]  可以和同學分享
[00:00:58.000 --> 00:01:00.000]  我女兒星期二飛
[00:01:00.000 --> 00:01:02.000]  星期一心理分析小組
[00:01:02.000 --> 00:01:04.000]  當然我分享這件事
[00:01:04.000 --> 00:01:06.000]  我很捨不得女兒
[00:01:06.000 --> 00:01:11.000]  我的眼淚不自然控制不到流出來
[00:01:11.000 --> 00:01:14.000]  我大約說著說著就哭了
[00:01:14.000 --> 00:01:16.000]  差不多九個小時
[00:01:16.000 --> 00:01:18.000]  很感謝同學包容我
[00:01:18.000 --> 00:01:21.000]  因為我一個人會觸動你的眼淚
[00:01:21.000 --> 00:01:23.000]  到了星期二
[00:01:23.000 --> 00:01:27.000]  我丈夫載女兒去機場
[00:01:27.000 --> 00:01:29.000]  出車前我們一家人祈禱
[00:01:29.000 --> 00:01:31.000]  我開始祈禱
[00:01:31.000 --> 00:01:33.000]  到女兒和丈夫結束祈禱
[00:01:33.000 --> 00:01:35.000]  到我丈夫祈禱的時候
[00:01:35.000 --> 00:01:37.000]  我記得他說了一句
[00:01:37.000 --> 00:01:42.000]  天父啊!謝謝你賜給我們蜜月
[00:01:42.000 --> 00:01:43.000]  我女兒叫蜜月
[00:01:43.000 --> 00:01:45.000]  我等了很久
[00:01:45.000 --> 00:01:47.000]  為什麼沒有第二句祈禱呢?
[00:01:47.000 --> 00:01:50.000]  我忍不住睜大眼睛看著我老公
[00:01:50.000 --> 00:01:52.000]  我看到他淚流滿面
[00:01:52.000 --> 00:01:54.000]  他哭得像我一樣
[00:01:54.000 --> 00:01:55.000]  很捨不得
[00:01:55.000 --> 00:01:56.000]  他無法祈禱
[00:01:56.000 --> 00:01:58.000]  原來今天你所愛的人
[00:01:58.000 --> 00:02:01.000]  會觸動你的眼淚
[00:02:01.000 --> 00:02:02.000]  原來今天
[00:02:02.000 --> 00:02:04.000]  在剛才讀聖經裡
[00:02:04.000 --> 00:02:06.000]  你也看到35字說
[00:02:06.000 --> 00:02:07.000]  耶穌哭了
[00:02:07.000 --> 00:02:09.000]  耶穌為什麼會哭呢?
[00:02:09.000 --> 00:02:11.000]  今天的題目就說
[00:02:11.000 --> 00:02:14.000]  跟你憂戚與共的耶穌
[00:02:14.000 --> 00:02:20.000]  原來今天耶穌和我們是一樣的
[00:02:20.000 --> 00:02:24.000]  是有感情、有感覺、有情緒的
[00:02:24.000 --> 00:02:25.000]  原來今天
[00:02:25.000 --> 00:02:28.000]  我盼望透過拉薩路
[00:02:28.000 --> 00:02:30.000]  這個聖經
[00:02:30.000 --> 00:02:32.000]  讓我們知道
[00:02:32.000 --> 00:02:34.000]  原來耶穌和我們是憂戚與共
[00:02:34.000 --> 00:02:36.000]  在艱難裡
[00:02:36.000 --> 00:02:37.000]  在痛苦裡
[00:02:37.000 --> 00:02:39.000]  在絕望裡
[00:02:39.000 --> 00:02:41.000]  原來神要我們看見
[00:02:41.000 --> 00:02:44.000]  祂的榮耀和祂的憐憫
[00:02:44.000 --> 00:02:49.000]  大家應該很熟悉經文
[00:02:49.000 --> 00:02:53.000]  就是說到拉薩路復活
[00:02:53.000 --> 00:02:56.000]  在1-27字
[00:02:56.000 --> 00:02:57.000]  我沒有讀出來
[00:02:57.000 --> 00:02:58.000]  因為太長了
[00:02:58.000 --> 00:02:59.000]  大約就是說
[00:02:59.000 --> 00:03:02.000]  耶穌和瑪利亞
[00:03:02.000 --> 00:03:04.000]  拉薩路這家人
[00:03:04.000 --> 00:03:06.000]  因為他們是姊弟
[00:03:06.000 --> 00:03:07.000]  兄弟姊妹
[00:03:07.000 --> 00:03:09.000]  是很熟悉的
[00:03:09.000 --> 00:03:12.000]  原來在經文裡
[00:03:12.000 --> 00:03:14.000]  有介紹
[00:03:14.000 --> 00:03:18.000]  特別介紹瑪利亞
[00:03:18.000 --> 00:03:22.000]  瑪利亞是拉薩路的姊妹
[00:03:22.000 --> 00:03:24.000]  特別說到
[00:03:24.000 --> 00:03:26.000]  原來這位瑪利亞
[00:03:26.000 --> 00:03:29.000]  之後11章是說拉薩路復活
[00:03:29.000 --> 00:03:30.000]  12章是說
[00:03:30.000 --> 00:03:33.000]  瑪利亞獻香膏的那位
[00:03:33.000 --> 00:03:37.000]  還有用頭髮擦乾
[00:03:37.000 --> 00:03:41.000]  擦主的腳的那位
[00:03:41.000 --> 00:03:43.000]  這件事
[00:03:43.000 --> 00:03:45.000]  也告訴我們
[00:03:45.000 --> 00:03:49.000]  瑪利亞很愛主
