
[00:00:00.000 --> 00:00:07.000]  可能頂姐妹覺得很奇怪
[00:00:07.000 --> 00:00:11.000]  李牧師你不是12月28日來過一次嗎
[00:00:11.000 --> 00:00:13.000]  這麼快又來?
[00:00:13.000 --> 00:00:15.000]  兩個月了
[00:00:15.000 --> 00:00:17.000]  其實大家要留意
[00:00:17.000 --> 00:00:21.000]  上一次12月28日是屬於2025年
[00:00:21.000 --> 00:00:26.000]  今天2月22日是屬於2026年
[00:00:26.000 --> 00:00:29.000]  曾牧師每年會邀請我來一次
[00:00:29.000 --> 00:00:33.000]  下一次再見可能是2027年
[00:00:33.000 --> 00:00:42.000]  有很大具體的困難
[00:00:42.000 --> 00:00:44.000]  因為人只有一個
[00:00:44.000 --> 00:00:46.000]  主日有52個星期
[00:00:46.000 --> 00:00:48.000]  香港有1300間教會
[00:00:48.000 --> 00:00:51.000]  雖然我不會去1300間教會
[00:00:51.000 --> 00:00:53.000]  但我會去40間教會
[00:00:53.000 --> 00:00:58.000]  所以很感恩能夠在紅金塘一齊敬拜師父
[00:00:58.000 --> 00:01:00.000]  如果除了主日崇拜
[00:01:00.000 --> 00:01:02.000]  有其他聚會可以用得著小弟
[00:01:02.000 --> 00:01:04.000]  可以合作
[00:01:04.000 --> 00:01:09.000]  香港有很多稱號
[00:01:09.000 --> 00:01:12.000]  香港其中一個稱號叫美食天堂
[00:01:12.000 --> 00:01:14.000]  你看看這六幅圖
[00:01:14.000 --> 00:01:15.000]  都是食物
[00:01:15.000 --> 00:01:18.000]  有什麼共通點
[00:01:18.000 --> 00:01:21.000]  好吃
[00:01:21.000 --> 00:01:23.000]  好吃 邪惡
[00:01:23.000 --> 00:01:25.000]  少吃一點
[00:01:25.000 --> 00:01:27.000]  還有什麼共通點
[00:01:27.000 --> 00:01:29.000]  很有吸引力
[00:01:29.000 --> 00:01:31.000]  待會崇拜完後
[00:01:31.000 --> 00:01:33.000]  先做一道厚切牛扒
[00:01:33.000 --> 00:01:36.000]  今早有人吃菠蘿油嗎
[00:01:36.000 --> 00:01:40.000]  有青年人說「咪」
[00:01:40.000 --> 00:01:44.000]  大家還沒想到我想的謎底
[00:01:44.000 --> 00:01:45.000]  這不是智商題
[00:01:45.000 --> 00:01:46.000]  是真事
[00:01:46.000 --> 00:01:48.000]  這六樣食物
[00:01:48.000 --> 00:01:52.000]  都有一個共通點
[00:01:52.000 --> 00:01:57.000]  叫做厚切
[00:01:57.000 --> 00:01:59.000]  厚切牛扒
