
[00:00:00.000 --> 00:00:04.000]  紅映街的弟兄姊妹平安
[00:00:04.000 --> 00:00:07.000]  中國人有一句說話叫做
[00:00:07.000 --> 00:00:10.000]  先敬羅衣後敬人
[00:00:10.000 --> 00:00:13.000]  意思就是在人際關係裏面
[00:00:13.000 --> 00:00:18.000]  大部份的人都以衣著作為一個衡量的標準
[00:00:18.000 --> 00:00:20.000]  穿得乾鮮一點
[00:00:20.000 --> 00:00:23.000]  抑或穿得又殘又舊
[00:00:23.000 --> 00:00:26.000]  給人的印象是會截然不同
[00:00:26.000 --> 00:00:28.000]  或者這樣說
[00:00:28.000 --> 00:00:31.000]  穿得乾淨整齊
[00:00:31.000 --> 00:00:33.000]  亦都是對人的一種尊重
[00:00:33.000 --> 00:00:35.000]  給人一種信心
[00:00:35.000 --> 00:00:38.000]  亦都留下一個很良好的印象
[00:00:38.000 --> 00:00:40.000]  方便日後交往的時候
[00:00:40.000 --> 00:00:44.000]  能夠有一個很好的合作和溝通的基礎
[00:00:44.000 --> 00:00:51.000]  當然先敬羅衣後敬人背後說的是一種包裝
[00:00:51.000 --> 00:00:53.000]  不單是衣著
[00:00:53.000 --> 00:00:58.000]  亦講求身份地位住址職業
[00:00:58.000 --> 00:01:01.000]  甚至乎是駕駛甚麼車
[00:01:01.000 --> 00:01:04.000]  以前的說法叫做批頭
[00:01:04.000 --> 00:01:07.000]  今日的說法叫做包裝
[00:01:07.000 --> 00:01:09.000]  雖然說法不一樣
[00:01:09.000 --> 00:01:13.000]  但其實都是一種形象工程
[00:01:13.000 --> 00:01:17.000]  以一個最好的形象展現於人前
[00:01:17.000 --> 00:01:21.000]  以達至到最好以及最吸引的效果
[00:01:21.000 --> 00:01:24.000]  從而得到最佳的效益
[00:01:24.000 --> 00:01:28.000]  今日的形象設計是最吃香的行業
[00:01:28.000 --> 00:01:32.000]  亦都是一種能夠點石成金的行業
[00:01:32.000 --> 00:01:35.000]  這種熟世的價值觀
[00:01:35.000 --> 00:01:38.000]  以及聖經裏面的屬靈價值觀
[00:01:38.000 --> 00:01:40.000]  究竟有甚麼分別呢
[00:01:40.000 --> 00:01:44.000]  今日很想透過撒姆爾記上的十六章一至十三節
[00:01:44.000 --> 00:01:48.000]  去看看我們每一個信徒在神面前
