
[00:00:00.000 --> 00:00:06.000]  各位女士早安
[00:00:06.000 --> 00:00:12.000]  很感恩和大家一起敬拜和守聖餐
[00:00:12.000 --> 00:00:14.000]  紀念主耶穌基督
[00:00:14.000 --> 00:00:17.000]  上一次我們講到也是戴口罩
[00:00:17.000 --> 00:00:18.000]  現在也在戴
[00:00:18.000 --> 00:00:21.000]  所以三年來我們也面對一些困難
[00:00:21.000 --> 00:00:24.000]  不過我們的主是永恆不變的
[00:00:24.000 --> 00:00:27.000]  我們一起有祈禱
[00:00:27.000 --> 00:00:31.000]  主耶穌我們今天在聖餐裡紀念耶穌基督
[00:00:31.000 --> 00:00:33.000]  祢為我們降生和犧牲
[00:00:33.000 --> 00:00:35.000]  所以耶穌我們感謝祢
[00:00:35.000 --> 00:00:37.000]  因為祢先愛我們
[00:00:37.000 --> 00:00:40.000]  所以我們能夠在疫情裡
[00:00:40.000 --> 00:00:44.000]  仍然持續敬拜和認識一位獨一的真神
[00:00:44.000 --> 00:00:45.000]  耶穌基督
[00:00:45.000 --> 00:00:47.000]  所以主我們感謝祢
[00:00:47.000 --> 00:00:49.000]  耶穌祢是我們的救主
[00:00:49.000 --> 00:00:50.000]  是我們萬人的救主
[00:00:50.000 --> 00:00:52.000]  多謝耶穌祢是醫治之主
[00:00:52.000 --> 00:00:54.000]  因為祢是醫治之主
[00:00:54.000 --> 00:00:57.000]  所以我們懇請祢醫治阿路穆斯
[00:00:57.000 --> 00:00:59.000]  因為看到他皮膚也有問題
[00:00:59.000 --> 00:01:01.000]  主祢是醫治之主
[00:01:01.000 --> 00:01:02.000]  祢施行拯救
[00:01:02.000 --> 00:01:04.000]  祢醫治他的皮膚
[00:01:04.000 --> 00:01:06.000]  讓他的皮膚好過來
[00:01:06.000 --> 00:01:10.000]  主耶穌醫治我們所敬重所愛的童宮
[00:01:10.000 --> 00:01:11.000]  阿路穆斯
[00:01:11.000 --> 00:01:13.000]  求主恩待他
[00:01:13.000 --> 00:01:15.000]  主祢是在來的君王
[00:01:15.000 --> 00:01:16.000]  所以我們要繼續認識祢
[00:01:16.000 --> 00:01:18.000]  等候祢在來的日子
[00:01:18.000 --> 00:01:19.000]  多謝祢
[00:01:19.000 --> 00:01:22.000]  因為我們擁有一個不能震動的國
[00:01:22.000 --> 00:01:24.000]  所以主我們看到
[00:01:24.000 --> 00:01:26.000]  我們的弟兄姊妹努力的敬拜
[00:01:26.000 --> 00:01:28.000]  弟兄姊妹做
[00:01:28.000 --> 00:01:31.000]  很用心的服侍神
[00:01:31.000 --> 00:01:34.000]  主我們懷著敬畏祢的心去服侍祢
