
[00:00:00.000 --> 00:00:02.000]  各位兄弟姐妹,主佬們平安
[00:00:02.000 --> 00:00:06.000]  我要等一等powerpoint
[00:00:06.000 --> 00:00:10.000]  我們先一齊同心的禱告
[00:00:10.000 --> 00:00:12.000]  親愛的天父
[00:00:12.000 --> 00:00:16.000]  我們今早能夠在聖餐的桌前
[00:00:16.000 --> 00:00:20.000]  去默想你的生命
[00:00:20.000 --> 00:00:22.000]  賦予我們永恆的價值
[00:00:22.000 --> 00:00:26.000]  也讓我們能夠出死入生
[00:00:26.000 --> 00:00:28.000]  得著的是永恆的救贖
[00:00:28.000 --> 00:00:29.000]  我們很感謝你
[00:00:29.000 --> 00:00:31.000]  而且更加寶貴的
[00:00:31.000 --> 00:00:33.000]  我們在神面前
[00:00:33.000 --> 00:00:36.000]  是有一個神兒女的身份
[00:00:36.000 --> 00:00:39.000]  是永遠不會被剝奪
[00:00:39.000 --> 00:00:41.000]  因為我們是屬於你
[00:00:41.000 --> 00:00:43.000]  也在你的救恩裡面有份
[00:00:43.000 --> 00:00:45.000]  我們真的很盼望
[00:00:45.000 --> 00:00:50.000]  我們能夠以此為我們很重要的根基
[00:00:50.000 --> 00:00:54.000]  我們去將救恩帶給有需要的人
[00:00:54.000 --> 00:00:57.000]  今早的正道求主
[00:00:57.000 --> 00:00:59.000]  透過聖靈
[00:00:59.000 --> 00:01:01.000]  感動我們每一個
[00:01:01.000 --> 00:01:03.000]  都讓我們能夠看到
[00:01:03.000 --> 00:01:05.000]  原來救恩可以帶給人
[00:01:05.000 --> 00:01:09.000]  生命很大的釋放
[00:01:09.000 --> 00:01:13.000]  拯救和夢想
[00:01:13.000 --> 00:01:16.000]  我們今早就等候在你的面前
[00:01:16.000 --> 00:01:17.000]  小小的訊息
[00:01:17.000 --> 00:01:20.000]  能夠成為我們彼此的激勵
[00:01:20.000 --> 00:01:22.000]  我們這樣的感恩禱告
[00:01:22.000 --> 00:01:24.000]  奉耶穌基督的名
[00:01:24.000 --> 00:01:27.000]  多謝弟兄姊妹
[00:01:27.000 --> 00:01:28.000]  我們有八位
[00:01:28.000 --> 00:01:30.000]  在上個禮拜
[00:01:30.000 --> 00:01:32.000]  星期四到星期一
[00:01:32.000 --> 00:01:33.000]  我們在菲律賓
[00:01:33.000 --> 00:01:35.000]  參加野地牧人的
[00:01:35.000 --> 00:01:37.000]  這個短孫的體驗
[00:01:37.000 --> 00:01:39.000]  那個考察
[00:01:39.000 --> 00:01:42.000]  去了解到底當地信徒領袖
[00:01:42.000 --> 00:01:44.000]  他們接受連續六天
[00:01:44.000 --> 00:01:46.000]  早午晚的培訓
[00:01:46.000 --> 00:01:49.000]  當然我們沒有參加那個培訓
[00:01:49.000 --> 00:01:53.000]  我們只是觀察了一個很短的一個上午
[00:01:53.000 --> 00:01:56.000]  然後我們主要兩天
[00:01:56.000 --> 00:01:59.000]  就會在一些叫做垃圾村
[00:01:59.000 --> 00:02:02.000]  來到去走訪這些民居
[00:02:02.000 --> 00:02:05.000]  去到裏面和這些小朋友
[00:02:05.000 --> 00:02:08.000]  來到去run一些program
[00:02:08.000 --> 00:02:11.000]  來到看到他們這些小朋友的情況
[00:02:11.000 --> 00:02:15.000]  給我們一班的短孫隊的弟兄姊妹
[00:02:15.000 --> 00:02:21.000]  看到什麼是一個很大的生命的落差
[00:02:21.000 --> 00:02:25.000]  所以我今天很想在今早的正道
[00:02:25.000 --> 00:02:29.000]  在我的內心裏面仍然激盪著的那個感動
[00:02:29.000 --> 00:02:32.000]  和大家來到去作出一個分享
[00:02:32.000 --> 00:02:36.000]  當然這個不是一個整體詳細的分享
[00:02:36.000 --> 00:02:38.000]  只能夠是透過兩段經文
[00:02:38.000 --> 00:02:40.000]  和大家來到去
[00:02:40.000 --> 00:02:43.000]  分享一下我內心裏面的那個激動
[00:02:43.000 --> 00:02:45.000]  那個內心的那個
[00:02:45.000 --> 00:02:48.000]  在這個幾天裏面
