
[00:00:00.000 --> 00:00:05.000]  我是不是要低一點?
[00:00:05.000 --> 00:00:07.000]  我比較小顆
[00:00:07.000 --> 00:00:10.000]  我們禱告
[00:00:10.000 --> 00:00:13.000]  天父感謝你,我們可以回到教會當中一同敬拜讚美你
[00:00:13.000 --> 00:00:17.000]  願主幫助我們,恩著你的話語,叫我們生命有著改變
[00:00:17.000 --> 00:00:21.000]  叫我們每天有更新的時候,願主幫助
[00:00:21.000 --> 00:00:23.000]  禱告奉主明求,阿門
[00:00:23.000 --> 00:00:27.000]  很多謝曾牧師邀請我來這裡講道
[00:00:27.000 --> 00:00:30.000]  我們是同班同學
[00:00:30.000 --> 00:00:35.000]  他是我神學院時期的祈禱的土伴
[00:00:35.000 --> 00:00:39.000]  所以他有什麼事我都為他祈禱
[00:00:39.000 --> 00:00:45.000]  很開心可以跟大家宣講一個課題
[00:00:45.000 --> 00:00:49.000]  崇拜與群體德行的圖索
[00:00:49.000 --> 00:00:56.000]  頭部份會比較…不是聽得明白,但不要緊,聽聽吧
[00:00:56.000 --> 00:00:59.000]  但後面的部分會比較活潑
[00:00:59.000 --> 00:01:08.000]  在當代的語境中,我們經常用社群或共同體來描述群體
[00:01:08.000 --> 00:01:13.000]  很簡單地說,一群人成為一個團體
[00:01:13.000 --> 00:01:18.000]  這個團體包含了結構性的關係
[00:01:18.000 --> 00:01:22.000]  首先,我們可以看到教會組織中
[00:01:22.000 --> 00:01:27.000]  結構性透過教會體制得以彰顯
[00:01:27.000 --> 00:01:32.000]  展現秩序及層次的美感
[00:01:32.000 --> 00:01:36.000]  第二,我們成員之間有一個關係
[00:01:36.000 --> 00:01:41.000]  彼此奉獻,有互相的愛心流露出來
[00:01:41.000 --> 00:01:45.000]  好像一首交響曲,什麼都有,很開心
[00:01:45.000 --> 00:01:48.000]  剛才也是,很溫暖
[00:01:48.000 --> 00:01:55.000]  第三,生活中的共同體關係超越了心靈及思想的契合
[00:01:55.000 --> 00:02:00.000]  在日常生活中,我們亦會彼此聯繫,共同生活
[00:02:00.000 --> 00:02:05.000]  形成一種溫暖,又有真實的相依之情
[00:02:05.000 --> 00:02:14.000]  (字幕:我還未開啟,抱歉)
[00:02:14.000 --> 00:02:22.000]  這個群體不單是形式的結合
[00:02:22.000 --> 00:02:27.000]  更是一種關係,一種很有生命的圖畫
[00:02:27.000 --> 00:02:32.000]  其實是一幅美麗的圖畫,展現在上帝的眼前
[00:02:32.000 --> 00:02:38.000]  展現彼此扶持共同生活的豐富意義
[00:02:38.000 --> 00:02:42.000]  耶穌基督以人的身份降臨在世間
[00:02:42.000 --> 00:02:45.000]  與人同住同行
[00:02:45.000 --> 00:02:48.000]  祂的生活方式及教導我們
[00:02:48.000 --> 00:02:51.000]  祂的教導成為了我們的典範
[00:02:51.000 --> 00:02:54.000]  啟迪我們這個群體,我們要學習,要實踐
[00:02:54.000 --> 00:02:57.000]  祂的教導不單充滿智慧
[00:02:57.000 --> 00:03:01.000]  更以生命的仁技,彰顯了天國的真理
[00:03:01.000 --> 00:03:04.000]  例如天國的八福
[00:03:04.000 --> 00:03:10.000]  向我們揭示了群體應該追求屬靈的品格和祝福
[00:03:10.000 --> 00:03:13.000]  我們聖經也很熟悉,葡萄樹的比喻
[00:03:13.000 --> 00:03:15.000]  約翰福音十五章
[00:03:15.000 --> 00:03:19.000]  也提醒我們,唯有連在這棵耶穌基督的樹裡
[00:03:19.000 --> 00:03:22.000]  才能結出美好的果子
[00:03:22.000 --> 00:03:24.000]  你離開了,就沒有果子
[00:03:24.000 --> 00:03:29.000]  脫離基督,我們的生命就會失去豐盛的源頭
[00:03:29.000 --> 00:03:34.000]  信仰群體唯有持續和耶穌基督保持一個靈性的連結
[00:03:34.000 --> 00:03:39.000]  才能慢慢塑造我們的好的行為,好的品行
[00:03:39.000 --> 00:03:42.000]  散發出屬天的光芒
[00:03:42.000 --> 00:03:44.000]  就是你的奶茶
[00:03:44.000 --> 00:03:46.000]  是好東西
[00:03:46.000 --> 00:03:48.000]  是見證
[00:03:48.000 --> 00:03:51.000]  如果你的奶茶是黑面的
[00:03:51.000 --> 00:03:53.000]  我就不回來了
[00:03:53.000 --> 00:03:56.000]  如果是笑容,早安
[00:03:56.000 --> 00:03:58.000]  我比較開心
[00:03:58.000 --> 00:04:00.000]  我在長洲
[00:04:00.000 --> 00:04:03.000]  我在金巴倫長老會長洲堂裡募會的
[00:04:03.000 --> 00:04:07.000]  我跟真牧師畢業後就出去了
[00:04:07.000 --> 00:04:09.000]  畢業後就留到現在
[00:04:09.000 --> 00:04:11.000]  我在長洲當牧師
[00:04:11.000 --> 00:04:14.000]  長洲比較簡單,快樂一點
[00:04:14.000 --> 00:04:17.000]  可能你見到我都會笑一笑
[00:04:17.000 --> 00:04:20.000]  沒那麼大壓力,很開心
[00:04:20.000 --> 00:04:23.000]  剛才說到,你遞出去的時候
[00:04:23.000 --> 00:04:26.000]  你服侍人,你由心裡出發
[00:04:26.000 --> 00:04:28.000]  是很開心的
[00:04:28.000 --> 00:04:32.000]  下一次,人們就會回來
[00:04:32.000 --> 00:04:35.000]  我們基督徒的生命是連結的
[00:04:35.000 --> 00:04:37.000]  不單止是你開心
[00:04:37.000 --> 00:04:39.000]  你們也會感染到其他人
[00:04:39.000 --> 00:04:41.000]  他們也會很開心
[00:04:41.000 --> 00:04:44.000]  這也是主給我們的恩典
[00:04:44.000 --> 00:04:46.000]  我們每個人的生命目的
[00:04:46.000 --> 00:04:48.000]  和群體的存在意義
[00:04:48.000 --> 00:04:50.000]  其實息息相關
[00:04:50.000 --> 00:04:51.000]  這麼複雜
[00:04:51.000 --> 00:04:52.000]  其實很簡單
[00:04:52.000 --> 00:04:56.000]  我們究竟是甚麼人呢?
[00:04:56.000 --> 00:05:02.000]  我最近跟一個八十歲的長者
[00:05:02.000 --> 00:05:04.000]  他在服侍教會已經很厲害
[00:05:04.000 --> 00:05:05.000]  已經很久了
[00:05:05.000 --> 00:05:08.000]  他在二十多歲的時候
[00:05:08.000 --> 00:05:10.000]  已經買了太古城的房子
[00:05:10.000 --> 00:05:12.000]  那時候已經很厲害
[00:05:12.000 --> 00:05:14.000]  又有老婆
[00:05:14.000 --> 00:05:17.000]  基本上每天都很開心
[00:05:17.000 --> 00:05:19.000]  但他說晚上的時候
[00:05:19.000 --> 00:05:22.000]  晚上寧靜的時候
[00:05:22.000 --> 00:05:24.000]  就會思考
[00:05:24.000 --> 00:05:26.000]  他做生意
[00:05:26.000 --> 00:05:28.000]  做他的工作
[00:05:28.000 --> 00:05:31.000]  他說每天已經安排好所有工作
[00:05:31.000 --> 00:05:34.000]  一放工就去吃飯喝酒
[00:05:34.000 --> 00:05:38.000]  最喜歡就是多喝兩杯啤酒
[00:05:38.000 --> 00:05:39.000]  然後就醉了
[00:05:39.000 --> 00:05:41.000]  醉了就可以亂說話
[00:05:41.000 --> 00:05:42.000]  可以亂說話
[00:05:42.000 --> 00:05:43.000]  我真的挺有趣的
[00:05:43.000 --> 00:05:45.000]  我沒有醉過酒
[00:05:45.000 --> 00:05:46.000]  我都不是很喝
[00:05:46.000 --> 00:05:47.000]  亂說話
[00:05:47.000 --> 00:05:49.000]  不斷說話
[00:05:49.000 --> 00:05:50.000]  但周圍的人
[00:05:50.000 --> 00:05:52.000]  他們不會給你一個心
[00:05:52.000 --> 00:05:53.000]  在亂說話
[00:05:53.000 --> 00:05:56.000]  星期六、日就約了親戚朋友
[00:05:56.000 --> 00:05:58.000]  打麻將
[00:05:58.000 --> 00:06:00.000]  八點打到晚上十二點
[00:06:00.000 --> 00:06:01.000]  再打一次
[00:06:01.000 --> 00:06:05.000]  每個星期都很豐盛的人生
[00:06:05.000 --> 00:06:10.000]  但他說一離開吃飯的地方
[00:06:10.000 --> 00:06:12.000]  自己一個人上的士
[00:06:12.000 --> 00:06:14.000]  靜了
[00:06:14.000 --> 00:06:16.000]  他覺得很空虛
[00:06:16.000 --> 00:06:18.000]  他說每天都是這樣?
[00:06:18.000 --> 00:06:19.000]  不是吧
[00:06:19.000 --> 00:06:20.000]  他有錢的
[00:06:20.000 --> 00:06:21.000]  有朋友的
[00:06:21.000 --> 00:06:23.000]  有娛樂的
[00:06:23.000 --> 00:06:27.000]  他說究竟我還欠什麼呢?
[00:06:27.000 --> 00:06:31.000]  最後他上了一個茶經班
[00:06:31.000 --> 00:06:32.000]  之後他就信了主
[00:06:32.000 --> 00:06:36.000]  他說耶穌基督就是填補我這件事
