
[00:00:00.000 --> 00:00:03.200]  各位弟子妹早晨
[00:00:03.200 --> 00:00:08.360]  主今次是我第一次來到紅屋堂的地方跟大家分享神的話
[00:00:08.360 --> 00:00:13.400]  多謝曾牧師和教會邀請給我這個機會來到大家當中
[00:00:13.400 --> 00:00:16.560]  時間是比較倉促的
[00:00:16.560 --> 00:00:21.360]  教會也能夠遷就時間讓我今天跟大家分享
[00:00:21.360 --> 00:00:26.360]  今天我想跟大家思想的題目就是「使命的承傳」
[00:00:26.360 --> 00:00:29.480]  基督徒也知道我們每一個人
[00:00:29.480 --> 00:00:33.000]  你和我都是應該有耶穌基督的使命的
[00:00:33.000 --> 00:00:36.920]  我希望今天能夠將這個題目講得清楚
[00:00:36.920 --> 00:00:40.720]  我首先可以代表博路神學院向大家問安
[00:00:40.720 --> 00:00:46.080]  博路神學院過去幾十年一直在九龍塘的地方作為我們的校舍
[00:00:46.080 --> 00:00:49.280]  由2019年開始我們就搬到美孚
[00:00:49.280 --> 00:00:51.280]  更加近這裡
[00:00:51.280 --> 00:00:58.000]  也因為這個緣故我們有這個聚會也想請大家考慮參加
[00:00:58.000 --> 00:01:04.400]  如果當中有人在考慮會否一生會回應上帝給你的感動、呼召
[00:01:04.400 --> 00:01:05.880]  作傳導人的話
[00:01:05.880 --> 00:01:09.080]  請你可以考慮參加一個叫做「時代的呼聲」
[00:01:09.080 --> 00:01:12.160]  一個全職侍奉探討的聚會
[00:01:12.160 --> 00:01:14.160]  3月2日星期六
[00:01:14.160 --> 00:01:18.000]  詳細情況請你可以留意我們的網頁
[00:01:18.000 --> 00:01:22.200]  我們其實神學院也有一些課程給信徒的
[00:01:22.200 --> 00:01:23.200]  是一些證書課程
[00:01:23.200 --> 00:01:25.200]  即是說一些普及課程
[00:01:25.200 --> 00:01:28.520]  是不需要做功課、不需要考試、不需要入學等等的資格的
[00:01:28.520 --> 00:01:30.520]  你願意讀就可以了
[00:01:30.520 --> 00:01:31.880]  是一些普及課程,好像講座那樣
[00:01:31.880 --> 00:01:33.080]  當然不是學位
