
[00:00:00.000 --> 00:00:02.000]  (字幕:Sky Vision)
[00:00:02.000 --> 00:00:12.600]  其實這齣戲是由我們自己編寫的
[00:00:12.600 --> 00:00:16.000]  好像是開玩笑一樣
[00:00:16.000 --> 00:00:18.600]  好像是自己編寫
[00:00:18.600 --> 00:00:24.000]  但是這齣戲背後的意思是什麼呢?
[00:00:24.000 --> 00:00:28.600]  就是說一個很有問題的家庭
[00:00:28.800 --> 00:00:32.200]  這個家庭已如我詐
[00:00:32.200 --> 00:00:38.600]  大家彼此欺騙過了一種不正當的生活
[00:00:38.600 --> 00:00:41.400]  你看見他們的情況就知道了
[00:00:41.400 --> 00:00:43.200]  但是當他們發現到
[00:00:43.200 --> 00:00:46.200]  原來人生是這麼短暫的
[00:00:46.200 --> 00:00:49.400]  隨時可能是沒有機會的
[00:00:49.400 --> 00:00:51.400]  他們才發現到
[00:00:51.400 --> 00:00:55.000]  原來我們這樣對自己的配偶
[00:00:55.000 --> 00:00:56.600]  對自己的爸爸
[00:00:56.800 --> 00:00:59.000]  他們就良心發現
[00:00:59.000 --> 00:01:03.000]  當人發現到最後的時刻
[00:01:03.000 --> 00:01:07.400]  就會覺得自己真的要把握機會
[00:01:07.400 --> 00:01:11.600]  其實在我們平靜安穩的時候
[00:01:11.600 --> 00:01:13.600]  我們不會想這個問題
[00:01:13.600 --> 00:01:17.200]  但當你發現到自己有問題的時候
[00:01:17.200 --> 00:01:20.800]  就發現到我們應該要把握機會
[00:01:20.800 --> 00:01:24.200]  來做正 說正
[00:01:24.400 --> 00:01:30.000]  這個故事的結束似乎是令人失望的
[00:01:30.000 --> 00:01:32.200]  因為以為沒事
[00:01:32.200 --> 00:01:34.800]  誰知道原來真的有事
[00:01:34.800 --> 00:01:36.400]  結果怎樣呢?
[00:01:36.400 --> 00:01:38.400]  我不回答了
[00:01:38.400 --> 00:01:40.000]  因為你自己想了
[00:01:40.000 --> 00:01:43.000]  但是這個故事讓我們看見
[00:01:43.000 --> 00:01:48.600]  當我們需要到一個問題發生的時候
[00:01:48.600 --> 00:01:51.200]  我們立刻就發現到
[00:01:51.400 --> 00:01:54.800]  原來人生是非常短暫的
[00:01:54.800 --> 00:02:02.000]  家庭的夫婦 妻子兒女的相處也是短暫的
[00:02:02.000 --> 00:02:05.200]  如果我們不能真誠相處的時候
[00:02:05.200 --> 00:02:07.800]  我們也是活在虛偽的當中
[00:02:07.800 --> 00:02:10.200]  所以各位朋友
[00:02:10.200 --> 00:02:13.600]  今天這齣話劇是提醒我們
[00:02:13.600 --> 00:02:18.200]  其實我們應該活在每一天
[00:02:18.400 --> 00:02:22.200]  因為每一天都有事情發生
[00:02:22.200 --> 00:02:25.800]  我們不知道將會發生什麼事
[00:02:25.800 --> 00:02:28.600]  這件事讓我們想到
[00:02:28.600 --> 00:02:32.800]  我們怎樣過著一個有意的人生
[00:02:32.800 --> 00:02:36.000]  每一天都過著有意的人生
[00:02:36.000 --> 00:02:38.200]  我想這個題目的時候
[00:02:38.200 --> 00:02:40.800]  我立刻想到一件事
[00:02:40.800 --> 00:02:42.400]  我有一個教友
[00:02:42.400 --> 00:02:44.400]  他是一個很有名的醫生
[00:02:44.600 --> 00:02:49.400]  但突然間他很熱心地回來我茶經班
[00:02:49.400 --> 00:02:52.200]  奇怪 他平常都很忙的
[00:02:52.200 --> 00:02:54.600]  為什麼來參加我的茶經班呢?
[00:02:54.600 --> 00:02:56.400]  原來他告訴我
[00:02:56.400 --> 00:02:59.800]  他快要說再見了
[00:02:59.800 --> 00:03:04.000]  原來他患了白血球過多症
[00:03:04.000 --> 00:03:07.200]  他很害怕
[00:03:07.200 --> 00:03:09.200]  他叫我為他祈禱
[00:03:09.200 --> 00:03:11.200]  一邊說一邊哭
[00:03:11.200 --> 00:03:13.400]  他又不敢告訴太太
[00:03:13.600 --> 00:03:15.600]  和他媽媽和爸爸
[00:03:15.600 --> 00:03:18.400]  在這個時候我只是跟他祈禱
[00:03:18.400 --> 00:03:19.800]  我又不是醫生
[00:03:19.800 --> 00:03:22.800]  但是很感謝天父
[00:03:22.800 --> 00:03:27.000]  他在醫院進行的時候
[00:03:27.000 --> 00:03:29.800]  原來他自己因為是醫生
[00:03:29.800 --> 00:03:33.000]  他可以想到一個出路
[00:03:33.000 --> 00:03:36.400]  白血球過多只是換骨髓
[00:03:36.400 --> 00:03:40.400]  但是他自己製造骨髓
