
[00:00:00.000 --> 00:00:06.720]  請姐妹再一次在主裡面行安
[00:00:06.720 --> 00:00:11.040]  打開手機看看
[00:00:11.040 --> 00:00:14.480]  神感動兩位同工目者
[00:00:14.480 --> 00:00:17.600]  在感宣永康牧師
[00:00:17.600 --> 00:00:21.040]  這個時間傳遞的訊息就是
[00:00:21.040 --> 00:00:24.880]  使徒三重漢見
[00:00:24.880 --> 00:00:28.640]  他引用的經文就是約翰福音的二十章
[00:00:28.640 --> 00:00:32.320]  就是第三到第十節
[00:00:32.320 --> 00:00:36.080]  另外同樣都是約翰福音
[00:00:36.080 --> 00:00:39.200]  不過陳欣宏牧師在嘉欣堂
[00:00:39.200 --> 00:00:44.240]  這個時候傳遞的訊息就是
[00:00:44.240 --> 00:00:47.520]  破格的平安和喜樂
[00:00:47.520 --> 00:00:52.640]  在今早大家在現場和在紅欣的直播
[00:00:52.640 --> 00:00:55.280]  我就會用哥林多前書
[00:00:55.280 --> 00:00:57.520]  神感動幾位的牧者
[00:00:57.520 --> 00:00:59.520]  都有不同的向度
[00:00:59.520 --> 00:01:05.440]  去將復活節這個很重要的意義
[00:01:05.440 --> 00:01:08.240]  和大家分享
[00:01:08.240 --> 00:01:10.000]  我想用一個例子
[00:01:10.000 --> 00:01:11.840]  一個真人真事
[00:01:11.840 --> 00:01:16.320]  但絕對不是一件開心的例子
[00:01:16.320 --> 00:01:18.320]  很深刻
[00:01:18.320 --> 00:01:22.720]  因為整個過程陪伴著這位姐妹
[00:01:22.720 --> 00:01:25.600]  經歷那種傷痛
[00:01:25.600 --> 00:01:29.600]  在我很多年前
[00:01:29.600 --> 00:01:32.160]  這位姐妹
[00:01:32.160 --> 00:01:38.000]  她那個時候是讀中學
[00:01:38.000 --> 00:01:41.520]  大概中四還是中五
[00:01:41.520 --> 00:01:44.560]  姐姐和我們是同一個團契
[00:01:44.560 --> 00:01:47.280]  那個時候我剛剛傳道
[00:01:47.280 --> 00:01:50.240]  我的母堂、母會
[00:01:50.240 --> 00:01:52.960]  這位姐妹是信主的
[00:01:52.960 --> 00:01:56.640]  跟姐姐回教會,都自小回教會
[00:01:56.640 --> 00:02:01.360]  但上到中四開始無心向學
[00:02:01.360 --> 00:02:04.960]  就開始跟朋友玩
[00:02:04.960 --> 00:02:08.160]  有一次帶了一個朋友
[00:02:08.160 --> 00:02:10.720]  男孩來的,應該是男朋友
[00:02:10.720 --> 00:02:14.960]  來教會聚會
[00:02:14.960 --> 00:02:17.520]  我們一見到這個男孩
[00:02:17.520 --> 00:02:20.800]  就已經勸他
[00:02:20.800 --> 00:02:22.320]  因為都熟的
[00:02:22.320 --> 00:02:24.880]  不要跟這個男孩在一起
[00:02:24.880 --> 00:02:26.400]  當然不聽
[00:02:26.400 --> 00:02:27.920]  男孩比她大一點
[00:02:27.920 --> 00:02:31.360]  已經在社會工作
[00:02:31.360 --> 00:02:33.440]  但大家都知道
[00:02:33.440 --> 00:02:37.600]  這個男孩可能有些不好的嗜好
[00:02:37.600 --> 00:02:39.120]  吸毒的
[00:02:39.120 --> 00:02:43.680]  但這個姐妹完全不察覺
[00:02:43.680 --> 00:02:45.760]  可能墮入了愛河
[00:02:45.760 --> 00:02:48.160]  看不到這些現實
[00:02:48.160 --> 00:02:49.360]  不聽
[00:02:49.360 --> 00:02:52.400]  後來甚至不再讀書
[00:02:52.400 --> 00:02:54.240]  也跟家人關係很差
[00:02:54.240 --> 00:02:57.280]  因為姐姐對他都很嚴厲
[00:02:57.280 --> 00:03:00.880]  叫他盡快離開這個男孩
[00:03:00.880 --> 00:03:02.640]  但不聽
[00:03:02.640 --> 00:03:05.920]  輾轉一段時間都過去了
[00:03:05.920 --> 00:03:10.320]  後來他肯定沒有再回教會一段很長時間
[00:03:10.320 --> 00:03:13.840]  到再見他的時間
[00:03:13.840 --> 00:03:17.360]  他已經有了一個寶寶
[00:03:17.360 --> 00:03:18.640]  輾轉一段時間
[00:03:18.640 --> 00:03:25.520]  小朋友去到三年級小學
[00:03:25.520 --> 00:03:27.840]  為什麼再回教會呢?
[00:03:27.840 --> 00:03:34.400]  姐姐叫我們去探望她妹妹的兒子
[00:03:34.400 --> 00:03:37.440]  即是兒甥
[00:03:37.440 --> 00:03:41.280]  因為小朋友有血癌
[00:03:41.280 --> 00:03:44.240]  在瑪嘉烈
[00:03:44.240 --> 00:03:48.720]  我們趕去跟他祈禱
[00:03:48.720 --> 00:03:52.080]  當然經過輾轉一段時間
[00:03:52.080 --> 00:03:56.320]  因為我們知道的時候已經是後期
[00:03:56.320 --> 00:03:59.680]  那種痛苦
[00:03:59.680 --> 00:04:02.000]  他自己認為
[00:04:02.000 --> 00:04:04.080]  絕對不是我們跟他說
[00:04:04.080 --> 00:04:08.800]  他自己認為是神對他的懲罰
[00:04:08.800 --> 00:04:13.600]  他決心離開這個丈夫
[00:04:13.600 --> 00:04:19.360]  因為真的知道他沒有戒毒不得已
[00:04:19.360 --> 00:04:21.120]  再變本加厲
[00:04:21.120 --> 00:04:23.280]  遊手好閒
