
[00:00:00.000 --> 00:00:05.000]  對一個侍奉主的信徒來說
[00:00:05.000 --> 00:00:08.000]  一生所追求的其中一個恩典
[00:00:08.000 --> 00:00:11.000]  必然是侍奉得力
[00:00:11.000 --> 00:00:15.000]  侍奉者能夠不斷地從主領受侍奉的力量
[00:00:15.000 --> 00:00:19.000]  侍奉才不會乏力
[00:00:19.000 --> 00:00:24.000]  在教會我們經常聽到一個term
[00:00:24.000 --> 00:00:26.000]  就是一個人burn out
[00:00:26.000 --> 00:00:30.000]  即是說侍奉到沒有動力
[00:00:30.000 --> 00:00:34.000]  由侍奉得力到侍奉無力
[00:00:34.000 --> 00:00:37.000]  中間必定經歷過一個過程
[00:00:37.000 --> 00:00:41.000]  怎樣能夠時時都侍奉得力呢?
[00:00:41.000 --> 00:00:46.000]  或者怎樣才能夠不會侍奉無力呢?
[00:00:46.000 --> 00:00:49.000]  這個都要有一些智慧
[00:00:49.000 --> 00:00:53.000]  今天我想引用《獵王記》上十九章一至十八節
[00:00:53.000 --> 00:00:56.000]  引用以利亞的一段故事
[00:00:56.000 --> 00:00:59.000]  去和大家有三個信仰的反思
[00:00:59.000 --> 00:01:05.000]  去了解一下侍奉者為何會陷入一個侍奉的低谷
[00:01:05.000 --> 00:01:09.000]  以及怎樣可以重新得力的一個秘訣
[00:01:09.000 --> 00:01:13.000]  開始的時候我們一起去祈禱
[00:01:13.000 --> 00:01:17.000]  「創天道地的主,我們願意俯伏在祢面前
[00:01:17.000 --> 00:01:20.000]  求祢與我們親近
[00:01:20.000 --> 00:01:24.000]  用祢的話語去洗滌我們每一個的心靈
[00:01:24.000 --> 00:01:28.000]  好叫我們能夠遵行祢的旨意
[00:01:28.000 --> 00:01:33.000]  做一個行為與恩典相稱的基督跟隨者
[00:01:33.000 --> 00:01:36.000]  我們的祈禱是奉教主耶穌基督
[00:01:36.000 --> 00:01:38.000]  得聖名自祈求」
[00:01:38.000 --> 00:01:40.000]  在進入經文之前
[00:01:40.000 --> 00:01:44.000]  我都先講一下經文的背景
[00:01:44.000 --> 00:01:47.000]  當大衛王國分裂了
[00:01:47.000 --> 00:01:49.000]  大衛王朝分裂的時候
[00:01:49.000 --> 00:01:53.000]  不過以色列陷入一個偶像當道的年代
[00:01:53.000 --> 00:01:55.000]  整個以色列國
[00:01:55.000 --> 00:01:59.000]  由國王阿哈、皇后耶洗別
[00:01:59.000 --> 00:02:01.000]  以至整個民族
[00:02:01.000 --> 00:02:05.000]  都敬拜巴力和亞舍拉的偶像
[00:02:05.000 --> 00:02:10.000]  認為這些偶像能夠讓以色列風調雨順
