
[00:00:00.000 --> 00:00:14.000]  洪恩堂的弟兄姊妹大家好,早安
[00:00:14.000 --> 00:00:20.000]  我想大家第一次見我,其實我自己也是錦繡堂的弟兄
[00:00:20.000 --> 00:00:26.000]  我好像也是第一次來洪恩堂,已經十年以上了
[00:00:26.000 --> 00:00:30.000]  但我原來是第一次來,所以也很感恩
[00:00:30.000 --> 00:00:35.000]  還有好像也有些人是見過的,以前在錦宣那裡
[00:00:35.000 --> 00:00:38.000]  所以我們也是很有淵源
[00:00:38.000 --> 00:00:44.000]  還有謝謝周牧師邀請,給我機會過來服侍
[00:00:44.000 --> 00:00:48.000]  還有幾天就是聖誕節
[00:00:48.000 --> 00:00:53.000]  其實每一年在教會過聖誕,我不知道大家是第幾年了
[00:00:53.000 --> 00:00:58.000]  我自己也十幾年了,每一年我們都會去紀念耶穌
[00:00:58.000 --> 00:01:01.000]  對我們的意義
[00:01:01.000 --> 00:01:08.000]  不知道大家每一年對於聖誕節的感受是怎樣呢
[00:01:08.000 --> 00:01:13.000]  我想今年跟大家說一個跟聖誕無關的經文
[00:01:13.000 --> 00:01:15.000]  通常都會說一些聖誕經文
[00:01:15.000 --> 00:01:19.000]  不過我想應該之後聖誕崇拜的周牧師會再說
[00:01:19.000 --> 00:01:26.000]  我想跟大家由一個不開心的故事去想聖誕節
[00:01:26.000 --> 00:01:30.000]  雖然剛才說的那段經文好像跟聖誕沒什麼關係
[00:01:30.000 --> 00:01:34.000]  但其實也有些東西跟聖誕很相似
[00:01:34.000 --> 00:01:37.000]  大家一起聽聽吧
[00:01:37.000 --> 00:01:42.000]  我想哥仁和阿伯大家都認識吧,這兩個人
[00:01:42.000 --> 00:01:45.000]  有沒有人第一次聽這兩個人的名字
[00:01:45.000 --> 00:01:50.000]  我自己比較少聽傳道人說這兩個人的名字
[00:01:50.000 --> 00:01:56.000]  但其實這兩個人的名字是很有意義的
[00:01:56.000 --> 00:01:59.000]  但不是一些好的意義
[00:01:59.000 --> 00:02:02.000]  他們是人類歷史上第一宗謀殺案
[00:02:02.000 --> 00:02:04.000]  裡面的兩個主角
[00:02:04.000 --> 00:02:07.000]  也是亞當夏娃第一對子女
[00:02:07.000 --> 00:02:10.000]  聖經裡面說的
[00:02:11.000 --> 00:02:13.000]  先看看
