
[00:00:00.000 --> 00:00:05.440]  洪恩堂的弟兄姊妹 早安
[00:00:05.440 --> 00:00:07.840]  今早我們一起敬拜
[00:00:07.840 --> 00:00:09.840]  唱了很多詩歌
[00:00:09.840 --> 00:00:11.840]  也聽了很多詩歌
[00:00:11.840 --> 00:00:14.640]  心裏面暢快嗎?
[00:00:14.640 --> 00:00:16.640]  很暢快 很感謝神
[00:00:16.640 --> 00:00:19.640]  給我們這麼多詩歌可以歌頌
[00:00:19.640 --> 00:00:25.080]  也為敬拜隊 為太羽小組
[00:00:25.080 --> 00:00:28.080]  我們聽到這麼多好的音樂
[00:00:28.080 --> 00:00:29.280]  這麼多好的詩歌
[00:00:29.280 --> 00:00:30.680]  我們也用掌聲
[00:00:30.680 --> 00:00:32.680]  張榮耀歸比天父
[00:00:32.680 --> 00:00:34.680]  感謝神
[00:00:34.680 --> 00:00:38.680]  一首詩歌《人算什麼》
[00:00:38.680 --> 00:00:43.280]  掀起了我們今天要聽到的內容
[00:00:43.280 --> 00:00:47.280]  真是的 人是很微不足道的
[00:00:47.280 --> 00:00:49.880]  人是很微小的
[00:00:49.880 --> 00:00:51.880]  算不得什麼
[00:00:51.880 --> 00:00:53.480]  但你不要忘記
[00:00:53.480 --> 00:00:57.080]  原來上帝可以用微不足道的人
[00:00:57.080 --> 00:00:58.680]  甚至小人物
[00:00:58.680 --> 00:01:00.280]  上帝用不用?
[00:01:00.280 --> 00:01:01.480]  上帝也可以使用
[00:01:01.480 --> 00:01:04.280]  所以我們今早讀一段經文
[00:01:04.280 --> 00:01:06.880]  是少許陌生
[00:01:06.880 --> 00:01:09.280]  可能有些人會有印象也不一定
[00:01:09.280 --> 00:01:10.680]  預備起
[00:01:10.680 --> 00:01:13.680]  「阿南王的元帥乃萬
[00:01:13.680 --> 00:01:18.280]  在他主人面前是一個偉大的人
[00:01:18.280 --> 00:01:20.280]  得王的喜悅
[00:01:20.280 --> 00:01:25.280]  因為耶和華曾直著他使阿蘭人得勝
[00:01:25.280 --> 00:01:28.280]  他雖然是大能的勇士
[00:01:28.280 --> 00:01:30.680]  卻染上了麻風
[00:01:30.680 --> 00:01:34.080]  阿蘭人成群出征的時候
[00:01:34.080 --> 00:01:38.280]  從以色列地擄了一個小女孩
[00:01:38.280 --> 00:01:41.680]  她就服侍乃萬的妻子
[00:01:41.680 --> 00:01:44.080]  她對主人說
[00:01:44.080 --> 00:01:48.880]  我希望主人去見撒瑪利亞的先知
[00:01:48.880 --> 00:01:52.680]  她必能治好主人的麻風
