
[00:00:00.000 --> 00:00:02.000]  各位網友平安
[00:00:02.000 --> 00:00:04.800]  雖然農曆新年過了幾天
[00:00:04.800 --> 00:00:06.800]  但今日仍是年初六
[00:00:06.800 --> 00:00:09.800]  所以仍在新年假期
[00:00:09.800 --> 00:00:12.200]  牧師在此為大家拜個年
[00:00:12.200 --> 00:00:15.200]  祝大家今年靈命的日長
[00:00:15.200 --> 00:00:16.600]  愛主的日心
[00:00:16.600 --> 00:00:17.800]  在新的一年
[00:00:17.800 --> 00:00:19.400]  滿有主的恩典
[00:00:19.400 --> 00:00:21.600]  過一個土神喜悅的人生
[00:00:21.600 --> 00:00:25.000]  上個月的講道我跟大家講過
[00:00:25.000 --> 00:00:28.600]  今年第一季我會用經卷形式去講道
[00:00:28.600 --> 00:00:31.200]  以三次的講道內容
[00:00:31.200 --> 00:00:35.200]  跟大家對哥羅西書有更深入的認識
[00:00:35.200 --> 00:00:37.200]  在上一次的講道裏面
[00:00:37.200 --> 00:00:40.600]  我提過哥羅西教會所面對的問題
[00:00:40.600 --> 00:00:43.800]  就是信徒受到異端的引誘
[00:00:43.800 --> 00:00:46.800]  讓他們偏離了基督的信仰
[00:00:46.800 --> 00:00:49.400]  尤其是耶穌基督的身份
[00:00:49.400 --> 00:00:54.000]  有些異端完全否定了耶穌獨特的神聖
[00:00:54.000 --> 00:00:58.000]  耶穌只不過是眾多神明之中的其中之一
[00:00:58.000 --> 00:01:01.000]  有些否定了耶穌的神聖
[00:01:01.000 --> 00:01:04.200]  認為耶穌只是一個人形的軀殼
[00:01:04.200 --> 00:01:07.600]  神只不過是依附在耶穌的肉體裏面
[00:01:07.600 --> 00:01:10.200]  異端對耶穌基督的神人異性
[00:01:10.200 --> 00:01:12.200]  產生了不同程度的質疑
[00:01:12.200 --> 00:01:16.400]  令到有些信徒最終離開了基督的信仰
[00:01:16.400 --> 00:01:19.200]  因此保羅在哥羅西書第一章
[00:01:19.200 --> 00:01:22.200]  講出耶穌基督的超越性
[00:01:22.200 --> 00:01:24.600]  祂是宇宙的開始
[00:01:24.600 --> 00:01:26.600]  亦是世界的終結
[00:01:26.600 --> 00:01:28.600]  世界被創造之先
[00:01:28.600 --> 00:01:31.000]  耶穌基督已經存在
[00:01:31.000 --> 00:01:33.800]  世界是被基督所創造
[00:01:33.800 --> 00:01:37.200]  一切都是為了基督而被創造
[00:01:37.200 --> 00:01:40.600]  因此神的本質尊貴無比
[00:01:40.600 --> 00:01:45.400]  而神的心意就是要我們活在祂的風城裏面
[00:01:45.400 --> 00:01:47.200]  來到第二章
[00:01:47.200 --> 00:01:50.600]  保羅對異端所提出的不同主題
[00:01:50.600 --> 00:01:52.800]  逐一地辯解
[00:01:52.800 --> 00:01:56.400]  讓信徒不再陷入被誘惑的裏面
[00:01:56.400 --> 00:02:00.000]  重新回到基督的信仰裏面
[00:02:00.000 --> 00:02:03.000]  我們進入經文之前一起祈禱
[00:02:03.000 --> 00:02:06.800]  主耶穌基督我們感謝祢
[00:02:06.800 --> 00:02:08.600]  祢賜下聖經
[00:02:08.600 --> 00:02:10.800]  讓我們可以在裏面明白真道
[00:02:10.800 --> 00:02:12.400]  認識祢更加多
[00:02:12.400 --> 00:02:14.400]  甚願我們每一個跟隨祢的
[00:02:14.400 --> 00:02:16.800]  都在祢的話語上高扎根
[00:02:16.800 --> 00:02:19.200]  成為我們信仰上美好的根基
[00:02:19.200 --> 00:02:21.400]  我們祈禱奉主耶穌基督
[00:02:21.400 --> 00:02:22.800]  得聖名字祈求
[00:02:22.800 --> 00:02:24.200]  阿們
[00:02:24.200 --> 00:02:26.200]  我們開始進入經文
[00:02:26.200 --> 00:02:28.800]  異端當時有四種
[00:02:28.800 --> 00:02:31.800]  與基督信仰背道而馳的理論
[00:02:31.800 --> 00:02:33.800]  是哪四種呢?
