
[00:00:00.000 --> 00:00:02.600]  大姐妹早安
[00:00:02.600 --> 00:00:03.480]  早安
[00:00:03.480 --> 00:00:08.160]  我們今時今日可以有實體的去敬拜
[00:00:08.160 --> 00:00:09.400]  感不感恩?
[00:00:09.400 --> 00:00:09.880]  感恩
[00:00:09.880 --> 00:00:11.000]  很感恩
[00:00:11.000 --> 00:00:13.880]  尤其是三十四度高溫
[00:00:13.880 --> 00:00:16.840]  走到教會都平平安安
[00:00:16.840 --> 00:00:18.000]  感不感恩?
[00:00:18.000 --> 00:00:19.080]  感恩
[00:00:19.080 --> 00:00:20.880]  所以能夠敬拜主
[00:00:20.880 --> 00:00:22.880]  一切都是恩典
[00:00:22.880 --> 00:00:26.480]  牧師今早跟你們分享的題目
[00:00:26.480 --> 00:00:30.240]  是內外受敵卻不被困住
[00:00:30.240 --> 00:00:35.120]  希望這個情況不是在你的身上
[00:00:35.120 --> 00:00:37.440]  不過有時候也避無可避
[00:00:37.440 --> 00:00:39.880]  有時候我們生活當中
[00:00:39.880 --> 00:00:41.360]  真的遇到什麼?
[00:00:41.360 --> 00:00:44.000]  內外都有困難
[00:00:44.000 --> 00:00:47.480]  所以我們如何去面對這些困難呢?
[00:00:47.480 --> 00:00:54.960]  所以今天選用的經文是比較冷門一點的
[00:00:54.960 --> 00:00:56.240]  《離希米基》
[00:00:56.240 --> 00:00:58.080]  有沒有讀過《離希米基》?
[00:00:58.080 --> 00:00:59.720]  有些人讀過
[00:00:59.720 --> 00:01:02.120]  但可能很多人未聽過《離希米》
[00:01:02.120 --> 00:01:04.240]  其他米可能是吃過
[00:01:04.240 --> 00:01:06.320]  《離希米基》是什麼呢?
[00:01:06.320 --> 00:01:07.520]  都未知道
[00:01:07.520 --> 00:01:10.600]  今天的經文
[00:01:10.600 --> 00:01:13.120]  亦有時候有點苦悶
[00:01:13.120 --> 00:01:14.960]  因為有些歷史背景
[00:01:14.960 --> 00:01:17.800]  剛才一開始有兩個人物
[00:01:17.800 --> 00:01:19.480]  有參巴拉
