
[00:00:00.000 --> 00:00:03.400]  各位紅人黨的弟兄姊妹,你們好
[00:00:03.400 --> 00:00:05.680]  我是孫克航的學務司儀
[00:00:05.680 --> 00:00:09.360]  原本今天會跟大家分享
[00:00:09.360 --> 00:00:12.160]  但知道疫情不可能
[00:00:12.160 --> 00:00:17.600]  所以要在辦公室跟大家分享聖經
[00:00:17.600 --> 00:00:21.200]  我知道背景不太理想
[00:00:21.200 --> 00:00:26.560]  所以才容許我到分享的PowerPoint
[00:00:26.560 --> 00:00:38.760]  首先要代表孫克航所有弟兄姊妹
[00:00:38.760 --> 00:00:41.360]  大家民安,希望平安
[00:00:41.360 --> 00:00:47.360]  平安這幾個字說就容易
[00:00:47.360 --> 00:00:52.320]  但現在實際上能夠經歷到
[00:00:52.320 --> 00:00:56.640]  能夠感受到確實很困難
[00:00:56.640 --> 00:01:01.520]  這個世界是變化萬千
[00:01:01.520 --> 00:01:03.520]  今天是不知明日事
[00:01:03.520 --> 00:01:06.320]  怎可以有平安
[00:01:06.320 --> 00:01:08.000]  但感謝主
[00:01:08.000 --> 00:01:11.840]  我們所相信的主是永不改變的主
[00:01:11.840 --> 00:01:14.960]  祂的愛是不會離開我們的
[00:01:14.960 --> 00:01:20.160]  所以弟兄姊妹,這段時間我們更需要捉緊著上帝
[00:01:20.160 --> 00:01:23.440]  捉緊著祂給我們的說話
[00:01:23.440 --> 00:01:26.240]  以不變迎萬變
[00:01:26.240 --> 00:01:29.920]  以捉住我們不變的上帝
[00:01:29.920 --> 00:01:31.920]  我們去面對這個世界
[00:01:31.920 --> 00:01:33.920]  求主幫助我們
[00:01:33.920 --> 00:01:36.640]  讓我們先低頭一起祈禱,好嗎?
[00:01:36.640 --> 00:01:39.120]  親愛的恩主,我們感謝你
[00:01:39.120 --> 00:01:42.240]  今天的早上,讓我們一齊來到你面前
[00:01:42.240 --> 00:01:44.240]  我知道你愛我們
[00:01:44.240 --> 00:01:47.520]  求你閱立我們在你面前的奉獻
[00:01:47.520 --> 00:01:50.000]  在你面前的敬拜
[00:01:50.000 --> 00:01:53.920]  也求主你賜個給我們
[00:01:53.920 --> 00:01:55.920]  是你所英許的
[00:01:55.920 --> 00:01:58.800]  我們知道我們一切的好處不是你而我
[00:01:58.800 --> 00:02:02.160]  求你賜下你的恩典給我們
[00:02:02.160 --> 00:02:06.800]  主啊,現在在這個世代裡,我們真的很需要你的恩典
[00:02:06.800 --> 00:02:12.080]  以致我們才能夠好好地生活
[00:02:12.080 --> 00:02:14.880]  所以我們恭敬的將以下時間交上
[00:02:14.880 --> 00:02:16.880]  求你與我們同在
[00:02:16.880 --> 00:02:19.280]  同心合意在你面前一齊禱告
