
[00:00:00.000 --> 00:00:02.000]  請自我介紹
[00:00:02.000 --> 00:00:08.000]  《2020年國慶日》主題曲 張碩晟議員
[00:00:08.000 --> 00:00:10.000]  各位姐妹早安
[00:00:10.000 --> 00:00:15.680]  今天是2020年最後一次的主日崇拜
[00:00:15.680 --> 00:00:17.840]  我竟然有幸來到紅恩堂
[00:00:17.840 --> 00:00:20.720]  跟大家一齊歌頌讚美神
[00:00:20.720 --> 00:00:26.040]  用上帝的話來給予鼓勵
[00:00:26.040 --> 00:00:31.000]  在中國有一個很出名的商人
[00:00:31.000 --> 00:00:32.640]  他叫做張碩敏
[00:00:32.640 --> 00:00:34.520]  不過可能你和我都不太認識
[00:00:34.520 --> 00:00:38.600]  我也是靠上網才能認識到這個人
[00:00:38.600 --> 00:00:44.960]  他將中國的商品帶到歐洲的市場
[00:00:44.960 --> 00:00:47.440]  原來在70年代的時候
[00:00:47.440 --> 00:00:52.280]  在歐洲、美國各方面都沒有中國的商品
[00:00:52.280 --> 00:00:54.280]  在當中的市場
[00:00:54.280 --> 00:00:57.760]  是他第一個帶進去的
[00:00:57.760 --> 00:01:01.520]  他做事非常積極
[00:01:01.520 --> 00:01:04.960]  他說每一樣簡單的事
[00:01:04.960 --> 00:01:08.040]  只要你用心去做好的時候
[00:01:08.040 --> 00:01:11.840]  它可能會成為一個不簡單的事
[00:01:11.840 --> 00:01:13.840]  一件很平凡的事
[00:01:13.840 --> 00:01:17.320]  只要我們用心去做好的時候
[00:01:17.320 --> 00:01:20.320]  這件事可以變得不平凡
[00:01:20.320 --> 00:01:24.400]  所以他鼓勵所有的員工
[00:01:24.400 --> 00:01:28.080]  做事的時候只要用心去做的話
[00:01:28.080 --> 00:01:33.760]  得出來的果效是很不同的
[00:01:33.760 --> 00:01:39.400]  有三個工人在砌磚
[00:01:39.400 --> 00:01:42.280]  有人問他們三個
[00:01:42.280 --> 00:01:45.480]  你們在做什麼呢?
[00:01:45.480 --> 00:01:49.200]  第一個工人就好戲不好戲
[00:01:49.200 --> 00:01:50.400]  你看不到的嗎?
[00:01:50.400 --> 00:01:53.240]  我在砌磚
[00:01:53.240 --> 00:01:59.000]  這個工人只是在做事
[00:01:59.000 --> 00:02:02.160]  第二個就回答他
[00:02:02.160 --> 00:02:11.160]  我每一個小時可以拿到160元的工
[00:02:11.160 --> 00:02:12.200]  好一點
[00:02:12.200 --> 00:02:15.400]  因為要看錢份上
[00:02:15.400 --> 00:02:18.280]  第三個工人就很開心
[00:02:18.280 --> 00:02:20.000]  很輕鬆地說
[00:02:20.000 --> 00:02:26.560]  我現在在建造一間世界上最偉大的樓宇
[00:02:26.560 --> 00:02:29.760]  我想這個第三個工人
[00:02:29.760 --> 00:02:32.360]  他有一個遠大的目標
[00:02:32.360 --> 00:02:35.040]  他心裏面有一份積極的時候
[00:02:35.040 --> 00:02:37.960]  他更加用心去做
[00:02:37.960 --> 00:02:43.040]  他出來的質量和效果是很不同的
[00:02:43.040 --> 00:02:45.640]  如果我們像第二個工人一樣
[00:02:45.640 --> 00:02:47.160]  為了錢去看的時候
[00:02:47.160 --> 00:02:49.160]  他都會盡責的
[00:02:49.160 --> 00:02:51.000]  不過可能那個心態就是
[00:02:51.000 --> 00:02:55.400]  誰叫你窮頂硬上呢?
[00:02:55.400 --> 00:02:56.960]  不行不行
[00:02:56.960 --> 00:02:59.760]  我們要有一個遠大的目標
[00:02:59.760 --> 00:03:05.400]  我們用心去做好每一樣上帝給我們的事情
[00:03:05.400 --> 00:03:08.160]  你去看這個詩篇
[00:03:08.160 --> 00:03:11.480]  第103篇第一召第五節的時候
[00:03:11.480 --> 00:03:13.760]  我們知道他一點點的背景
[00:03:13.760 --> 00:03:17.240]  很清楚知道他是大衛的作品
[00:03:17.240 --> 00:03:19.480]  因為其中一句他說
[00:03:19.480 --> 00:03:23.320]  他用美麗使你所願的得以知足
[00:03:23.320 --> 00:03:26.760]  以至你如英返老還童
[00:03:26.760 --> 00:03:29.080]  在第五節他這樣說
[00:03:29.080 --> 00:03:37.240]  所以人們覺得可能大衛已經是練腦了
[00:03:37.240 --> 00:03:42.680]  但是他因為堅心去跟著神的時候
[00:03:42.680 --> 00:03:46.360]  他覺得何時他去投靠神的時候
[00:03:46.360 --> 00:03:48.360]  他的力量就來了
[00:03:48.360 --> 00:03:50.200]  所以人們就猜了
[00:03:50.200 --> 00:03:53.880]  這個是在大衛練腦的時候寫成的
[00:03:53.880 --> 00:03:58.720]  並且在他的兒子叛亂之後
[00:03:58.720 --> 00:04:03.440]  也在他因為驕傲犯了罪之後
[00:04:03.440 --> 00:04:05.200]  上帝懲罰了之後
[00:04:05.200 --> 00:04:09.200]  他就寫成了這一篇感恩的詩篇
[00:04:09.200 --> 00:04:10.800]  我們就看一下
[00:04:10.800 --> 00:04:14.960]  在第一方面我們看一下心的稱頌
[00:04:14.960 --> 00:04:18.640]  我們這次就只看心那方面
[00:04:18.640 --> 00:04:21.480]  第一第二節大衛這樣說
[00:04:21.480 --> 00:04:26.040]  我的心你要稱頌耶和華
[00:04:26.040 --> 00:04:30.520]  凡在我裡面的都要稱頌他的名
[00:04:30.520 --> 00:04:32.520]  第二節也是同樣這樣說
[00:04:32.520 --> 00:04:36.520]  我的心你要稱頌耶和華
[00:04:36.520 --> 00:04:39.080]  所以這兩節聖經裡面
[00:04:39.080 --> 00:04:42.880]  不斷地說我的心你要稱頌
[00:04:42.880 --> 00:04:46.120]  出現了三次稱頌這個字
[00:04:46.120 --> 00:04:51.120]  在聖經裡面凡出現三次的字
[00:04:51.120 --> 00:04:53.600]  就說明他是很確實的
[00:04:53.600 --> 00:04:55.120]  是不會變的
[00:04:55.120 --> 00:04:56.480]  就如我們看
[00:04:56.480 --> 00:04:58.640]  在《熱賽書》
[00:04:58.640 --> 00:05:01.840]  當熱賽先知見到上帝的時候
[00:05:01.840 --> 00:05:02.640]  他就說
[00:05:02.640 --> 00:05:07.480]  聖哉聖哉聖哉萬鈞的耶和華
[00:05:07.480 --> 00:05:09.560]  他就很絕對肯定
[00:05:09.560 --> 00:05:13.680]  我們的上帝是一位聖潔的上帝
[00:05:13.680 --> 00:05:16.280]  在這裡出現了三次
