
[00:00:00.000 --> 00:00:02.000]  鄧小姐,早安
[00:00:02.000 --> 00:00:07.000]  我們今天會討論改變的題目
[00:00:07.000 --> 00:00:11.000]  不知道大家覺得改變難不難
[00:00:11.000 --> 00:00:14.000]  有些人覺得三歲還是八十
[00:00:14.000 --> 00:00:19.000]  改變似乎是一件很困難的事情
[00:00:19.000 --> 00:00:24.000]  我們小時候看卡通片
[00:00:24.000 --> 00:00:26.000]  很期望改變
[00:00:26.000 --> 00:00:32.000]  我們小時候看卡通片
[00:00:32.000 --> 00:00:35.000]  一時變身就能改變
[00:00:35.000 --> 00:00:37.000]  如果跟我差不多年紀
[00:00:37.000 --> 00:00:39.000]  或是弟兄
[00:00:39.000 --> 00:00:42.000]  相信也曾經被一幕震撼
[00:00:42.000 --> 00:00:44.000]  在《龍珠》裡
[00:00:44.000 --> 00:00:47.000]  孫悟空變成超級殺人那一刻
[00:00:47.000 --> 00:00:49.000]  震撼了全世界的小朋友
[00:00:49.000 --> 00:00:51.000]  因為突然覺得原來人可以
[00:00:51.000 --> 00:00:54.000]  一下子變得很厲害
[00:00:54.000 --> 00:00:56.000]  你也應該試過吧
[00:00:56.000 --> 00:00:58.000]  小時候洗澡時用洗髮水
[00:00:58.000 --> 00:01:00.000]  把頭髮弄髒
[00:01:00.000 --> 00:01:05.000]  然後很憤怒地覺得自己變厲害了
[00:01:05.000 --> 00:01:07.000]  或者你是姐妹
[00:01:07.000 --> 00:01:10.000]  小時候也很渴望撿到一些東西
[00:01:10.000 --> 00:01:12.000]  撿到一些鏡盒
[00:01:12.000 --> 00:01:14.000]  撿到一些神仙棒
[00:01:14.000 --> 00:01:17.000]  就能夠變成一些很漂亮的東西
[00:01:17.000 --> 00:01:19.000]  很厲害的東西
[00:01:19.000 --> 00:01:20.000]  不過對於變身
[00:01:20.000 --> 00:01:22.000]  我有一個比較哲學的問題想問
[00:01:22.000 --> 00:01:24.000]  究竟一個人變身
[00:01:24.000 --> 00:01:26.000]  是因為他變得厲害了
[00:01:26.000 --> 00:01:28.000]  所以才能變身
[00:01:28.000 --> 00:01:31.000]  還是因為他變身就變厲害了
[00:01:31.000 --> 00:01:33.000]  有沒有想過這個問題
[00:01:33.000 --> 00:01:34.000]  一個人變身
[00:01:34.000 --> 00:01:36.000]  是因為他自己已經夠厲害了
[00:01:36.000 --> 00:01:38.000]  所以才能變身
[00:01:38.000 --> 00:01:39.000]  還是因為他變身
[00:01:39.000 --> 00:01:41.000]  所以才變厲害了
[00:01:41.000 --> 00:01:43.000]  其實卡通片是有兩種的
[00:01:43.000 --> 00:01:45.000]  有些人是因為不斷鍛鍊
[00:01:45.000 --> 00:01:47.000]  最後能夠變身
[00:01:47.000 --> 00:01:49.000]  有些人純粹是因為
[00:01:49.000 --> 00:01:51.000]  得到一些物件
[00:01:51.000 --> 00:01:53.000]  所以才能夠變身
[00:01:53.000 --> 00:01:55.000]  所以今天我們來到思想
[00:01:55.000 --> 00:01:59.000]  其實我們回看我們的信仰生命
[00:01:59.000 --> 00:02:02.000]  其實我們的信仰生命
[00:02:02.000 --> 00:02:04.000]  也可以說是一次變身
[00:02:04.000 --> 00:02:06.000]  特別最直接的經文是什麼
[00:02:06.000 --> 00:02:09.000]  就是哥林多後書第五章
