
[00:00:00.000 --> 00:00:04.000]  各位頂姐妹早安
[00:00:04.000 --> 00:00:08.000]  大家見到禮堂的擺設
[00:00:08.000 --> 00:00:11.000]  有頂姐妹愛心的
[00:00:11.000 --> 00:00:17.000]  在昨天用了很多時間來佈置
[00:00:17.000 --> 00:00:22.000]  很想告訴我們復活節是值得慶賀的
[00:00:22.000 --> 00:00:26.000]  因為如果我們真的認識我們的救贖主耶穌
[00:00:26.000 --> 00:00:29.000]  我們的生命就會有改變
[00:00:29.000 --> 00:00:32.000]  正如剛才弟兄在領唱時所說
[00:00:32.000 --> 00:00:36.000]  不單止是耶穌的身體有復活改變
[00:00:36.000 --> 00:00:39.000]  其實在每一個信徒的心靈裏
[00:00:39.000 --> 00:00:42.000]  這個復活生命是已經開始的
[00:00:42.000 --> 00:00:45.000]  所以今早盼望藉著這段聖經
[00:00:45.000 --> 00:00:47.000]  跟大家一齊思想
[00:00:47.000 --> 00:00:52.000]  一齊從復活的主的生命進入我們裏
[00:00:52.000 --> 00:00:54.000]  來有這個改變
[00:00:54.000 --> 00:00:56.000]  有這個生命的變化
[00:00:56.000 --> 00:00:59.000]  跟大家有一個簡單禱告
[00:00:59.000 --> 00:01:01.000]  再一次我們將這段時間
[00:01:01.000 --> 00:01:03.000]  神的話語被打開
[00:01:03.000 --> 00:01:05.000]  在很多頂姐妹的心靈裏
[00:01:05.000 --> 00:01:08.000]  再一次被提醒
[00:01:08.000 --> 00:01:11.000]  聖靈的工作在我們大家的心靈裏
[00:01:11.000 --> 00:01:13.000]  來喚醒我們
[00:01:13.000 --> 00:01:15.000]  主耶穌已經復活
[00:01:15.000 --> 00:01:18.000]  我們等待的是再來的君王
[00:01:18.000 --> 00:01:23.000]  是這位將來要改變整個世界宇宙的救贖主
[00:01:23.000 --> 00:01:24.000]  這位尼塞亞
[00:01:24.000 --> 00:01:27.000]  所以我們今早在慶賀的過程
[00:01:27.000 --> 00:01:30.000]  我們的內心帶著盼望
[00:01:30.000 --> 00:01:32.000]  奉耶穌基督的名
[00:01:32.000 --> 00:01:33.000]  阿們
[00:01:33.000 --> 00:01:34.000]  選取這段聖經
[00:01:34.000 --> 00:01:37.000]  其實三十四節你就會知道
[00:01:37.000 --> 00:01:40.000]  誰還可以定我們基督徒的罪呢?
[00:01:40.000 --> 00:01:43.000]  因為有基督耶穌已經死了
[00:01:43.000 --> 00:01:44.000]  保羅特別強調
[00:01:44.000 --> 00:01:46.000]  而且是從死裏復活
[00:01:46.000 --> 00:01:50.000]  現在是坐在神的寶座右邊為我們代求
[00:01:50.000 --> 00:01:53.000]  所以我們要看到這個景象
[00:01:53.000 --> 00:01:55.000]  雖然物質看不到
[00:01:55.000 --> 00:01:57.000]  我們不會高一點
[00:01:57.000 --> 00:01:58.000]  四樓還是五樓
[00:01:58.000 --> 00:02:01.000]  就看到耶穌在那裏祈禱
[00:02:01.000 --> 00:02:02.000]  就不會的
