
[00:00:00.000 --> 00:00:02.000]  多謝各位收看 再見!
[00:00:03.000 --> 00:00:05.000]  各位電影姐妹平安!
[00:00:05.000 --> 00:00:07.000]  感謝神!
[00:00:07.000 --> 00:00:10.000]  因為十週年同慶的緣故
[00:00:10.000 --> 00:00:13.000]  我相信我們會經常說「侍奉」
[00:00:13.000 --> 00:00:15.000]  我們不停地說過去的侍奉
[00:00:15.000 --> 00:00:17.000]  將來的侍奉
[00:00:17.000 --> 00:00:19.000]  都是一件很重要的事
[00:00:19.000 --> 00:00:21.000]  事實上最近我們的教會
[00:00:21.000 --> 00:00:23.000]  都開始熱鬧起來
[00:00:23.000 --> 00:00:27.000]  多了人參與不同部門的侍奉
[00:00:27.000 --> 00:00:30.000]  我們要為此獻上感恩
[00:00:30.000 --> 00:00:33.000]  我們的侍奉是為了神
[00:00:33.000 --> 00:00:35.000]  不是為了自己
[00:00:35.000 --> 00:00:37.000]  究竟我們整個群體
[00:00:37.000 --> 00:00:39.000]  不單是我們個人
[00:00:39.000 --> 00:00:42.000]  整個群體的侍奉
[00:00:42.000 --> 00:00:45.000]  怎樣才是討神喜悅呢?
[00:00:45.000 --> 00:00:48.000]  這是很值得我們去探討的
[00:00:48.000 --> 00:00:51.000]  因為洪恩家是屬於神的
[00:00:51.000 --> 00:00:55.000]  不是屬於我們哪一個人
[00:00:55.000 --> 00:00:57.000]  所以在這裡我們更加要問
[00:00:57.000 --> 00:00:59.000]  怎樣去服侍神
[00:00:59.000 --> 00:01:01.000]  才是祂的喜悅呢?
[00:01:01.000 --> 00:01:03.000]  我們一同來禱告
[00:01:03.000 --> 00:01:08.000]  天母上帝很感謝你
[00:01:08.000 --> 00:01:11.000]  讓我們今天能夠以你的話語
[00:01:11.000 --> 00:01:13.000]  能夠彼此鼓勵
[00:01:13.000 --> 00:01:17.000]  求你今天開我們的眼睛
[00:01:17.000 --> 00:01:21.000]  讓我們去看明白神的心意
[00:01:21.000 --> 00:01:24.000]  讓你的耳朵真的打開
[00:01:24.000 --> 00:01:26.000]  聽清楚我們的聲音
[00:01:26.000 --> 00:01:29.000]  願聖靈在我們每一個人裡面動功
[00:01:29.000 --> 00:01:30.000]  感動我們
