
[00:00:00.000 --> 00:00:03.000]  洪永嘉的弟妹平安
[00:00:03.000 --> 00:00:06.000]  中國人有句說話是這麼說的
[00:00:06.000 --> 00:00:09.000]  他說一年之計在於春
[00:00:09.000 --> 00:00:11.000]  一日之計在於晨
[00:00:11.000 --> 00:00:14.000]  一生之計在於勤
[00:00:14.000 --> 00:00:19.000]  這番說話造就了中國人一個勤奮的性格
[00:00:19.000 --> 00:00:23.000]  以及在年頭為一年裏做好計劃
[00:00:23.000 --> 00:00:25.000]  做好準備
[00:00:25.000 --> 00:00:29.000]  如果說一年的計劃是這麼重要的話
[00:00:29.000 --> 00:00:33.000]  我在想用什麼心態去面對
[00:00:33.000 --> 00:00:36.000]  以及執行這個計劃就更加重要
[00:00:36.000 --> 00:00:39.000]  在2021年的第一個崇拜
[00:00:39.000 --> 00:00:43.000]  我想和大家分享一個生命的奇蹟
[00:00:43.000 --> 00:00:47.000]  在幾年之前已經有一個這樣的報導
[00:00:47.000 --> 00:00:52.000]  有一對夫婦在油麻地開設一個燒臘店
[00:00:52.000 --> 00:00:55.000]  店鋪開了二十多年了
[00:00:55.000 --> 00:01:00.000]  他們兩夫婦當時見到小市民生活越來越艱辛
[00:01:00.000 --> 00:01:04.000]  所以為了街坊能夠有一餐飽飯吃
[00:01:04.000 --> 00:01:09.000]  他們明知每賣出一個飯盒就虧了一個半
[00:01:09.000 --> 00:01:16.000]  仍然堅持賣11元一盒燒肉飯連泥湯
[00:01:16.000 --> 00:01:19.000]  堅持了三年都不加價
[00:01:19.000 --> 00:01:23.000]  令到街坊真的能夠有平價飯吃
[00:01:23.000 --> 00:01:25.000]  不要小看他們
[00:01:25.000 --> 00:01:30.000]  燒臘店每天賣出六百盒燒肉飯
[00:01:30.000 --> 00:01:33.000]  四百盒雙拼飯
[00:01:33.000 --> 00:01:37.000]  一天就有一千個人受惠
[00:01:37.000 --> 00:01:43.000]  老闆說每天要補貼一千五千元
[00:01:43.000 --> 00:01:46.000]  是的,大家沒有聽錯
[00:01:46.000 --> 00:01:50.000]  每天老闆要補貼一千五千元
[00:01:50.000 --> 00:01:56.000]  每月補貼四萬五千元
[00:01:56.000 --> 00:01:58.000]  是不是覺得很奇怪?
[00:01:58.000 --> 00:02:02.000]  在香港地,虧本生意也有人做嗎?
[00:02:02.000 --> 00:02:05.000]  原來這對夫婦計算過
[00:02:05.000 --> 00:02:08.000]  他們將批發燒肉所賺到的
[00:02:08.000 --> 00:02:11.000]  用來補貼這邊虧的
[00:02:11.000 --> 00:02:15.000]  所以剛剛打和,不是虧很多
[00:02:15.000 --> 00:02:19.000]  他的仗義行為影響了他的徒弟
[00:02:19.000 --> 00:02:23.000]  他在深水埗賣燒肉飯
[00:02:23.000 --> 00:02:25.000]  每盒賣十元
[00:02:25.000 --> 00:02:30.000]  效法他師父幫助貧窮人
[00:02:30.000 --> 00:02:33.000]  我們對這種行為
[00:02:33.000 --> 00:02:36.000]  我們都會說老闆有企業良心
[00:02:36.000 --> 00:02:38.000]  他沒有賺到盡
[00:02:38.000 --> 00:02:40.000]  做生意也顧著街坊
[00:02:40.000 --> 00:02:43.000]  真是人間有情
