
[00:00:00.000 --> 00:00:07.000]  各位兄弟姐妹,早安!很高興來到紅磡堂跟大家分享
[00:00:07.000 --> 00:00:09.000]  我也是第一次來到教會
[00:00:09.000 --> 00:00:15.000]  雖然很多時候都知道教會已經開了一段時間
[00:00:15.000 --> 00:00:18.000]  但因為很多原因都沒有機會來到當中
[00:00:18.000 --> 00:00:21.000]  來到的時候很開心
[00:00:21.000 --> 00:00:24.000]  開車來到洪水橋附近的時候
[00:00:24.000 --> 00:00:26.000]  看到很多不同的街坊
[00:00:26.000 --> 00:00:30.000]  看到很多茶餐廳、單車舖
[00:00:30.000 --> 00:00:33.000]  看到很多不同的附近的人
[00:00:33.000 --> 00:00:39.000]  很感恩教會在這個地方成為一間新的教會
[00:00:39.000 --> 00:00:43.000]  我以前也在宣德堂開展直堂
[00:00:43.000 --> 00:00:48.000]  所以也很特別、很體會一間新教會的存在
[00:00:48.000 --> 00:00:53.000]  或者是一個新意思,可能也不是十年以上
[00:00:53.000 --> 00:00:59.000]  一間教會在一個新的地方很有意思
[00:00:59.000 --> 00:01:06.000]  特別是疫情,在這一年我們來崇拜的時候
[00:01:06.000 --> 00:01:14.000]  讓我們更加思考教會在這個地方所做的事情的意義
[00:01:14.000 --> 00:01:19.000]  所以今天牧師選擇了一個有關教會的主題的時候
[00:01:19.000 --> 00:01:24.000]  我也用這段經文跟大家一起來思考
[00:01:24.000 --> 00:01:29.000]  《約翰福音》第一章一到十八節是一段神學引言
[00:01:29.000 --> 00:01:35.000]  很多人都建議初信主的人來讀《約翰福音》
[00:01:35.000 --> 00:01:37.000]  除了這一段,這一段很深奧
[00:01:37.000 --> 00:01:39.000]  這一段有很多神學的信息
[00:01:39.000 --> 00:01:42.000]  太初有道,對神同在道,徒至神
[00:01:42.000 --> 00:01:47.000]  說到永恆的上帝怎樣來猜險、讀生子
[00:01:47.000 --> 00:01:52.000]  上帝是一個完全的人、完全的神
[00:01:52.000 --> 00:01:56.000]  這些很深奧秘,三維一體、永恆之類的話題
[00:01:56.000 --> 00:02:00.000]  可能大家也未必這麼容易理解這段經文
[00:02:00.000 --> 00:02:03.000]  不過這段經文裡面其實是很特別的
