
[00:00:00.000 --> 00:00:02.000]  頂智本早晨
[00:00:02.000 --> 00:00:05.320]  感謝神今天有機會來到當中
[00:00:05.320 --> 00:00:07.320]  如果以港獨來說
[00:00:07.320 --> 00:00:09.320]  我也是第二次來到裡面
[00:00:09.320 --> 00:00:11.320]  上一次在這裡高朋滿座
[00:00:11.320 --> 00:00:13.320]  這裡已經坐滿了
[00:00:13.320 --> 00:00:15.320]  之後跟大家分享
[00:00:15.320 --> 00:00:17.320]  這次是一個直播
[00:00:17.320 --> 00:00:19.320]  但是我們很感謝神
[00:00:19.320 --> 00:00:21.320]  在即將來臨的新消息
[00:00:21.320 --> 00:00:23.320]  昨天是第一次
[00:00:23.320 --> 00:00:25.320]  11月到現在第一次清零
[00:00:25.320 --> 00:00:27.320]  即是香港沒有本土的個案
[00:00:27.320 --> 00:00:30.320]  我們也收到一些消息
[00:00:30.320 --> 00:00:32.320]  會不會有機會
[00:00:32.320 --> 00:00:34.320]  在復活節之前
[00:00:34.320 --> 00:00:37.320]  可以崇拜重新再開放呢
[00:00:37.320 --> 00:00:39.320]  雖然人數可能會減少
[00:00:39.320 --> 00:00:41.320]  但是頂智妹
[00:00:41.320 --> 00:00:44.320]  很實在我是很期待很渴望的
[00:00:44.320 --> 00:00:48.320]  因為真的可以和頂智妹面對面接觸
[00:00:48.320 --> 00:00:51.320]  這種的港獨是很不同的
[00:00:51.320 --> 00:00:55.320]  其實我是一個很不喜歡對著鏡頭說話的人
[00:00:55.320 --> 00:00:57.320]  我很喜歡看到頂智妹的眼神
[00:00:57.320 --> 00:00:59.320]  我很喜歡看到頂智妹的回應
[00:00:59.320 --> 00:01:03.320]  所以我對自己的港獨只有一個要求
[00:01:03.320 --> 00:01:05.320]  就是我港獨的時候
[00:01:05.320 --> 00:01:07.320]  我希望不會看到頂智妹睡著了
[00:01:07.320 --> 00:01:09.320]  這就是我的要求
[00:01:09.320 --> 00:01:11.320]  我希望盡量在港獨裡面的時候
[00:01:11.320 --> 00:01:14.320]  讓我頂智妹能夠專心聽上帝的話
[00:01:14.320 --> 00:01:16.320]  所以在家中的時候
[00:01:16.320 --> 00:01:18.320]  我是有些擔心的
[00:01:18.320 --> 00:01:22.320]  因為有些頂智妹可能在被窩裡面聽
[00:01:22.320 --> 00:01:26.320]  有些可能是剛剛睡醒的狀態去聽
[00:01:26.320 --> 00:01:29.320]  所以我在這裡更加鼓勵
[00:01:29.320 --> 00:01:32.320]  萬一繼續要網上的話
[00:01:32.320 --> 00:01:36.320]  請頂智妹最少提早十分鐘
[00:01:36.320 --> 00:01:38.320]  做好一切的事
[00:01:38.320 --> 00:01:39.320]  放下一切的事
[00:01:39.320 --> 00:01:42.320]  之後專心坐在電腦面前
[00:01:42.320 --> 00:01:44.320]  如果是可以的話
[00:01:44.320 --> 00:01:46.320]  我更加鼓勵換一套衣服
[00:01:46.320 --> 00:01:48.320]  坐在這裡好好地去敬拜上帝
[00:01:48.320 --> 00:01:50.320]  整個狀態進入這個敬拜的狀態
[00:01:50.320 --> 00:01:52.320]  這是很重要的
[00:01:52.320 --> 00:01:55.320]  我今天跟大家分享這段經文的時候
[00:01:55.320 --> 00:01:58.320]  是整個小道行經第十章
[00:01:58.320 --> 00:02:00.320]  剛才我請主席讀的時候
[00:02:00.320 --> 00:02:02.320]  只有兩節的原因
[00:02:02.320 --> 00:02:05.320]  因為這裡也是一個比較頗長的故事
[00:02:05.320 --> 00:02:07.320]  所以我想用一點時間
[00:02:07.320 --> 00:02:09.320]  很快地跟大家交代這個故事
[00:02:09.320 --> 00:02:10.320]  是說什麼
[00:02:10.320 --> 00:02:12.320]  第十章的時候
[00:02:12.320 --> 00:02:14.320]  他說在凱撒尼亞一個外邦的地方
[00:02:14.320 --> 00:02:16.320]  有一個叫哥利留
[00:02:16.320 --> 00:02:18.320]  是意大利營的白夫長
[00:02:18.320 --> 00:02:20.320]  是一個軍人和軍官
[00:02:20.320 --> 00:02:22.320]  但聖經形容他就是一個虔誠人
[00:02:22.320 --> 00:02:25.320]  他全家都敬畏神
[00:02:25.320 --> 00:02:28.320]  而且他行出信徒的榜樣
[00:02:28.320 --> 00:02:31.320]  多多州際百姓上上禱告
[00:02:31.320 --> 00:02:33.320]  很明顯的就是
[00:02:33.320 --> 00:02:35.320]  他聽到上帝的時間
[00:02:35.320 --> 00:02:37.320]  然後他就信奉
[00:02:37.320 --> 00:02:41.320]  然後他就按照著聖經對他們的要求去做
[00:02:41.320 --> 00:02:43.320]  然後他就行出來了
[00:02:43.320 --> 00:02:44.320]  有一天的時候
[00:02:44.320 --> 00:02:45.320]  大概下午三點鐘
[00:02:45.320 --> 00:02:46.320]  他看到一個異象
[00:02:46.320 --> 00:02:47.320]  有使者來到跟他說
