
[00:00:00.000 --> 00:00:02.920]  我讀今日講道的經文給大家聽
[00:00:02.920 --> 00:00:06.960]  是路加方向四章十八到十九節
[00:00:06.960 --> 00:00:08.460]  請聽我讀便可以
[00:00:08.460 --> 00:00:11.400]  路加方向四章十八到十九節
[00:00:11.400 --> 00:00:13.600]  主的靈在我身上
[00:00:13.600 --> 00:00:16.000]  因為他用告告我
[00:00:16.000 --> 00:00:19.000]  叫我傳福音給貧窮的人
[00:00:19.000 --> 00:00:22.600]  差遣我報告被擄的得釋放
[00:00:22.600 --> 00:00:24.700]  乞眼的得看見
[00:00:24.700 --> 00:00:27.200]  叫那受壓制的得自由
[00:00:27.200 --> 00:00:30.200]  報告神月立人的欺憐
[00:00:30.200 --> 00:00:31.600]  請我們同心祈禱
[00:00:31.600 --> 00:00:34.800]  神啊我們多謝祢
[00:00:34.800 --> 00:00:37.800]  我們來到祢的面前要感恩
[00:00:37.800 --> 00:00:40.000]  因為祢能夠釋放我們
[00:00:40.000 --> 00:00:43.100]  無論我們大罪也好小罪也好
[00:00:43.100 --> 00:00:45.200]  在祢來講沒有分大小
[00:00:45.200 --> 00:00:47.000]  祢都能夠釋放我們
[00:00:47.000 --> 00:00:50.000]  只要是我們親近祢
[00:00:50.000 --> 00:00:51.800]  神啊祢就充滿我們
[00:00:51.800 --> 00:00:53.600]  主我們感恩多謝祢
[00:00:53.600 --> 00:00:56.400]  我們聽到Anna姐妹的分享
[00:00:56.400 --> 00:00:58.600]  她的生命的經歷
[00:00:58.600 --> 00:01:01.800]  真的要來到祢面前要重讚祢
[00:01:01.800 --> 00:01:03.400]  因為祢拯救她
[00:01:03.400 --> 00:01:04.600]  主我們多謝祢
[00:01:04.600 --> 00:01:06.200]  主我們更加感恩
[00:01:06.200 --> 00:01:09.800]  祢的救恩臨到我們每一個人的身上
[00:01:09.800 --> 00:01:11.800]  將紅恩堂每位弟兄姊妹
[00:01:11.800 --> 00:01:14.000]  特別新朋友我們交托給主
[00:01:14.000 --> 00:01:15.800]  主啊這一刻充滿他們
