
[00:00:00.000 --> 00:00:04.000]  洪恩堂的弟兄姊妹大家好
[00:00:04.000 --> 00:00:09.000]  很難得和大家相隔一年左右
[00:00:09.000 --> 00:00:13.000]  我們再一次在這裡去敬拜
[00:00:13.000 --> 00:00:19.000]  上一次我和大家分享也是《路德記》的第一章
[00:00:19.000 --> 00:00:23.000]  今天我和大家看
[00:00:23.000 --> 00:00:31.000]  跳過中間的經文去聚會這段神話
[00:00:31.000 --> 00:00:33.000]  和大家在敬拜的過程中
[00:00:33.000 --> 00:00:39.000]  我覺得今天我們去看《路德記》
[00:00:39.000 --> 00:00:44.000]  也很和應洪恩堂的境況
[00:00:44.000 --> 00:00:49.000]  老人家也有,小朋友也有
[00:00:49.000 --> 00:00:53.000]  甚至今天我們看程序表才驚覺
[00:00:53.000 --> 00:00:57.000]  原來我們老牧師的身體
[00:00:57.000 --> 00:00:59.000]  去到一個這樣的情況
[00:00:59.000 --> 00:01:05.000]  看完《路德記》我們更加思想到上帝的作為
[00:01:05.000 --> 00:01:09.000]  以致我們心裡面正在燃點信心和盼望
[00:01:09.000 --> 00:01:12.000]  就如在敬拜的過程中
[00:01:12.000 --> 00:01:14.000]  你們所選取的詩歌
[00:01:14.000 --> 00:01:18.000]  以致從你們的表情流露
[00:01:18.000 --> 00:01:23.000]  我都看到上帝的恩典在洪恩堂裡面
[00:01:23.000 --> 00:01:26.000]  我也為你們獻上感謝
[00:01:26.000 --> 00:01:29.000]  盼望不僅獲得鼓勵
[00:01:29.000 --> 00:01:35.000]  上帝也使用眾多弟兄姊妹在這個區份
[00:01:35.000 --> 00:01:38.000]  在上帝託付給你們這個地域裡面
[00:01:38.000 --> 00:01:41.000]  去見證、去高舉上帝
[00:01:41.000 --> 00:01:43.000]  我們一起先去祈禱
[00:01:43.000 --> 00:01:49.000]  致上帝的感謝贊美你們
[00:01:49.000 --> 00:01:52.000]  是你光照我們
[00:01:52.000 --> 00:01:57.000]  以致我們能夠從無知、哀慼、埋怨裡面
[00:01:57.000 --> 00:01:59.000]  體會你的恩情
[00:01:59.000 --> 00:02:04.000]  遠遠深厚過我們生命裡面所歷練的
[00:02:04.000 --> 00:02:07.000]  從永遠到永遠
[00:02:07.000 --> 00:02:09.000]  你是愛
[00:02:09.000 --> 00:02:13.000]  願你光照、甦醒、引導我們
[00:02:13.000 --> 00:02:16.000]  讓我們跳出自己的眼界
[00:02:16.000 --> 00:02:18.000]  我們更加認識
[00:02:18.000 --> 00:02:21.000]  神理無邊的愛
[00:02:21.000 --> 00:02:24.000]  每一天哪怕當下
[00:02:24.000 --> 00:02:26.000]  臨到我們中間
[00:02:26.000 --> 00:02:29.000]  我們恭敬將我們個人來到教堂
[00:02:29.000 --> 00:02:31.000]  唯有你認識我們裡面
[00:02:31.000 --> 00:02:36.000]  哪怕幽暗、閉塞的地方
[00:02:36.000 --> 00:02:38.000]  求你拯救我們
[00:02:38.000 --> 00:02:40.000]  成為我們的幫助
[00:02:40.000 --> 00:02:43.000]  讓我們與你來到相近
[00:02:43.000 --> 00:02:45.000]  讓我們更加體會
[00:02:45.000 --> 00:02:48.000]  主啊!天下人間
[00:02:48.000 --> 00:02:54.000]  沒有別一位能夠更貼近我們的心
[00:02:54.000 --> 00:02:57.000]  願你成為我們的幫助
[00:02:57.000 --> 00:03:00.000]  誰聽我們和心中的交託和仰望
[00:03:00.000 --> 00:03:03.000]  靠耶穌基督聖靈祈求
[00:03:03.000 --> 00:03:04.000]  阿門
[00:03:05.000 --> 00:03:08.000]  剛才大家讀了後面那一段
[00:03:08.000 --> 00:03:12.000]  這是第一章的經文
[00:03:12.000 --> 00:03:14.000]  在圖片上可以看到
