
[00:00:00.000 --> 00:00:02.000]  洪恩嘉的弟兄姊妹平安
[00:00:02.000 --> 00:00:06.000]  如果有人問你教會是一個甚麼地方
[00:00:06.000 --> 00:00:09.000]  大部份人都會這樣說
[00:00:09.000 --> 00:00:12.000]  教會是一個敬拜神的地方
[00:00:12.000 --> 00:00:14.000]  如果我們再深入一點去問
[00:00:14.000 --> 00:00:17.000]  教會存在在世界上有甚麼目的
[00:00:17.000 --> 00:00:20.000]  我想每一個人都有不同的答案
[00:00:20.000 --> 00:00:24.000]  不過最後都會指向同一個方向
[00:00:24.000 --> 00:00:29.000]  教會存在在世界的目的就是要見證神和榮耀神
[00:00:29.000 --> 00:00:32.000]  一個能夠見證神的教會
[00:00:32.000 --> 00:00:36.000]  必然是一間合神心意的教會
[00:00:36.000 --> 00:00:40.000]  今日的講題就是合神心意的教會
[00:00:40.000 --> 00:00:46.000]  我們試試從帖撒羅尼加前書一至十節
[00:00:46.000 --> 00:00:49.000]  透過保羅對帖撒羅尼加的教會
[00:00:49.000 --> 00:00:54.000]  的教導讓我們學習三個實踐信仰的關鍵
[00:00:54.000 --> 00:00:56.000]  我們一起有個祈禱
[00:00:56.000 --> 00:01:01.000]  「真是恩主,求祢臨到我們當中開我們的心
[00:01:01.000 --> 00:01:04.000]  讓我們將祢的話語栽種在心裏
[00:01:04.000 --> 00:01:07.000]  成為承托著我們信仰生命的基礎
[00:01:07.000 --> 00:01:10.000]  好叫我們信仰的根基穩妥
[00:01:10.000 --> 00:01:13.000]  不會隨風飄去、隨水飄流
[00:01:13.000 --> 00:01:16.000]  成為一個沒有根的追求者」
[00:01:16.000 --> 00:01:19.000]  我們的祈禱是奉教主耶穌基督的聖名祈求
[00:01:19.000 --> 00:01:20.000]  阿們
[00:01:20.000 --> 00:01:25.000]  開始的時候我要交代一下帖撒羅尼加前書的背景
[00:01:25.000 --> 00:01:31.000]  帖撒羅尼加教會是在保羅第二次宣教旅程的時候建立的
[00:01:31.000 --> 00:01:36.000]  當時和他一起的同工還有西拉和提摩泰
[00:01:36.000 --> 00:01:42.000]  帖撒羅尼加前書的背景是在保羅第二次宣教旅程的時候建立的
[00:01:42.000 --> 00:01:45.000]  帖撒羅尼加前書的成書日期很早
[00:01:45.000 --> 00:01:48.000]  估計在耶穌被釘十字架之後
[00:01:48.000 --> 00:01:51.000]  二十年左右就已經成書了
[00:01:51.000 --> 00:01:55.000]  根據《使徒行傳》十七章一至九節的記載
[00:01:55.000 --> 00:01:59.000]  我們知道在保羅在帖撒羅尼加城的一個信徒
[00:01:59.000 --> 00:02:01.000]  耶穌的家裏面
[00:02:01.000 --> 00:02:07.000]  最少有連續三個安息日的時間進行福音的工作
[00:02:07.000 --> 00:02:14.000]  結果有些猶太人或者是希臘人信主當中也包括了不少婦女
[00:02:14.000 --> 00:02:18.000]  但是很快就引來一些不信的猶太人迫害
[00:02:18.000 --> 00:02:21.000]  引起暴動和騷亂
[00:02:21.000 --> 00:02:25.000]  保羅和西拉差一點就被他們拘捕了
[00:02:25.000 --> 00:02:31.000]  所以當地的信徒就安排他們立刻離開帖撒羅尼加城
[00:02:31.000 --> 00:02:35.000]  但是這批不信的猶太人仍然不放過保羅
[00:02:35.000 --> 00:02:38.000]  就算保羅離開了帖撒羅尼加城
[00:02:38.000 --> 00:02:40.000]  去了比利亞
[00:02:40.000 --> 00:02:43.000]  他們仍然跟到那裏
[00:02:43.000 --> 00:02:47.000]  還聳動那些人去抓保羅
[00:02:47.000 --> 00:02:51.000]  最後保羅就只留下西拉和提摩泰
[00:02:51.000 --> 00:02:55.000]  自己一個人走到雅典避開他們
[00:02:55.000 --> 00:03:01.000]  所以帖撒羅尼加城的教會是由一班初信主的信徒所組成
[00:03:01.000 --> 00:03:05.000]  他們缺乏了目者一個靠近身的模樣
[00:03:05.000 --> 00:03:08.000]  而且面對很多的挑戰
[00:03:08.000 --> 00:03:10.000]  情況實在令人擔心
[00:03:10.000 --> 00:03:15.000]  所以保羅在雅典和西拉提摩泰會合之後
[00:03:15.000 --> 00:03:19.000]  就立刻打發了提摩泰去帖撒羅尼加
[00:03:19.000 --> 00:03:22.000]  去了解教會當時的情況
[00:03:22.000 --> 00:03:26.000]  後來提摩泰在哥倫多和保羅會合了
[00:03:26.000 --> 00:03:30.000]  並且帶來帖撒羅尼加城的一些消息
[00:03:30.000 --> 00:03:35.000]  保羅是在這樣的處境下去寫帖撒羅尼加前書
[00:03:35.000 --> 00:03:39.000]  保羅寫教會的書信裏面
[00:03:39.000 --> 00:03:44.000]  一般開始的時候都有一段感恩或者祝福的圖文
[00:03:44.000 --> 00:03:49.000]  而帖撒羅尼加前書裏面就有三段這一類的感恩祈禱
[00:03:49.000 --> 00:03:53.000]  今天講到的經文就是保羅第一段的感恩圖文
[00:03:53.000 --> 00:03:55.000]  我們開始進入經文
[00:03:55.000 --> 00:03:59.000]  一間合神心的教會
[00:03:59.000 --> 00:04:03.000]  應該可以見到信望愛的生命見證
[00:04:03.000 --> 00:04:06.000]  在一章二節裏面保羅透露
[00:04:06.000 --> 00:04:12.000]  他時時為帖撒羅尼加城的信徒去感謝神
[00:04:12.000 --> 00:04:14.000]  保羅感謝甚麼呢?
[00:04:14.000 --> 00:04:16.000]  在第三節就詳細講明
[00:04:16.000 --> 00:04:21.000]  在第三節裏面有一個動詞叫做紀念
[00:04:21.000 --> 00:04:25.000]  在保羅未收到提摩泰向他回報的時候
[00:04:25.000 --> 00:04:29.000]  他心裏時時想念這批信徒
[00:04:29.000 --> 00:04:32.000]  他們究竟有沒有跌倒呢?
[00:04:32.000 --> 00:04:34.000]  他們究竟有沒有軟弱呢?
[00:04:34.000 --> 00:04:38.000]  因此當保羅聽到帖撒羅尼加城的信徒
[00:04:38.000 --> 00:04:41.000]  展現到一種信望愛的見證的時候
[00:04:41.000 --> 00:04:46.000]  就為他們屬靈生命的成長去感謝神
[00:04:46.000 --> 00:04:49.000]  其實在保羅所寫的經卷裏面
[00:04:49.000 --> 00:04:53.000]  有很多地方都在講信望愛
[00:04:53.000 --> 00:04:55.000]  我舉個例子
[00:04:55.000 --> 00:04:58.000]  在哥倫多前書十三章我們很熟悉的
[00:04:58.000 --> 00:05:00.000]  講到信望愛裏面
[00:05:00.000 --> 00:05:03.000]  最大的就是愛
[00:05:03.000 --> 00:05:06.000]  在羅馬書保羅所講的盼望
[00:05:06.000 --> 00:05:09.000]  應該要歡歡喜喜
[00:05:09.000 --> 00:05:12.000]  在哥羅西書他講到信心的對象
[00:05:12.000 --> 00:05:15.000]  是主耶穌基督
[00:05:15.000 --> 00:05:18.000]  在迦拉太書他講到信心
[00:05:18.000 --> 00:05:21.000]  是要連著人愛才有果效
[00:05:21.000 --> 00:05:25.000]  雖然不同經卷都有講到信望愛這個主題
[00:05:25.000 --> 00:05:28.000]  但每一次的重點都不同
[00:05:28.000 --> 00:05:32.000]  而保羅對帖城的信徒所講的信望愛
[00:05:32.000 --> 00:05:34.000]  有他獨特之處
[00:05:34.000 --> 00:05:36.000]  就是這種信望愛
[00:05:36.000 --> 00:05:40.000]  是有對應的實際行為
[00:05:40.000 --> 00:05:42.000]  我們在第三節看到
[00:05:42.000 --> 00:05:45.000]  他說因信心所做的工作
[00:05:45.000 --> 00:05:48.000]  這裡講的信心是和工作有關的
[00:05:48.000 --> 00:05:50.000]  是什麼工作呢?
[00:05:50.000 --> 00:05:52.000]  我們看看第九節
[00:05:52.000 --> 00:05:55.000]  他說你們是怎樣離棄偶像歸向神
[00:05:55.000 --> 00:05:58.000]  來服侍那又真又活的神
[00:05:58.000 --> 00:06:00.000]  你們是指什麼人呢?
[00:06:00.000 --> 00:06:02.000]  估計是希臘人
[00:06:02.000 --> 00:06:06.000]  而不是在猶太會堂信主的猶太人
[00:06:06.000 --> 00:06:08.000]  這群外邦信徒信了主之後
[00:06:08.000 --> 00:06:10.000]  就離開了原先的信仰
[00:06:10.000 --> 00:06:12.000]  願意毀身去服侍神
[00:06:12.000 --> 00:06:15.000]  保羅為了一群初信主的信徒感恩
[00:06:15.000 --> 00:06:18.000]  因為他們接受了主耶穌基督之後
[00:06:18.000 --> 00:06:21.000]  以信心去毀身服侍
