
[00:00:00.000 --> 00:00:02.540]  大英姐妹 主女們平安
[00:00:02.540 --> 00:00:06.100]  在今早能夠和大家一起去敬拜神
[00:00:06.100 --> 00:00:08.900]  相信現在大家在家中
[00:00:08.900 --> 00:00:12.100]  因為颱風的緣故不能回教會
[00:00:12.100 --> 00:00:15.700]  但是無阻我們對這位造物的主
[00:00:15.700 --> 00:00:18.200]  這位真神的敬拜
[00:00:18.200 --> 00:00:20.900]  剛才大家都看了這段經文
[00:00:20.900 --> 00:00:21.900]  很短的
[00:00:21.900 --> 00:00:23.900]  十字的聖經
[00:00:23.900 --> 00:00:25.700]  頭一到四節
[00:00:25.700 --> 00:00:29.900]  好像是一個剛剛一對的比喻
[00:00:29.900 --> 00:00:31.900]  耶穌的教導
[00:00:31.900 --> 00:00:35.600]  半島人和無盡的寬恕
[00:00:35.600 --> 00:00:37.600]  這是一對
[00:00:37.600 --> 00:00:41.600]  接著第六節到第十節
[00:00:41.600 --> 00:00:45.600]  就是門徒求主耶穌
[00:00:45.600 --> 00:00:47.600]  加增他們的信心
[00:00:47.600 --> 00:00:50.600]  耶穌就跟他們說
[00:00:50.600 --> 00:00:53.600]  你們的信心只需要好像
[00:00:53.600 --> 00:00:56.600]  一粒的芥菜種這麼小
[00:00:56.600 --> 00:00:59.600]  就可以成就大事
[00:00:59.600 --> 00:01:01.600]  甚至大到一個地步
[00:01:01.600 --> 00:01:03.600]  叫一棵桑樹
[00:01:03.600 --> 00:01:05.600]  可以連根拔起
[00:01:05.600 --> 00:01:09.600]  投到海上都可以
[00:01:09.600 --> 00:01:11.600]  相當於門徒來說
[00:01:11.600 --> 00:01:13.600]  如果真的能夠做到
[00:01:13.600 --> 00:01:15.600]  是非常大的一個神蹟
[00:01:15.600 --> 00:01:17.600]  那門徒是不是真的可以
[00:01:17.600 --> 00:01:19.600]  這樣來沾沾自喜呢
[00:01:19.600 --> 00:01:21.600]  我們只是想求這件事
[00:01:21.600 --> 00:01:22.600]  耶穌你給我們吧
[00:01:22.600 --> 00:01:24.600]  加增我們的信心吧
[00:01:24.600 --> 00:01:25.600]  耶穌說不是
[00:01:25.600 --> 00:01:27.600]  少少一粒芥菜種的信心
[00:01:27.600 --> 00:01:29.600]  就已經夠了
[00:01:29.600 --> 00:01:31.600]  接著就是剛才再說的
[00:01:31.600 --> 00:01:33.600]  第八節打後
[00:01:33.600 --> 00:01:36.600]  就是說耶穌又用了一個比喻
[00:01:36.600 --> 00:01:37.600]  一個奴隸
[00:01:37.600 --> 00:01:42.600]  在一個家主的家裡的一個僕人
[00:01:42.600 --> 00:01:44.600]  當時是一個奴隸
[00:01:44.600 --> 00:01:46.600]  奴隸的身份
[00:01:46.600 --> 00:01:49.600]  對自己的認知會怎樣呢
[00:01:49.600 --> 00:01:51.600]  應該就沒有一個奴隸
[00:01:51.600 --> 00:01:53.600]  是不會不認知自己
[00:01:53.600 --> 00:01:55.600]  是一個這樣的卑微身份
[00:01:55.600 --> 00:01:57.600]  所以做的事
[00:01:57.600 --> 00:02:01.600]  全部都是要根據主人的吩咐去做的
[00:02:01.600 --> 00:02:04.600]  這樣與大相關的信心大小
[00:02:04.600 --> 00:02:08.600]  和那個僕人的身份的認知
[00:02:08.600 --> 00:02:11.600]  又是一個這樣的比喻
[00:02:11.600 --> 00:02:14.600]  所以這裡很平衡地
[00:02:14.600 --> 00:02:16.600]  有四樣東西
[00:02:16.600 --> 00:02:19.600]  是耶穌來向門徒說的
[00:02:19.600 --> 00:02:22.600]  如果我們能夠很平衡地
[00:02:22.600 --> 00:02:24.600]  對這四樣東西都能夠掌握
[00:02:24.600 --> 00:02:26.600]  在我們的信仰生活
[00:02:26.600 --> 00:02:29.600]  相信這樣的弟兄姊妹
[00:02:29.600 --> 00:02:33.600]  必定會得到意想不到的那份恩典
[00:02:33.600 --> 00:02:35.600]  那份能力
[00:02:35.600 --> 00:02:38.600]  和那份待人接物的那份愛
[00:02:38.600 --> 00:02:41.600]  所以我們今天就透過這十節聖經
[00:02:41.600 --> 00:02:44.600]  和各位來到彼此的一個勉勵
[00:02:44.600 --> 00:02:47.600]  我們來到思想
[00:02:47.600 --> 00:02:49.600]  剛才已經讀了
[00:02:49.600 --> 00:02:51.600]  耶穌又對門徒說
[00:02:51.600 --> 00:02:54.600]  就是說原來第十六章
[00:02:54.600 --> 00:02:57.600]  是有兩個的比喻
[00:02:57.600 --> 00:02:59.600]  路加福音第十六章
[00:02:59.600 --> 00:03:01.600]  有兩個比喻
[00:03:01.600 --> 00:03:04.600]  第一個就是一個不義的管家
[00:03:04.600 --> 00:03:07.600]  因為很快他知道主人
[00:03:07.600 --> 00:03:10.600]  要收回他的權
[00:03:10.600 --> 00:03:13.600]  所以他就用他的那個
[00:03:13.600 --> 00:03:16.600]  還是有一點點的影響力
[00:03:16.600 --> 00:03:19.600]  似乎耶穌不是說要讚揚
[00:03:19.600 --> 00:03:22.600]  我們要做一些欺瞞的事情
[00:03:22.600 --> 00:03:25.600]  這樣去弄詭詐
[00:03:25.600 --> 00:03:28.600]  而是說我們等一下就知道
[00:03:28.600 --> 00:03:30.600]  這一段經文
[00:03:30.600 --> 00:03:33.600]  第三節就說你們要謹慎
[00:03:33.600 --> 00:03:35.600]  如果你的弟兄犯罪
[00:03:35.600 --> 00:03:38.600]  那你就勸誡他改變了
[00:03:38.600 --> 00:03:39.600]  他懊悔了
