
[00:00:00.000 --> 00:00:04.000]  (手挽手當炒)
[00:00:04.000 --> 00:00:10.000]  因為今天穿了太裝不講泰文好像有點差
[00:00:10.000 --> 00:00:14.000]  今天的主題是「謝主雄恩」
[00:00:14.000 --> 00:00:19.000]  其實當我接收到雄恩堂邀請我今天去講的時候
[00:00:19.000 --> 00:00:22.000]  我已經覺得真的要謝主隆恩
[00:00:22.000 --> 00:00:29.000]  為什麼呢?還記不記得萬事勝義?
[00:00:29.000 --> 00:00:37.000]  我在穆會七年,宣教二十年裡
[00:00:37.000 --> 00:00:41.000]  從來沒有試過在一個年度裡
[00:00:41.000 --> 00:00:44.000]  從頭可以講到尾
[00:00:44.000 --> 00:00:49.000]  這個在侍奉裡我覺得是一個很榮幸
[00:00:49.000 --> 00:00:55.000]  很慎很恩代的感覺
[00:00:55.000 --> 00:01:04.000]  但是在這段時間教會發生的事情都不是很難過
[00:01:04.000 --> 00:01:07.000]  我自己家裡也發生了一些事情
[00:01:07.000 --> 00:01:12.000]  我就在想,上帝我還是不要講這個題目了
[00:01:12.000 --> 00:01:16.000]  我轉大,但是還是來不及
[00:01:16.000 --> 00:01:25.000]  到了星期四,問我講題是什麼?信息在哪裡?
[00:01:25.000 --> 00:01:31.000]  我再問神,我能不能講出我能不能做到?
[00:01:31.000 --> 00:01:34.000]  我不是只能講出我能不能做到
[00:01:34.000 --> 00:01:39.000]  其實一直想著轉大
[00:01:39.000 --> 00:01:43.000]  想著轉大,轉到
[00:01:43.000 --> 00:01:49.000]  如果這段時間講一些憂傷的題目可能會比較容易
[00:01:49.000 --> 00:01:54.000]  但是上帝讓我定經
[00:01:54.000 --> 00:01:59.000]  我喜歡自己說,定了經文就不能走
[00:01:59.000 --> 00:02:07.000]  告訴Joann,就是這個經文題目的時候
[00:02:07.000 --> 00:02:15.000]  我求神給我力量,繼續講好這件事
[00:02:15.000 --> 00:02:17.000]  並且做得好
[00:02:17.000 --> 00:02:23.000]  今天領唱的大英姐妹選的歌曲
[00:02:23.000 --> 00:02:25.000]  真的很應景
[00:02:25.000 --> 00:02:28.000]  我們值得拿著程序和歌詞
[00:02:28.000 --> 00:02:33.000]  在今天最後的晚上
[00:02:33.000 --> 00:02:41.000]  我們可以好好思想到上帝在我們人生裡有很多很多的恩典
[00:02:41.000 --> 00:02:43.000]  不單是2023年
[00:02:43.000 --> 00:02:47.000]  是多到數不盡的恩典
[00:02:47.000 --> 00:02:53.000]  我一直凝注紅水反藍
[00:02:53.000 --> 00:02:57.000]  紅字不是這樣寫的
[00:02:57.000 --> 00:02:59.000]  是另外一個字
[00:02:59.000 --> 00:03:05.000]  但是我查字典,借助紅因,真的用了紅字
[00:03:05.000 --> 00:03:10.000]  不知道福曲部是否對中文字有更多的了解
[00:03:10.000 --> 00:03:15.000]  我又感受到上帝很恩代我們紅因堂
[00:03:15.000 --> 00:03:17.000]  我們正正是紅因
[00:03:17.000 --> 00:03:22.000]  紅的意思是大過大,乖乖的
[00:03:22.000 --> 00:03:28.000]  是非常大的恩典
[00:03:28.000 --> 00:03:32.000]  我們今天坐在紅因堂裡敬拜神
[00:03:32.000 --> 00:03:38.000]  這是非常感恩的事情
[00:03:38.000 --> 00:03:42.000]  今天我講的這一篇100篇
[00:03:42.000 --> 00:03:46.000]  其實由第93篇到100篇
[00:03:46.000 --> 00:03:50.000]  是一個群組的詩篇
[00:03:50.000 --> 00:03:52.000]  今天我們很喜歡有什麼群組
[00:03:52.000 --> 00:03:54.000]  這是一個群組
[00:03:54.000 --> 00:03:57.000]  總共有8篇詩篇
[00:03:57.000 --> 00:04:02.000]  前面的7篇是講
[00:04:02.000 --> 00:04:08.000]  這位耶和華的意思是什麼
[00:04:08.000 --> 00:04:10.000]  他願意跟我們納約的神
[00:04:10.000 --> 00:04:13.000]  他願意跟我們做朋友
[00:04:13.000 --> 00:04:16.000]  願意,其實上帝是高高在上
[00:04:16.000 --> 00:04:18.000]  但是耶和華的意思是
[00:04:18.000 --> 00:04:22.000]  他願意跟我們好像平等一樣
