
[00:00:00.000 --> 00:00:02.240]  今早有無講過呢啲說話
[00:00:02.240 --> 00:00:04.240]  喂 唔該
[00:00:04.240 --> 00:00:06.240]  麻煩曬
[00:00:06.240 --> 00:00:08.240]  有勞
[00:00:08.240 --> 00:00:10.240]  Thank you
[00:00:10.240 --> 00:00:15.440]  今早我由牛頭角嘅九龍灣站遠征入嚟
[00:00:15.440 --> 00:00:21.440]  受惠於香港嘅鐵路網嘅完善
[00:00:21.440 --> 00:00:27.040]  其實所謂好遠嘅地方都係50分鐘嘅交通車程
[00:00:27.040 --> 00:00:32.040]  跟住我非常感謝曾牧師安排咗劉弟兄
[00:00:32.040 --> 00:00:35.800]  就喺天水圍站嗰度專車接送
[00:00:35.800 --> 00:00:38.280]  我過嚟洪水橋呢個地方
[00:00:38.280 --> 00:00:40.280]  如果唔係我入咗呢個迷陣裏面
[00:00:40.280 --> 00:00:42.280]  我唔知點樣搵嚟㗎啦
[00:00:42.280 --> 00:00:45.280]  所以我好多謝曾牧師嘅安排
[00:00:45.280 --> 00:00:48.040]  好多謝劉弟兄嘅接送
[00:00:48.040 --> 00:00:51.040]  一嚟到嘅時候就撞到展秋弟兄
[00:00:51.040 --> 00:00:54.040]  牧師喝杯奶茶先
[00:00:54.040 --> 00:00:57.040]  我又好感謝沖奶茶嘅弟兄姊妹
[00:00:57.040 --> 00:00:59.040]  弟兄姊妹
[00:00:59.040 --> 00:01:03.040]  當別人喺你身上做咗一啲恩惠
[00:01:03.040 --> 00:01:05.040]  幫咗你
[00:01:05.040 --> 00:01:07.040]  我哋通常都會講
[00:01:07.040 --> 00:01:11.040]  唔該 麻煩曬 有勞 Thank you
[00:01:11.040 --> 00:01:16.040]  我嘅大孫女就嚟五歲啦
[00:01:16.040 --> 00:01:19.040]  屋企係有工人姐姐嘅
[00:01:19.040 --> 00:01:22.040]  啲細蚊仔都好叻嘅
[00:01:22.040 --> 00:01:25.040]  好識洗工人姐姐做嘢
[00:01:25.040 --> 00:01:31.040]  但係我見到我嘅女同女婿都識教佢
[00:01:31.040 --> 00:01:33.040]  我去食飯嘅時候
[00:01:33.040 --> 00:01:36.040]  我見到我大孫女又去洗工人姐姐
[00:01:36.040 --> 00:01:38.040]  攞嘢 唔知攞奶定攞乜嘢
[00:01:38.040 --> 00:01:42.040]  呢對我嘅女同女婿就一定stop佢
[00:01:42.040 --> 00:01:43.040]  停佢
[00:01:43.040 --> 00:01:45.040]  你漏咗講乜嘢呀
[00:01:45.040 --> 00:01:47.040]  漏咗講乜嘢呀
[00:01:47.040 --> 00:01:49.040]  英文吖嘛要
[00:01:49.040 --> 00:01:52.040]  Please 咁啦
[00:01:52.040 --> 00:01:55.040]  跟住我大孫女就好勉強咁
[00:01:55.040 --> 00:01:57.040]  Please 咁啦
[00:01:57.040 --> 00:02:01.040]  我哋會教我哋嘅孩子
[00:02:01.040 --> 00:02:03.040]  對嗰啲對我哋有幫助嘅人
[00:02:03.040 --> 00:02:06.040]  講唔該 講多謝
[00:02:06.040 --> 00:02:09.040]  有禮貌 哪怕嗰個係
[00:02:09.040 --> 00:02:13.040]  嚟聘請嘅家庭傭工
[00:02:13.040 --> 00:02:15.040]  我哋都要對佢十分嘅尊重
[00:02:15.040 --> 00:02:17.040]  同埋表示多謝
[00:02:17.040 --> 00:02:20.040]  今天下晝貴教會有感恩會
[00:02:20.040 --> 00:02:23.040]  你有冇諗住嚟同上帝講多謝
[00:02:23.040 --> 00:02:26.040]  如果你話我想返去瞓眼覺
[00:02:26.040 --> 00:02:28.040]  咁你就晏啲先瞓
[00:02:28.040 --> 00:02:31.040]  應該嚟到頂姐妹嘅群體裏面
[00:02:31.040 --> 00:02:34.040]  數算主因
[00:02:34.040 --> 00:02:36.040]  羅馬書第十二章第一節
[00:02:36.040 --> 00:02:38.040]  可能大家都好熟悉
[00:02:38.040 --> 00:02:39.040]  亦都可能識背
[00:02:39.040 --> 00:02:41.040]  你識背嘅就背
[00:02:41.040 --> 00:02:43.040]  你唔識背就一齊讀 開始
[00:02:43.040 --> 00:02:45.040]  所以弟兄們
[00:02:45.040 --> 00:02:48.040]  我以神的慈悲勸你們
[00:02:48.040 --> 00:02:52.040]  將身體獻上當作活祭
[00:02:52.040 --> 00:02:55.040]  是聖潔的 是神所喜悅的
[00:02:55.040 --> 00:03:00.040]  你們如此侍奉乃是理所當然的
[00:03:00.040 --> 00:03:03.040]  史陶寶羅去寫羅馬書
[00:03:03.040 --> 00:03:07.040]  係一卷非常之有邏輯性
[00:03:07.040 --> 00:03:10.040]  嚴謹嘅神學嘅論文
[00:03:10.040 --> 00:03:15.040]  佢去要討論一個好重要嘅信仰教義
[00:03:15.040 --> 00:03:18.040]  就係恩順 清義
[00:03:18.040 --> 00:03:21.040]  而先要指出世人都犯咗罪
[00:03:21.040 --> 00:03:23.040]  規決咗上帝嘅榮耀
[00:03:23.040 --> 00:03:24.040]  咁點算呀
[00:03:24.040 --> 00:03:25.040]  唔使驚
[00:03:25.040 --> 00:03:27.040]  當我哋還作罪人嘅時候
[00:03:27.040 --> 00:03:29.040]  耶穌基督就為我哋死
[00:03:29.040 --> 00:03:30.040]  係咪啲經文好熟呀
[00:03:30.040 --> 00:03:32.040]  係羅馬書嚟㗎喎
[00:03:32.040 --> 00:03:36.040]  跟住講完整個救贖嘅大恩
[00:03:36.040 --> 00:03:38.040]  咁偉大 咁寶貴
[00:03:38.040 --> 00:03:40.040]  去到第十二章
[00:03:40.040 --> 00:03:43.040]  佢不足一轉就進入去
[00:03:43.040 --> 00:03:45.040]  弟兄姊妹呀
[00:03:45.040 --> 00:03:49.040]  既然上帝咁有恩典
[00:03:49.040 --> 00:03:53.040]  係讓我哋白白清義
[00:03:53.040 --> 00:03:55.040]  咁我哋應該點呀
[00:03:55.040 --> 00:03:59.040]  保羅就教導修信嘅教會
[00:03:59.040 --> 00:04:04.040]  要將每一個弟兄姊妹都要將自己
[00:04:04.040 --> 00:04:05.040]  嚟到獻祭
[00:04:05.040 --> 00:04:07.040]  唔再好似舊約咁
[00:04:07.040 --> 00:04:09.040]  同洋生畜嚟代替
[00:04:09.040 --> 00:04:11.040]  係自己嚟到獻上
[00:04:11.040 --> 00:04:15.040]  而且係唔需要討論㗎啦
[00:04:15.040 --> 00:04:19.040]  咩叫理所當然呀
[00:04:19.040 --> 00:04:21.040]  劉弟兄嚟接我係咪理所當然
[00:04:21.040 --> 00:04:23.040]  我應該㗎
[00:04:23.040 --> 00:04:24.040]  唔係㗎喎
[00:04:24.040 --> 00:04:25.040]  佢可以唔嚟接我
[00:04:25.040 --> 00:04:26.040]  佢話畀我聽穆斯林
[00:04:26.040 --> 00:04:28.040]  我搭咩車咩車咩車咪嚟到囉
[00:04:28.040 --> 00:04:30.040]  所以當佢嚟接我嘅時候
[00:04:30.040 --> 00:04:31.040]  我真係好多謝佢
[00:04:31.040 --> 00:04:33.040]  因為唔係奉旨㗎嘛
[00:04:33.040 --> 00:04:35.040]  有乜嘢理所當然㗎
[00:04:35.040 --> 00:04:37.040]  我1984年畢業
[00:04:37.040 --> 00:04:39.040]  收第一份人工即係教書
[00:04:39.040 --> 00:04:41.040]  我就畀啲家用我阿媽
[00:04:41.040 --> 00:04:43.040]  使咩討論㗎呢件事
[00:04:43.040 --> 00:04:45.040]  大家認為呢
[00:04:45.040 --> 00:04:46.040]  仲使討論
[00:04:46.040 --> 00:04:48.040]  梗係要畀家用啦係咪呀
[00:04:48.040 --> 00:04:49.040]  咩叫理所當然
[00:04:49.040 --> 00:04:50.040]  理所當然就係
[00:04:50.040 --> 00:04:52.040]  自然係咁樣做
[00:04:52.040 --> 00:04:55.040]  寶郎喺度講緊我哋弟兄姊妹
[00:04:55.040 --> 00:04:58.040]  點解我哋會將身體獻上當做活祭呀
[00:04:58.040 --> 00:05:00.040]  係同上帝嘅慈悲
[00:05:00.040 --> 00:05:03.040]  呢個慈悲意思就係講到上帝
[00:05:03.040 --> 00:05:05.040]  將我哋挽回
[00:05:05.040 --> 00:05:08.040]  福音本係神嘅大能要救
[00:05:08.040 --> 00:05:11.040]  一切相信嘅包括你同埋我
[00:05:11.040 --> 00:05:13.040]  我哋都已經得到啦
[00:05:13.040 --> 00:05:15.040]  以至我哋今日一齊喺度聚集
[00:05:15.040 --> 00:05:16.040]  嚟到去敬拜主
[00:05:16.040 --> 00:05:18.040]  咁我就想問大家嘅問題
[00:05:18.040 --> 00:05:21.040]  將身體獻上當做活祭
[00:05:21.040 --> 00:05:23.040]  包唔包金錢奉獻㗎
[00:05:23.040 --> 00:05:25.040]  講多一次包唔包先
[00:05:25.040 --> 00:05:27.040]  講得咁爽
[00:05:27.040 --> 00:05:29.040]  諗清楚先
[00:05:29.040 --> 00:05:31.040]  頂轉回
[00:05:31.040 --> 00:05:33.040]  金錢奉獻
