
[00:00:00.000 --> 00:00:02.820]  Thank you 早晨
[00:00:02.820 --> 00:00:13.240]  多謝教會邀請我再一次來到洪水橋跟大家分享上帝的話語
[00:00:13.240 --> 00:00:17.840]  我們都已經進入主誕在十二月過後
[00:00:17.840 --> 00:00:21.560]  其實很快就進入所謂的御苦期
[00:00:21.560 --> 00:00:25.720]  如果我們看一年主耶穌基督
[00:00:25.720 --> 00:00:34.000]  他在福音書裡面記載他所做的所經歷的一些重要的事件
[00:00:34.000 --> 00:00:36.800]  一路排列我們的教會的年齡
[00:00:36.800 --> 00:00:39.720]  再過幾多個星期就是復活節
[00:00:39.720 --> 00:00:42.640]  壽難復活的主日
[00:00:42.640 --> 00:00:45.640]  再過幾多個星期知道嗎?
[00:00:45.640 --> 00:00:47.200]  三個星期
[00:00:47.200 --> 00:00:51.240]  所以兩個星期之後就是中樹節
[00:00:51.240 --> 00:00:54.120]  就是主騎驢入耶路撒冷
[00:00:54.120 --> 00:00:57.720]  那一個星期就是主最後一個星期
[00:00:57.720 --> 00:01:02.200]  在耶路撒冷最終在星期五被出賣
[00:01:02.200 --> 00:01:05.000]  被審訊被敲打
[00:01:05.000 --> 00:01:07.280]  被釘十字架
[00:01:07.280 --> 00:01:12.160]  所有的事情都會在兩個星期之後
[00:01:12.160 --> 00:01:18.160]  在兩個星期之後到三個星期之間發生
[00:01:18.160 --> 00:01:22.240]  今天跟大家所分享的主席讀的經文
[00:01:22.240 --> 00:01:24.680]  就是在最後一個星期發生的
[00:01:24.680 --> 00:01:26.920]  按道理應該說在前面的事情
[00:01:26.920 --> 00:01:30.200]  因為畢竟現在還是三個星期之前
[00:01:30.200 --> 00:01:34.720]  應該說可能是在蓋薩利亞、菲勒比
[00:01:34.720 --> 00:01:39.440]  在北面向南走的時候主問門徒
[00:01:39.440 --> 00:01:40.800]  你們說我是誰?
[00:01:40.800 --> 00:01:41.800]  別人說我是誰?
[00:01:41.800 --> 00:01:42.920]  你們又說我是誰?
[00:01:42.920 --> 00:01:43.520]  那段經文
[00:01:43.520 --> 00:01:48.840]  不過我還是選擇這段在最後一個星期
[00:01:48.840 --> 00:01:51.680]  主跟門徒吃御節晚餐
[00:01:51.680 --> 00:01:58.360]  事實上就是星期五晚上的時候了
[00:01:58.360 --> 00:02:07.360]  但是有幾件事情我們要先講清楚的
[00:02:07.360 --> 00:02:09.880]  如果我們看
[00:02:09.880 --> 00:02:14.200]  我們可能都需要PowerPoint的弟兄姊妹
[00:02:14.200 --> 00:02:16.480]  跟我們打回經文出來
[00:02:16.480 --> 00:02:20.560]  如果我們看第十五、第十六節
[00:02:20.560 --> 00:02:23.600]  第十五、第十六節我用舊和學本讀的
[00:02:23.600 --> 00:02:25.200]  剛才大家讀的是和修版
[00:02:25.200 --> 00:02:25.840]  新一點的
[00:02:25.840 --> 00:02:29.800]  我還是老一代的舊和學本
[00:02:29.800 --> 00:02:32.040]  但是意思都是一樣的
[00:02:32.040 --> 00:02:34.960]  第十五節他說我給你們做了榜樣
[00:02:34.960 --> 00:02:38.840]  是叫你們照著我向你們所做的去做
[00:02:38.840 --> 00:02:40.400]  耶穌多沉悶
[00:02:40.400 --> 00:02:44.080]  叫你們照著我所做的去做
[00:02:44.080 --> 00:02:47.880]  意思就是說主耶穌在這段故事
[00:02:47.880 --> 00:02:53.440]  這段記載裡面向門徒做了些什麼?
[00:02:53.440 --> 00:02:55.120]  洗腳
[00:02:55.120 --> 00:02:58.320]  如果主說我給你們做了榜樣
[00:02:58.320 --> 00:03:01.160]  叫你們照著我向你們所做的去做
[00:03:01.160 --> 00:03:04.240]  就是他在吩咐門徒做什麼?
[00:03:04.240 --> 00:03:06.600]  彼此洗腳
[00:03:06.600 --> 00:03:09.840]  第十六節我實實在在的告訴你們
[00:03:09.840 --> 00:03:11.560]  僕人不能夠大於主人
[00:03:11.560 --> 00:03:16.160]  差人的也不能夠大於差他的人
[00:03:16.160 --> 00:03:18.240]  你們既然知道這件事
[00:03:18.240 --> 00:03:21.280]  如果去做就有福了
[00:03:21.280 --> 00:03:23.160]  但是第十六節很奇怪的
[00:03:23.160 --> 00:03:28.520]  第十六節又說僕人不能夠高於主人
[00:03:28.520 --> 00:03:33.200]  所謂差人就是被差的人
[00:03:33.200 --> 00:03:38.440]  不能夠大於差他出去做事的那個人
[00:03:38.440 --> 00:03:42.400]  一方面主耶穌就說我洗你們的腳
[00:03:42.400 --> 00:03:46.840]  是一個服侍人的舉動
[00:03:46.840 --> 00:03:51.160]  另一個就是說我其實比你們大
[00:03:51.160 --> 00:03:53.240]  因為他吩咐門徒
[00:03:53.240 --> 00:03:57.760]  你要照著我向你們所做的去做
[00:03:57.760 --> 00:04:01.120]  所以到底耶穌是比門徒大
[00:04:01.120 --> 00:04:04.400]  還是比門徒卑微?
[00:04:04.400 --> 00:04:06.360]  很難說
