
[00:00:00.000 --> 00:00:05.000]  吾皇萬歲萬歲萬萬歲
[00:00:05.000 --> 00:00:34.000]  主席
[00:00:34.000 --> 00:00:37.000]  信耶穌
[00:00:37.000 --> 00:00:40.000]  我相信這三個字
[00:00:40.000 --> 00:00:44.000]  全世界人都應該在做的
[00:00:44.000 --> 00:00:46.000]  又不是,很多人還沒信
[00:00:46.000 --> 00:00:53.000]  沒信他就不會放聖誕假了,是嗎?
[00:00:53.000 --> 00:00:56.000]  給神的愛激勵感動
[00:00:56.000 --> 00:00:58.000]  讓我們每次在聖餐的時候
[00:00:58.000 --> 00:01:01.000]  有反省的機會
[00:01:01.000 --> 00:01:05.000]  神的愛能讓我們感受到
[00:01:05.000 --> 00:01:12.000]  神愛世人
[00:01:12.000 --> 00:01:19.000]  但是我們到底知道有耶穌的降生
[00:01:19.000 --> 00:01:24.000]  我們可以說有些經歷,他愛我們
[00:01:24.000 --> 00:01:29.000]  但是我們有多少人相信耶穌已經復活
[00:01:29.000 --> 00:01:32.000]  留心,《仕途信經》最後一句是
[00:01:32.000 --> 00:01:36.000]  我信身體復活
[00:01:36.000 --> 00:01:40.000]  誰的身體?不是耶穌的身體,是誰的身體?
[00:01:40.000 --> 00:01:44.000]  是你的身體
[00:01:44.000 --> 00:01:49.000]  這點我相信很多弟兄姊妹沒想過
[00:01:49.000 --> 00:01:51.000]  我怎麼知道我身體會復活?
[00:01:51.000 --> 00:01:54.000]  很簡單,如果耶穌沒復活
[00:01:54.000 --> 00:01:57.000]  你和我都不用知道會復活
[00:01:57.000 --> 00:02:00.000]  耶穌在歷史上已經復活了
[00:02:00.000 --> 00:02:02.000]  那你復活了會看到他身體嗎?
[00:02:02.000 --> 00:02:08.000]  他在哪裡?在太空?不用穿太空衣嗎?
[00:02:08.000 --> 00:02:13.000]  他的身體已經是超自然、超時空
[00:02:13.000 --> 00:02:16.000]  但又實體真正的存在
[00:02:16.000 --> 00:02:18.000]  這顯然不僅僅是他復活之後
[00:02:18.000 --> 00:02:22.000]  當他登山變貿的時候,變象的時候
[00:02:22.000 --> 00:02:25.000]  已經展示了一次給誰看?
[00:02:25.000 --> 00:02:27.000]  給德約翰雅圖看
[00:02:27.000 --> 00:02:30.000]  當時和他一同出現的還有誰?
[00:02:30.000 --> 00:02:33.000]  還有摩西、爾利亞
[00:02:33.000 --> 00:02:35.000]  問題是很多人不信耶穌復活
[00:02:35.000 --> 00:02:38.000]  所以你和我都會怕死
[00:02:38.000 --> 00:02:43.000]  但記住一個怕死的人,一定會死
[00:02:43.000 --> 00:02:46.000]  不怕死的人都會死
[00:02:46.000 --> 00:02:48.000]  不過死了之後會不會復活?
