
[00:00:00.000 --> 00:00:02.000]  洪影家,弟兄姊妹平安
[00:00:02.000 --> 00:00:05.000]  有很多人都說過
[00:00:05.000 --> 00:00:07.000]  如果要評價一個人的勇氣
[00:00:07.000 --> 00:00:10.000]  是需要參照他在面對困難的時候
[00:00:10.000 --> 00:00:13.000]  他所作出的決定和行為
[00:00:13.000 --> 00:00:18.000]  然後才能夠準確地作出一個正確的評價
[00:00:18.000 --> 00:00:23.000]  因為一般人在遇到困難和危險的時候
[00:00:23.000 --> 00:00:26.000]  他們都會有一個很好的思考
[00:00:27.000 --> 00:00:30.000]  大多數人都會選擇逃避
[00:00:30.000 --> 00:00:33.000]  不太想去面對
[00:00:33.000 --> 00:00:36.000]  唯有真正有勇氣的人
[00:00:36.000 --> 00:00:39.000]  才會選擇迎難而上
[00:00:39.000 --> 00:00:42.000]  並且作出解決困難的部署和計劃
[00:00:42.000 --> 00:00:44.000]  有人問
[00:00:44.000 --> 00:00:47.000]  這種勇氣是否與生俱來
[00:00:47.000 --> 00:00:50.000]  如果不是與生俱來的話
[00:00:50.000 --> 00:00:53.000]  有沒有方法可以培養呢
[00:00:54.000 --> 00:00:57.000]  或許坊間有很多不同的方法可以提供
[00:00:57.000 --> 00:01:00.000]  但作為信徒的我們
[00:01:00.000 --> 00:01:05.000]  最佳的方法就是從信仰裏提升我們勇氣的能力
[00:01:05.000 --> 00:01:08.000]  今天我很想透過《攝施記錄》
[00:01:08.000 --> 00:01:10.000]  將十一至十八節
[00:01:10.000 --> 00:01:13.000]  機電的一段生命故事
[00:01:13.000 --> 00:01:15.000]  和大家一起反思
[00:01:15.000 --> 00:01:18.000]  一個從軟弱到剛強的秘訣
[00:01:18.000 --> 00:01:20.000]  我們一起去祈禱吧
[00:01:20.000 --> 00:01:23.000]  親主我們要感謝你
[00:01:23.000 --> 00:01:26.000]  因為無論我們的能力是多麼軟弱
[00:01:26.000 --> 00:01:28.000]  你都願意使用我們
[00:01:28.000 --> 00:01:31.000]  一切計劃的成功不是因為我們的能力
[00:01:31.000 --> 00:01:34.000]  而是因為主你的大能
