
[00:00:00.000 --> 00:00:02.000]  我們開始時再一同禱告
[00:00:02.000 --> 00:00:04.000]  天父上帝,我們感謝祢
[00:00:04.000 --> 00:00:06.000]  讓我們有這樣的福氣
[00:00:06.000 --> 00:00:08.000]  來到祢的面前
[00:00:08.000 --> 00:00:10.000]  向祢獻上嘴唇和心靈的祭
[00:00:10.000 --> 00:00:12.000]  感謝祢
[00:00:12.000 --> 00:00:14.000]  也讓我們有福氣
[00:00:14.000 --> 00:00:16.000]  去聆聽祢的話語
[00:00:16.000 --> 00:00:18.000]  讓我們有福氣
[00:00:18.000 --> 00:00:20.000]  去聆聽祢的話語
[00:00:20.000 --> 00:00:22.000]  讓我們有福氣
[00:00:22.000 --> 00:00:24.000]  去聆聽祢的話語
[00:00:24.000 --> 00:00:26.000]  讓我們有福氣
[00:00:26.000 --> 00:00:28.000]  去聆聽祢的話語
[00:00:28.000 --> 00:00:30.000]  讓我們有福氣
[00:00:30.000 --> 00:00:32.000]  這一刻,求祢再一次
[00:00:32.000 --> 00:00:34.000]  去監察我們的生命
[00:00:34.000 --> 00:00:36.000]  去監察我們的生命
[00:00:36.000 --> 00:00:38.000]  看看我們當中有沒有得罪你
[00:00:38.000 --> 00:00:40.000]  得罪人的地方
[00:00:40.000 --> 00:00:42.000]  如果有,請祢赦免潔淨
[00:00:42.000 --> 00:00:44.000]  免得這些罪惡
[00:00:44.000 --> 00:00:46.000]  難了我們,去到你的根前
[00:00:46.000 --> 00:00:48.000]  聖靈啊
[00:00:48.000 --> 00:00:50.000]  求祢今天在我們眾人心中
[00:00:50.000 --> 00:00:52.000]  工作
[00:00:52.000 --> 00:00:54.000]  讓我們聽到上帝的聲音
[00:00:54.000 --> 00:00:56.000]  讓我們就作出回應
[00:00:56.000 --> 00:00:58.000]  讓我們就作出回應
[00:00:58.000 --> 00:01:00.000]  奉耶穌基督的名字
[00:01:00.000 --> 00:01:02.000]  祈禱
[00:01:02.000 --> 00:01:04.000]  阿們
[00:01:04.000 --> 00:01:06.000]  今天這段經文
[00:01:06.000 --> 00:01:08.000]  我相信是曾經有很多的講員
[00:01:08.000 --> 00:01:10.000]  講過的一段經文
[00:01:10.000 --> 00:01:12.000]  是非常寶貴
[00:01:12.000 --> 00:01:14.000]  很願意今天和大家分享的時候
[00:01:14.000 --> 00:01:16.000]  我們互相勉勵
[00:01:16.000 --> 00:01:18.000]  這段經文
[00:01:18.000 --> 00:01:20.000]  講真葡萄樹的
[00:01:20.000 --> 00:01:22.000]  這段經文
[00:01:22.000 --> 00:01:24.000]  講真葡萄樹的
[00:01:24.000 --> 00:01:26.000]  先看看
[00:01:26.000 --> 00:01:32.000]  真葡萄樹的隱喻
[00:01:32.000 --> 00:01:34.000]  其實究竟
[00:01:34.000 --> 00:01:36.000]  上下文大概
[00:01:36.000 --> 00:01:38.000]  在一個什麼位置呢?
[00:01:38.000 --> 00:01:40.000]  原來耶穌基督知道
[00:01:40.000 --> 00:01:42.000]  自己當時就要
[00:01:42.000 --> 00:01:44.000]  被出賣
[00:01:44.000 --> 00:01:46.000]  要被捉拿
[00:01:46.000 --> 00:01:48.000]  離開這個世界
[00:01:48.000 --> 00:01:50.000]  回到天父那裡
[00:01:50.000 --> 00:01:52.000]  祂為門徒洗腳
[00:01:52.000 --> 00:01:54.000]  祂預言
[00:01:54.000 --> 00:01:56.000]  自己將會被出賣
[00:01:56.000 --> 00:01:58.000]  祂也命令門徒
[00:01:58.000 --> 00:02:00.000]  彼此相愛
[00:02:00.000 --> 00:02:02.000]  還講了很多很多不同的教導
[00:02:02.000 --> 00:02:04.000]  今天這個
[00:02:04.000 --> 00:02:06.000]  隱喻是其中一個
[00:02:06.000 --> 00:02:08.000]  的教導
[00:02:08.000 --> 00:02:10.000]  是很重要
[00:02:10.000 --> 00:02:12.000]  在當中我們逐樣
[00:02:12.000 --> 00:02:14.000]  逐樣去看
[00:02:14.000 --> 00:02:16.000]  剛才講到
[00:02:16.000 --> 00:02:18.000]  這個是真葡萄樹
[00:02:18.000 --> 00:02:20.000]  的一個隱喻
[00:02:20.000 --> 00:02:22.000]  在舊約裡
[00:02:22.000 --> 00:02:24.000]  不只一次去看到
[00:02:24.000 --> 00:02:26.000]  葡萄樹
[00:02:26.000 --> 00:02:28.000]  很多時候葡萄樹
[00:02:28.000 --> 00:02:30.000]  是和以色列民掛勾的
[00:02:30.000 --> 00:02:32.000]  是用來形容
[00:02:32.000 --> 00:02:34.000]  以色列民
[00:02:34.000 --> 00:02:36.000]  上帝和以色列民納約
[00:02:36.000 --> 00:02:38.000]  所以以色列民
[00:02:38.000 --> 00:02:40.000]  是有一個很尊貴的身份
