
[00:00:00.000 --> 00:00:04.000]  弟兄姊妹主女們平安
[00:00:04.000 --> 00:00:06.000]  做一次代表母會
[00:00:06.000 --> 00:00:08.000]  特別都是感恩節
[00:00:08.000 --> 00:00:10.000]  在十一月份
[00:00:10.000 --> 00:00:12.000]  都能夠帶著一份平安
[00:00:12.000 --> 00:00:14.000]  希伯來文叫SALOM
[00:00:14.000 --> 00:00:16.000]  來將這份祝福
[00:00:16.000 --> 00:00:18.000]  帶給紅恩的弟兄姊妹
[00:00:18.000 --> 00:00:20.000]  讓我們在講道之前
[00:00:20.000 --> 00:00:22.000]  一起有祈禱
[00:00:22.000 --> 00:00:24.000]  多謝主
[00:00:24.000 --> 00:00:26.000]  我們要打開聖經
[00:00:26.000 --> 00:00:28.000]  這一段聖經
[00:00:28.000 --> 00:00:30.000]  是邀請我們
[00:00:30.000 --> 00:00:33.000]  去到天上的致聖所
[00:00:33.000 --> 00:00:36.000]  其實就是去到神的面前
[00:00:36.000 --> 00:00:39.000]  而且是要有充足的信心
[00:00:39.000 --> 00:00:41.000]  再無懼怕
[00:00:41.000 --> 00:00:43.000]  這樣來與神親近
[00:00:43.000 --> 00:00:46.000]  剛才幾首的詩歌
[00:00:46.000 --> 00:00:48.000]  其實都已經講了
[00:00:48.000 --> 00:00:51.000]  十字架是唯一的原因
[00:00:51.000 --> 00:00:53.000]  我們可以藉著耶穌
[00:00:53.000 --> 00:00:55.000]  已經流出補血的
[00:00:55.000 --> 00:00:57.000]  這一位主耶穌
[00:00:57.000 --> 00:00:59.000]  來在十架上的犧牲
[00:00:59.000 --> 00:01:02.000]  將我們帶到與神和好
[00:01:02.000 --> 00:01:05.000]  這個很重要的生命關係
[00:01:05.000 --> 00:01:07.000]  幫助我們
[00:01:07.000 --> 00:01:09.000]  我們中國人
[00:01:09.000 --> 00:01:10.000]  香港人
[00:01:10.000 --> 00:01:13.000]  未必對舊約的
[00:01:13.000 --> 00:01:15.000]  那些聖殿的條例
[00:01:15.000 --> 00:01:19.000]  會有一些很深的感受、體會
[00:01:19.000 --> 00:01:21.000]  因為我們未試過
[00:01:21.000 --> 00:01:24.000]  將牛羊帶去聖殿獻祭
[00:01:24.000 --> 00:01:27.000]  我們試過可能是爸爸媽媽
[00:01:27.000 --> 00:01:29.000]  來祭祖
[00:01:29.000 --> 00:01:33.000]  或者是在一些大的節日
[00:01:33.000 --> 00:01:34.000]  來燒香
[00:01:34.000 --> 00:01:35.000]  我們比較少
[00:01:35.000 --> 00:01:37.000]  好像猶太人那樣
[00:01:37.000 --> 00:01:38.000]  這段聖經
[00:01:38.000 --> 00:01:41.000]  真的幫助我們去想想
[00:01:41.000 --> 00:01:43.000]  我們怎樣可以
[00:01:43.000 --> 00:01:45.000]  很有平安的
[00:01:45.000 --> 00:01:47.000]  甚至乎應該很大膽的
[00:01:47.000 --> 00:01:50.000]  去到天上的致聖所
[00:01:50.000 --> 00:01:52.000]  今早我們仰望
[00:01:52.000 --> 00:01:56.000]  等候主的聖靈在聚會當中
[00:01:56.000 --> 00:01:58.000]  來激發我們大家的信心
[00:01:58.000 --> 00:02:00.000]  這樣的感恩禱告
[00:02:00.000 --> 00:02:03.000]  奉耶穌基督的名
[00:02:03.000 --> 00:02:04.000]  阿們
[00:02:04.000 --> 00:02:06.000]  帶了一本
[00:02:06.000 --> 00:02:09.000]  是新約的聖經
[00:02:09.000 --> 00:02:11.000]  但是我完全看不明白
[00:02:11.000 --> 00:02:12.000]  任何一個字
[00:02:12.000 --> 00:02:14.000]  因為這本聖經是
[00:02:14.000 --> 00:02:17.000]  希伯來文的新約聖經
[00:02:17.000 --> 00:02:20.000]  首先有兩個特別
[00:02:20.000 --> 00:02:23.000]  新約聖經是用希列文寫的
[00:02:23.000 --> 00:02:25.000]  原文是希列文寫的
[00:02:25.000 --> 00:02:27.000]  是不會用希伯來文寫的
[00:02:27.000 --> 00:02:29.000]  另外一個特別就是
[00:02:29.000 --> 00:02:33.000]  猶太人是不會接受新約的
[00:02:33.000 --> 00:02:36.000]  猶太人只有舊約的聖經
[00:02:36.000 --> 00:02:39.000]  由《創世紀》到《馬拉基書》
[00:02:39.000 --> 00:02:43.000]  猶太人是不相信新約說的耶穌
[00:02:43.000 --> 00:02:45.000]  就是他們的尼塞亞
